"sym","window","pf","net","trades","eqdd"
"XAUUSD","MAIN","1.07","165.68","271","371.15(3.56%)"
"XAUUSD","BWD","1.05","70.14","215","169.80(1.66%)"
"XAGUSD","MAIN","1.31","1040.48","216","593.29(5.10%)"
"XAGUSD","BWD","1.29","441.02","169","257.97(2.55%)"
"USDJPY","MAIN","1.12","59.68","216","76.64(0.76%)"
"USDJPY","BWD","1.50","194.00","197","59.83(0.59%)"
"GBPJPY","MAIN","0.90","-65.83","227","126.35(1.26%)"
"GBPJPY","BWD","0.82","-140.81","195","228.63(2.27%)"
"US30","MAIN","1.71","22.34","249","8.95(0.09%)"
"US30","BWD","0.78","-12.21","216","29.04(0.29%)"
