"fib","wave3","window","pf","net","trades","eqdd"
"23.6","0.618","MAIN","1.12","59.68","216","76.64(0.76%)"
"23.6","0.618","BWD","1.50","194.00","197","59.83(0.59%)"
"23.6","1.0","MAIN","1.19","65.52","133","71.41(0.70%)"
"23.6","1.0","BWD","1.37","104.56","123","48.78(0.48%)"
"23.6","1.618","MAIN","1.35","69.73","74","44.05(0.44%)"
"23.6","1.618","BWD","1.30","47.22","68","50.78(0.51%)"
"38.2","0.618","MAIN","1.16","47.46","156","53.45(0.53%)"
"38.2","0.618","BWD","1.98","211.98","138","33.36(0.33%)"
"38.2","1.0","MAIN","1.29","58.05","89","47.48(0.47%)"
"38.2","1.0","BWD","1.85","124.74","81","28.71(0.28%)"
"38.2","1.618","MAIN","1.56","69.48","46","28.36(0.28%)"
"38.2","1.618","BWD","1.92","72.92","45","21.81(0.22%)"
"50.0","0.618","MAIN","1.02","3.51","85","41.31(0.41%)"
"50.0","0.618","BWD","1.17","20.88","77","41.21(0.41%)"
"50.0","1.0","MAIN","1.11","12.72","64","33.16(0.33%)"
"50.0","1.0","BWD","1.04","3.36","52","41.80(0.42%)"
"50.0","1.618","MAIN","1.00","-0.28","23","35.01(0.35%)"
"50.0","1.618","BWD","0.85","-7.78","27","32.77(0.33%)"
