"tf","bars","session","regime","window","net","pf","trades","eqdd"
"H1","8","NY","roff","MAIN","1889.38","1.21","956","667.59(6.52%)"
"H1","8","NY","roff","BWD","-154.62","0.97","832","582.12(5.63%)"
"H1","8","NY","m1t25","MAIN","673.13","1.10","661","365.50(3.57%)"
"H1","8","NY","m1t25","BWD","-239.75","0.93","551","413.43(4.09%)"
"H1","8","none","roff","MAIN","430.96","1.03","1402","1301.20(12.90%)"
"H1","8","none","roff","BWD","-275.26","0.96","1121","703.21(6.79%)"
"H1","8","none","m1t25","MAIN","346.08","1.03","1011","510.95(4.94%)"
"H1","8","none","m1t25","BWD","-320.62","0.93","810","488.81(4.81%)"
"H1","20","NY","roff","MAIN","858.55","1.12","753","546.06(4.95%)"
"H1","20","NY","roff","BWD","-275.04","0.93","662","460.22(4.55%)"
"H1","20","NY","m1t25","MAIN","644.17","1.12","508","373.12(3.49%)"
"H1","20","NY","m1t25","BWD","-548.02","0.80","428","625.13(6.20%)"
"H1","20","none","roff","MAIN","-566.87","0.96","1117","1023.05(10.05%)"
"H1","20","none","roff","BWD","-383.51","0.93","929","601.34(5.90%)"
"H1","20","none","m1t25","MAIN","543.77","1.06","748","562.08(5.41%)"
"H1","20","none","m1t25","BWD","-539.16","0.86","618","638.42(6.32%)"
"H1","40","NY","roff","MAIN","1130.68","1.22","543","449.97(3.97%)"
"H1","40","NY","roff","BWD","-264.21","0.91","495","470.97(4.64%)"
"H1","40","NY","m1t25","MAIN","1038.29","1.28","381","319.73(2.88%)"
"H1","40","NY","m1t25","BWD","-374.73","0.82","322","469.37(4.66%)"
"H1","40","none","roff","MAIN","-20.18","1.00","837","1106.87(10.02%)"
"H1","40","none","roff","BWD","-438.24","0.90","701","611.97(6.03%)"
"H1","40","none","m1t25","MAIN","1133.89","1.17","576","552.85(5.01%)"
"H1","40","none","m1t25","BWD","-380.16","0.88","479","514.92(5.09%)"
"H4","8","NY","roff","MAIN","363.15","1.06","284","1673.41(14.12%)"
"H4","8","NY","roff","BWD","-139.53","0.95","220","428.70(4.18%)"
"H4","8","NY","m1t25","MAIN","439.12","1.09","237","879.16(7.94%)"
"H4","8","NY","m1t25","BWD","-118.52","0.95","195","460.98(4.46%)"
"H4","8","none","roff","MAIN","798.31","1.10","356","1304.54(10.87%)"
"H4","8","none","roff","BWD","55.62","1.02","276","374.63(3.60%)"
"H4","8","none","m1t25","MAIN","1508.91","1.27","280","695.37(5.70%)"
"H4","8","none","m1t25","BWD","156.38","1.06","245","358.47(3.42%)"
"H4","20","NY","roff","MAIN","2032.86","1.47","222","509.32(4.20%)"
"H4","20","NY","roff","BWD","108.78","1.05","188","392.74(3.80%)"
"H4","20","NY","m1t25","MAIN","1155.59","1.31","189","522.32(4.60%)"
"H4","20","NY","m1t25","BWD","96.67","1.05","152","329.59(3.19%)"
"H4","20","none","roff","MAIN","2313.08","1.39","291","704.74(5.76%)"
"H4","20","none","roff","BWD","-199.53","0.93","233","528.55(5.15%)"
"H4","20","none","m1t25","MAIN","2251.33","1.50","238","464.29(3.94%)"
"H4","20","none","m1t25","BWD","-76.08","0.97","197","453.36(4.40%)"
"H4","40","NY","roff","MAIN","1264.20","1.43","165","509.32(4.55%)"
"H4","40","NY","roff","BWD","-155.15","0.92","147","506.76(4.95%)"
"H4","40","NY","m1t25","MAIN","1035.19","1.40","146","376.09(3.41%)"
"H4","40","NY","m1t25","BWD","-6.09","1.00","121","397.79(3.86%)"
"H4","40","none","roff","MAIN","1386.08","1.31","226","782.87(6.75%)"
"H4","40","none","roff","BWD","-381.35","0.84","181","593.27(5.84%)"
"H4","40","none","m1t25","MAIN","1658.14","1.47","194","484.55(4.61%)"
"H4","40","none","m1t25","BWD","-211.32","0.89","154","557.68(5.44%)"
