"config","model","window","net","pf","trades","eqdd"
"m2t15","1","MAIN","1141.16","1.32","136","1087.96(10.13%)"
"m2t15","1","BWD","697.39","1.12","200","1276.47(11.13%)"
"m2t18","1","MAIN","1135.73","1.32","136","1087.96(10.13%)"
"m2t18","1","BWD","697.39","1.12","200","1276.47(11.13%)"
"m2t22","1","MAIN","993.66","1.25","148","1090.00(10.16%)"
"m2t22","1","BWD","2157.73","1.46","196","1086.60(10.83%)"
"m1rng20","1","MAIN","3963.88","1.78","223","1856.77(15.31%)"
"m1rng20","1","BWD","369.25","1.09","110","1552.43(14.30%)"
"m1rng30","1","MAIN","707.61","1.18","141","896.74(8.68%)"
"m1rng30","1","BWD","1655.66","1.48","113","923.85(8.77%)"
"m2t20","4","MAIN","791.89","1.21","133","1068.00(9.96%)"
"m2t20","4","BWD","36.36","1.01","183","1693.01(16.89%)"
"m1rng25","4","MAIN","932.47","1.24","134","1607.13(16.04%)"
"m1rng25","4","BWD","1385.07","1.29","172","1240.31(10.22%)"
