"symbol","window","config","net","pf","trades","eqdd"
"AUDJPY","MAIN","base","663.80","1.12","186","1305.07(12.16%)"
"AUDJPY","BWD","base","-457.06","0.94","235","1679.67(16.66%)"
"AUDJPY","MAIN","m1t20","798.64","1.16","180","1307.11(12.18%)"
"AUDJPY","BWD","m1t20","-457.06","0.94","235","1679.67(16.66%)"
"AUDJPY","MAIN","m1t25","977.81","1.18","183","1613.16(15.01%)"
"AUDJPY","BWD","m1t25","-2755.02","0.74","250","2895.94(28.86%)"
"AUDJPY","MAIN","m1t30","756.67","1.17","143","951.13(8.33%)"
"AUDJPY","BWD","m1t30","-169.22","0.98","278","1621.65(14.26%)"
"AUDJPY","MAIN","m1rng25","1432.96","1.38","143","1517.34(15.15%)"
"AUDJPY","BWD","m1rng25","1506.84","1.32","171","1239.62(10.12%)"
"AUDJPY","MAIN","m2t20","1127.28","1.32","136","1090.00(10.16%)"
"AUDJPY","BWD","m2t20","1816.58","1.39","189","1086.60(10.83%)"
"AUDJPY","MAIN","m2t25","662.86","1.17","130","1270.27(11.82%)"
"AUDJPY","BWD","m2t25","1567.01","1.29","206","1121.94(9.90%)"
"AUDJPY","MAIN","m2t30","-221.97","0.97","221","2166.03(20.06%)"
"AUDJPY","BWD","m2t30","755.28","1.09","260","1369.09(12.00%)"
"AUDUSD","MAIN","base","-473.03","0.75","46","968.06(9.23%)"
"AUDUSD","BWD","base","951.10","1.54","60","908.24(9.07%)"
"AUDUSD","MAIN","m1t20","691.30","1.22","131","1175.05(11.15%)"
"AUDUSD","BWD","m1t20","1478.72","1.70","74","908.24(9.07%)"
"AUDUSD","MAIN","m1t25","-588.12","0.86","123","2357.22(22.42%)"
"AUDUSD","BWD","m1t25","896.43","1.34","82","1182.46(10.94%)"
"AUDUSD","MAIN","m1t30","-556.95","0.87","130","2232.39(21.73%)"
"AUDUSD","BWD","m1t30","1388.47","1.79","65","908.24(9.07%)"
"AUDUSD","MAIN","m1rng25","-23.08","0.99","50","801.96(7.57%)"
"AUDUSD","BWD","m1rng25","-3004.85","0.72","231","4812.82(42.62%)"
"AUDUSD","MAIN","m2t20","-1061.98","0.78","140","2771.94(26.30%)"
"AUDUSD","BWD","m2t20","-716.10","0.87","117","2653.49(23.41%)"
"AUDUSD","MAIN","m2t25","73.44","1.02","130","1773.77(16.62%)"
"AUDUSD","BWD","m2t25","674.27","1.21","82","1288.50(11.92%)"
"AUDUSD","MAIN","m2t30","-1810.91","0.54","81","2094.05(20.38%)"
"AUDUSD","BWD","m2t30","-32.78","0.99","117","2398.07(20.39%)"
