symbol,trades,PF,net,maxDD%,sharpe,expected_payoff,status
GBPUSD,85,0.79,-165.16,3.04,-0.7,-1.94,OK
USDJPY,18,1.18,23.49,0.83,0.16,1.3,OK
USDCHF,4,1.28,7.28,0.39,0.05,1.82,THIN
AUDUSD,73,1.15,67.08,1.21,0.29,0.92,OK
USDCAD,10,2.39,57.86,0.42,0.52,5.79,OK
NZDUSD,44,0.88,-32.25,1.29,-0.27,-0.73,OK
EURGBP,46,0.84,-55.92,1.75,-0.3,-1.22,OK
EURJPY,93,1.04,29.32,2.16,0.1,0.32,OK
EURCHF,21,1.08,9.58,0.82,0.16,0.46,OK
GBPJPY,76,0.98,-14.69,1.94,-0.07,-0.19,OK
AUDCAD,27,1.8,110.45,0.67,0.9,4.09,OK
AUDJPY,62,1.21,82.41,1.07,0.51,1.33,OK
CADJPY,87,0.7,-189.84,2.25,-0.76,-2.18,OK
CHFJPY,131,0.87,-141.07,2.51,-0.41,-1.08,OK
NZDJPY,26,0.93,-9.71,0.84,-0.14,-0.37,OK
EURCAD,58,1.13,53.42,1.11,0.34,0.92,OK
AUDCHF,28,0.60,-64.69,1.19,-0.5,-2.31,OK
AUDNZD,53,1.96,150.95,0.48,1.32,2.85,OK
CADCHF,8,0.53,-26.66,0.69,-0.16,-3.33,THIN
EURAUD,6,5.11,112.92,0.35,0.83,18.82,THIN
EURNZD,66,0.79,-116.0,3.61,-0.59,-1.76,OK
GBPAUD,12,1.50,52.61,0.56,0.68,4.38,OK
GBPCAD,61,1.01,3.05,2.34,0.02,0.05,OK
GBPCHF,30,0.58,-158.93,3.0,-2.08,-5.3,OK
GBPNZD,51,0.60,-187.31,3.07,-1.54,-3.67,OK
NZDCAD,83,0.70,-130.02,1.88,-0.79,-1.57,OK
NZDCHF,7,0.0,-52.54,0.73,-0.12,-7.51,THIN
