time,profit
2020.01.02 16:00:00,8.71
2020.01.02 16:00:00,6.61
2020.01.03 04:00:00,9.18
2020.01.03 04:00:00,5.9
2020.01.06 02:00:00,27.03
2020.01.07 10:00:00,11.32
2020.01.07 10:00:00,4.9
2020.01.07 10:00:00,-6.6
2020.01.08 02:00:00,25.61
2020.02.20 14:00:00,11.73
2020.02.21 09:00:00,11.23
2020.02.21 16:00:00,10.71
2020.02.21 16:00:00,6.3
2020.02.24 02:00:00,22.07
2020.02.24 02:00:00,17.39
2020.02.24 11:00:00,9.36
2020.03.09 02:00:00,23.67
2020.03.09 02:00:00,6.04
2020.04.14 16:00:00,14.07
2020.04.15 09:53:43,-33.41
2020.04.16 14:00:00,17.24
2020.04.16 14:00:00,8.75
2020.04.16 14:00:00,-0.56
2020.05.18 03:00:00,14.81
2020.05.18 16:57:12,-30.45
2020.05.19 18:00:00,14.45
2020.05.19 18:00:00,8.13
2020.05.19 18:00:00,-5.56
2020.05.21 17:31:41,-23.04
2020.05.21 17:35:30,-16.1
2020.05.21 17:35:33,-20.88
2020.05.22 11:00:00,8.72
2020.06.02 17:00:00,9.71
2020.06.02 17:00:00,3.83
2020.06.11 19:53:00,-16.01
2020.06.12 14:00:00,9.49
2020.06.12 14:00:00,1.26
2020.06.15 08:48:58,-17.07
2020.06.15 12:33:36,-19.56
2020.06.15 13:15:54,-18.52
2020.06.15 15:53:08,-17.21
2020.06.15 18:00:00,8.92
2020.06.15 18:00:00,2.25
2020.06.17 17:00:00,9.32
2020.06.17 17:00:00,4.48
2020.06.17 17:00:00,-2.42
2020.06.19 15:00:00,7.83
2020.06.19 15:00:00,1.32
2020.06.22 03:00:00,10.53
2020.06.22 16:00:00,10.59
2020.06.22 16:00:00,2.93
2020.06.24 12:00:00,9.36
2020.07.01 16:52:55,-15.37
2020.07.02 17:00:00,12.81
2020.07.02 17:00:00,5.59
2020.07.02 17:00:00,0.99
2020.07.07 17:00:00,7.67
2020.07.07 17:00:00,4.01
2020.07.08 17:00:00,12.18
2020.07.21 14:00:00,9.84
2020.07.21 16:00:00,8.23
2020.07.22 05:00:00,17.72
2020.07.23 10:00:00,11.31
2020.07.23 17:00:00,8.81
2020.07.23 17:00:00,0.31
2020.07.24 11:00:00,12.01
2020.07.24 11:00:00,3.57
2020.07.27 03:00:00,12.08
2020.07.27 06:00:00,7.96
2020.07.28 02:00:00,9.84
2020.07.28 06:07:39,-34.25
2020.07.29 22:00:00,11.54
2020.08.03 02:00:00,10.31
2020.08.03 02:00:00,4.22
2020.08.04 20:00:00,10.4
2020.08.05 02:00:00,8.9
2020.08.06 09:00:00,9.9
2020.08.06 17:00:00,8.0
2020.08.07 17:03:41,-35.89
2020.08.07 20:09:40,-34.84
2020.08.10 17:00:00,19.02
2020.08.10 17:00:00,0.92
2022.03.08 19:00:00,25.88
2022.03.09 06:00:00,9.35
2023.05.05 15:39:37,-39.3
2023.05.05 15:44:03,-24.93
2023.05.05 17:02:19,-43.81
2023.05.09 21:00:00,31.46
2023.05.09 21:00:00,25.01
2023.05.09 21:00:00,-40.04
2023.05.10 18:12:12,-18.33
2023.05.11 15:00:00,11.2
2023.05.11 15:00:00,7.61
2023.11.29 20:00:00,6.31
2023.11.29 20:00:00,2.39
2023.12.01 20:00:00,14.38
2023.12.04 02:00:00,39.02
2024.03.04 19:00:00,9.18
2024.03.05 20:00:00,8.48
2024.03.06 19:00:00,10.12
2024.03.08 02:00:00,10.56
2024.03.08 18:00:00,10.74
2024.03.11 04:00:00,11.79
2024.03.11 04:00:00,-2.51
2024.03.21 02:00:00,10.66
2024.03.28 18:00:00,7.01
2024.03.28 18:00:00,0.59
2024.04.01 01:05:00,15.91
2024.04.01 05:00:00,9.19
2024.04.02 22:00:00,10.63
2024.04.02 22:00:00,4.65
2024.04.03 18:00:00,11.43
2024.04.03 18:00:00,-3.89
2024.04.04 22:00:00,15.91
2024.04.04 22:00:00,10.69
2024.04.05 11:00:00,16.88
2024.04.05 11:00:00,5.47
