"pair","tf","threshold","window","pf","net","trades","eqdd"
"AUDNZD","H4","2.0","MAIN","0.67","-116.64","284","129.93(1.30%)"
"AUDNZD","H4","2.0","BWD","0.67","-123.32","252","140.21(1.40%)"
"AUDNZD","H4","2.5","MAIN","0.57","-70.56","121","82.82(0.83%)"
"AUDNZD","H4","2.5","BWD","0.80","-34.90","116","49.62(0.50%)"
"AUDNZD","H4","3.0","MAIN","0.40","-35.79","37","38.11(0.38%)"
"AUDNZD","H4","3.0","BWD","0.60","-23.51","35","25.91(0.26%)"
"AUDNZD","H1","2.0","MAIN","0.64","-267.42","1203","272.01(2.72%)"
"AUDNZD","H1","2.0","BWD","0.80","-144.02","1003","174.16(1.74%)"
"AUDNZD","H1","2.5","MAIN","0.56","-165.23","510","168.16(1.68%)"
"AUDNZD","H1","2.5","BWD","0.73","-93.01","451","105.05(1.05%)"
"AUDNZD","H1","3.0","MAIN","0.70","-36.70","164","42.13(0.42%)"
"AUDNZD","H1","3.0","BWD","0.88","-12.47","125","45.00(0.45%)"
"EURGBP","H4","2.0","MAIN","0.84","-85.76","301","113.37(1.13%)"
"EURGBP","H4","2.0","BWD","0.92","-57.08","265","141.32(1.41%)"
"EURGBP","H4","2.5","MAIN","0.78","-55.29","139","90.55(0.90%)"
"EURGBP","H4","2.5","BWD","0.97","-9.99","129","68.75(0.69%)"
"EURGBP","H4","3.0","MAIN","1.04","2.69","42","29.26(0.29%)"
"EURGBP","H4","3.0","BWD","1.12","13.15","36","47.02(0.47%)"
"EURGBP","H1","2.0","MAIN","0.62","-590.95","1685","599.77(5.99%)"
"EURGBP","H1","2.0","BWD","0.66","-711.84","1425","735.58(7.35%)"
"EURGBP","H1","2.5","MAIN","0.59","-389.02","979","395.15(3.95%)"
"EURGBP","H1","2.5","BWD","0.66","-432.59","819","473.83(4.73%)"
"EURGBP","H1","3.0","MAIN","0.64","-132.49","386","136.46(1.36%)"
"EURGBP","H1","3.0","BWD","0.64","-179.61","335","182.23(1.82%)"
"EURCHF","H4","2.0","MAIN","0.81","-115.95","304","148.54(1.48%)"
"EURCHF","H4","2.0","BWD","1.00","0.81","238","107.74(1.07%)"
"EURCHF","H4","2.5","MAIN","0.68","-99.72","141","115.43(1.15%)"
"EURCHF","H4","2.5","BWD","1.05","9.43","103","33.19(0.33%)"
"EURCHF","H4","3.0","MAIN","0.80","-17.55","41","50.81(0.51%)"
"EURCHF","H4","3.0","BWD","0.76","-17.05","32","36.54(0.36%)"
"EURCHF","H1","2.0","MAIN","0.81","-255.98","1454","265.63(2.65%)"
"EURCHF","H1","2.0","BWD","0.85","-181.64","1260","249.96(2.49%)"
"EURCHF","H1","2.5","MAIN","0.83","-138.74","853","156.28(1.56%)"
"EURCHF","H1","2.5","BWD","0.87","-91.92","713","139.97(1.40%)"
"EURCHF","H1","3.0","MAIN","0.96","-12.67","334","55.94(0.56%)"
"EURCHF","H1","3.0","BWD","0.74","-75.60","250","103.66(1.04%)"
