"timestamp","label","expert","symbol","period","from","to","base_set","overrides","base_report","variant_report","base_net","variant_net","delta_net","base_pf","variant_pf","delta_pf","base_trades","variant_trades","delta_trades","base_eqdd","variant_eqdd","delta_eqdd","base_baldd","variant_baldd","delta_baldd"
"2026-07-04 14:25:33","boss11_rec81","EALabTpl\Boss_11_GridTrend","XAUUSD","H1","2024.01.01","2024.07.01","D:\EA_LAB\ea_template\sets\Boss11_regression_smoke.set","RecoveryMode=81","AB_boss11_rec81_BASE","AB_boss11_rec81_VAR","-356.44","-246.25","+110.19","0.89","0.93","+0.04","480","550","+70.00","637.43(6.21%)","768.06(7.32%)","+130.63","589.63(5.76%)","719.70(6.88%)","+130.07"
"2026-07-05 08:57:46","order027_audnzd_atrtp5","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2026.07.01","D:\EA_LAB\ea_template\sets\Boss14_GridLog_AUDNZD_ISpick.set","_2_BasketTP_ATRmult=5.0","AB_order027_audnzd_atrtp5_BASE","AB_order027_audnzd_atrtp5_VAR","1242.36","-1252.95","-2495.31","1.56","0.69","-0.87","195","510","+315.00","451.33(4.26%)","1450.79(14.35%)","+999.46","323.73(3.08%)","1398.16(13.86%)","+1074.43"
"2026-07-05 08:58:27","order027_audnzd_atrtp25","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2026.07.01","D:\EA_LAB\ea_template\sets\Boss14_GridLog_AUDNZD_ISpick.set","_2_BasketTP_ATRmult=25.0","AB_order027_audnzd_atrtp25_BASE","AB_order027_audnzd_atrtp25_VAR","1242.36","384.91","-857.45","1.56","1.11","-0.45","195","244","+49.00","451.33(4.26%)","1120.94(10.85%)","+669.61","323.73(3.08%)","1034.87(10.04%)","+711.14"
"2026-07-05 08:59:03","order027_audnzd_atrtp35","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2026.07.01","D:\EA_LAB\ea_template\sets\Boss14_GridLog_AUDNZD_ISpick.set","_2_BasketTP_ATRmult=35.0","AB_order027_audnzd_atrtp35_BASE","AB_order027_audnzd_atrtp35_VAR","1242.36","565.76","-676.60","1.56","1.21","-0.35","195","169","-26.00","451.33(4.26%)","698.16(6.74%)","+246.83","323.73(3.08%)","654.01(6.33%)","+330.28"
"2026-07-05 08:59:39","order027_audnzd_atrtp32","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2026.07.01","D:\EA_LAB\ea_template\sets\Boss14_GridLog_AUDNZD_ISpick.set","_2_BasketTP_ATRmult=32.0","AB_order027_audnzd_atrtp32_BASE","AB_order027_audnzd_atrtp32_VAR","1242.36","431.50","-810.86","1.56","1.14","-0.42","195","188","-7.00","451.33(4.26%)","1156.95(11.17%)","+705.62","323.73(3.08%)","1061.67(10.27%)","+737.94"
"2026-07-05 11:48:47","order029b_xau_slcap6","EALabTpl\Boss_14_GridLog","XAUUSD","H1","2023.01.01","2026.07.01","D:\EA_LAB\ea_template\sets\Boss14_GridLog_XAU_ISpick.set","_33_SL_MaxATRmult=6.0","AB_order029b_xau_slcap6_BASE","AB_order029b_xau_slcap6_VAR","3106.99","3106.99","0.00","1.42","1.42","0.00","426","426","0.00","3783.30(23.34%)","3783.30(23.34%)","0.00","2367.00(15.42%)","2367.00(15.42%)","0.00"
"2026-07-23 08:43:22","hrs_80_1_AUDNZD","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2025.12.31","D:\EA_LAB\_mt5_auto\ab_sets\ORDER158_HRS_base.set","RecoveryMode=80;HedgeMode=1","AB_hrs_80_1_AUDNZD_BASE","AB_hrs_80_1_AUDNZD_VAR","422.54","422.54","0.00","1.19","1.19","0.00","165","165","0.00","587.72(5.66%)","587.72(5.66%)","0.00","463.11(4.49%)","463.11(4.49%)","0.00"
"2026-07-23 08:43:52","hrs_81_0_AUDNZD","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2025.12.31","D:\EA_LAB\_mt5_auto\ab_sets\ORDER158_HRS_base.set","RecoveryMode=81;HedgeMode=0","AB_hrs_81_0_AUDNZD_BASE","AB_hrs_81_0_AUDNZD_VAR","422.54","366.63","-55.91","1.19","1.17","-0.02","165","177","+12.00","587.72(5.66%)","512.65(5.01%)","-75.07","463.11(4.49%)","462.20(4.53%)","-0.91"
"2026-07-23 08:44:23","hrs_81_1_AUDNZD","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2025.12.31","D:\EA_LAB\_mt5_auto\ab_sets\ORDER158_HRS_base.set","RecoveryMode=81;HedgeMode=1","AB_hrs_81_1_AUDNZD_BASE","AB_hrs_81_1_AUDNZD_VAR","422.54","366.63","-55.91","1.19","1.17","-0.02","165","177","+12.00","587.72(5.66%)","512.65(5.01%)","-75.07","463.11(4.49%)","462.20(4.53%)","-0.91"
"2026-07-23 08:44:53","hrs_82_0_AUDNZD","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2025.12.31","D:\EA_LAB\_mt5_auto\ab_sets\ORDER158_HRS_base.set","RecoveryMode=82;HedgeMode=0","AB_hrs_82_0_AUDNZD_BASE","AB_hrs_82_0_AUDNZD_VAR","422.54","898.78","+476.24","1.19","1.51","+0.32","165","170","+5.00","587.72(5.66%)","545.03(5.17%)","-42.69","463.11(4.49%)","405.87(3.89%)","-57.24"
"2026-07-23 08:45:24","hrs_82_1_AUDNZD","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2025.12.31","D:\EA_LAB\_mt5_auto\ab_sets\ORDER158_HRS_base.set","RecoveryMode=82;HedgeMode=1","AB_hrs_82_1_AUDNZD_BASE","AB_hrs_82_1_AUDNZD_VAR","422.54","898.78","+476.24","1.19","1.51","+0.32","165","170","+5.00","587.72(5.66%)","545.03(5.17%)","-42.69","463.11(4.49%)","405.87(3.89%)","-57.24"
"2026-07-23 08:45:54","hrs_83_0_AUDNZD","EALabTpl\Boss_14_GridLog","AUDNZD","H1","2023.01.01","2025.12.31","D:\EA_LAB\_mt5_auto\ab_sets\ORDER158_HRS_base.set","RecoveryMode=83;HedgeMode=0","AB_hrs_83_0_AUDNZD_BASE","AB_hrs_83_0_AUDNZD_VAR","422.54","632.14","+209.60","1.19","1.25","+0.06","165","204","+39.00","587.72(5.66%)","794.49(7.49%)","+206.77","463.11(4.49%)","701.55(6.64%)","+238.44"
