"ea","path","symbol","m1_pf"
"Broker Killer v 2 .2 by @SoftechFX_Robot",".EA OK\Broker Killer V2.2 by @SoftechFX_Robot\EA\Broker Killer v 2 .2 by @SoftechFX_Robot.ex4","USDJPY","3.36"
"ClevrFX_EA",".EA OK\ClevrFX\ClevrFX_EA.ex4","EURUSD","2.04"
"EA_FLy_HiGhEr",".EA OK\CODE EA0608 EA_FLy_HiGhEr\EA\EA_FLy_HiGhEr.ex4","EURUSD","2.19"
"Forex Hacked Pro",".EA OK\Forex Hacked Pro.ex4","EURUSD","2.92"
"Forexthai4pip",".EA OK\Forex thai\Forexthai4pip.ex4","USDJPY","1.89"
"forexthaipop.blogspot.com v.1",".EA OK\Forex thai\forexthaipop.blogspot.com v.1.ex4","EURUSD","2.92"
"Fxcore100_BUY",".EA OK\FXCore100 EA v5.1 LATEST\Fxcore100_BUY.ex4","USDJPY","2.39"
"Fxcore100_SELL",".EA OK\FXCore100 EA v5.1 LATEST\Fxcore100_SELL.ex4","EURUSD","2.06"
"Miracle MT4 (audcad , audnzd , nzdcad 15 min)",".EA OK\Miracle MT4 (audcad , audnzd , nzdcad 15 min).ex4","EURUSD","1.99"
"MoneyTree_Buy",".EA OK\Money Tree EA\MQL4\Experts\MoneyTree_Buy.ex4","EURUSD","5.11"
"MoneyTree_Sell",".EA OK\Money Tree EA\MQL4\Experts\MoneyTree_Sell.ex4","EURUSD","5.11"
"Hedgingprofit EA v2",".Forexbookthai\.EA\.Not work\Link DL Hedging Profit EA v2\Link DL Hedging Profit EA v2 - Copy\Experts\Hedgingprofit EA v2.ex4","USDJPY","1.76"
"AW Recovery EA V3.3_NEW",".Forexbookthai\.EA\1-AW Recovery\Experts\AW Recovery EA V3.3_NEW.ex4","USDJPY","1.52"
"Mood 2.0",".Forexbookthai\.EA\4-Mood\Experts\Mood 2.0.ex4","USDJPY","3.32"
"Elise Hedging EA",".Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Expert+Preset\Set4 Elise Hedging EA\Experts\Elise Hedging EA.ex4","USDJPY","1.7"
"Alpha Striker SMC",".Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Expert+Preset\Set5 Alpha Striker SMC\Experts\Alpha Striker SMC.ex4","USDJPY","3.32"
"Happy thaipop","2024-03\Happy thaipop\Happy thaipop.ex4","EURUSD","6.6"
"CITY-GOLD HUNTER PROx2_fix (3)","2024-06\CITY-GOLD HUNTER PROx2_fix (3)\CITY-GOLD HUNTER PROx2_fix (3).ex4","EURUSD","259.99"
"CommunityPower 2.58.3","2024-06\CP_GOLD_M5\CP_GOLD_M5\MQL4\Experts\CommunityPower 2.58.3.ex4","EURUSD","1.94"
"DanceT","2024-06\DanceT\DanceT.ex4","EURUSD","1.53"
