"ea","symbol","path"
"Envelope 2","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Envelope 2.ex4"
"Envelope 2","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Envelope 2.ex4"
"FZ2","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\FZ2.ex4"
"FZ2","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\FZ2.ex4"
"Phoenix_EA_v5_6_03","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Phoenix_EA_v5_6_03.ex4"
"MACrossoverMaster","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\MACrossoverMaster.ex4"
"MACrossoverMaster","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\MACrossoverMaster.ex4"
"swb grid 4.1.0.3_h","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\swb grid 4.1.0.3_h.ex4"
"swb grid 4.1.0.3_h","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\swb grid 4.1.0.3_h.ex4"
"SUPERTRENDSURFER","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\SUPERTRENDSURFER.ex4"
"Oracle EA","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Oracle EA.ex4"
"EA SCALP RENKO v2.3","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\EA SCALP RENKO v2.3.ex4"
"EA SCALP RENKO v2.3","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\EA SCALP RENKO v2.3.ex4"
"ema_crossmod","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\ema_crossmod.ex4"
"Expert","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Expert.ex4"
"Expert","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Expert.ex4"
"EAForexTH_Scalper_S3_1.0","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\EAForexTH_Scalper_S3_1.0.ex4"
"EAForexTH_Scalper_S3_1.0","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\EAForexTH_Scalper_S3_1.0.ex4"
"GBPJPY1H90PCWR","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\GBPJPY1H90PCWR.ex4"
"killer_sell","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\killer_sell.ex4"
"GridMACDMEURUSD","USDJPY","2024-06\FREE EA-20240608T074321Z-001\FREE EA\GridMACDMEURUSD.ex4"
"MA_MA_2-35_EA","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\MA_MA_2-35_EA.ex4"
"EAForexTH_MultiHedge_1.0","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\EAForexTH_MultiHedge_1.0.ex4"
"VisualMartiEA","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\VisualMartiEA.ex4"
"firebird v63f","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\firebird v63f.ex4"
"Moving Average","EURUSD","2024-06\FREE EA-20240608T074321Z-001\FREE EA\Moving Average.ex4"
"Yetti3+NewsSherry","EURUSD","2024-06\Yetti3+NewsSherry\Yetti3+NewsSherry.ex4"
"Yetti3+NewsSherry","USDJPY","2024-06\Yetti3+NewsSherry\Yetti3+NewsSherry.ex4"
"143 E4.7.4 v1","EURUSD","2025-04\143 E4.7.4 v1.ex4"
