symbol,window,PF,Net,Trades,DDpct,Win
EURUSD,MAIN,1.08,29.72,10,2.37,30.00
EURUSD,BWD,1.20,102.71,12,1.81,25.00
GBPUSD,MAIN,0.72,-78.73,7,2.39,14.29
GBPUSD,BWD,1.00,-1.08,9,3.44,22.22
USDJPY,MAIN,0.60,-138.39,8,2.00,12.50
USDJPY,BWD,1.06,34.26,13,4.58,23.08
USDCAD,MAIN,0.60,-138.39,8,2.00,12.50
USDCAD,BWD,0.82,-91.79,11,6.07,18.18
AUDUSD,MAIN,1.28,89.48,9,1.94,33.33
AUDUSD,BWD,1.56,291.09,13,4.05,30.77
NZDUSD,MAIN,0.60,-138.39,8,2.00,12.50
NZDUSD,BWD,1.00,-1.90,9,3.06,22.22
USDCHF,MAIN,0.60,-138.39,8,2.00,12.50
USDCHF,BWD,0.74,-152.08,12,5.81,16.67
EURJPY,MAIN,0.94,-27.58,11,2.55,27.27
EURJPY,BWD,1.18,94.86,12,3.48,25.00
GBPJPY,MAIN,0.84,-39.73,8,1.80,25.00
GBPJPY,BWD,0.76,-126.87,11,3.48,18.18
CCI BASKET DONE
