"report_date","open_interest","net_noncomm","net_comm","net_pct_3y"
"2019-01-08","455232","99216","-121187",""
"2019-01-15","501605","87913","-108113",""
"2019-01-22","513509","74504","-92077",""
"2019-01-29","483390","99593","-118609",""
"2019-02-05","479736","109095","-131242",""
"2019-02-12","476083","104874","-126111",""
"2019-02-19","504639","145647","-166477",""
"2019-02-26","501268","135696","-159845",""
"2019-03-05","471311","88018","-113997",""
"2019-03-12","530030","78819","-108474",""
"2019-03-19","514163","88396","-115659",""
"2019-03-26","509575","119938","-151434",""
"2019-04-02","440170","94556","-118230",""
"2019-04-09","447539","105364","-132809",""
"2019-04-16","440581","56273","-78430",""
"2019-04-23","440048","37395","-57396",""
"2019-04-30","430011","66219","-88312",""
"2019-05-07","450039","75411","-96359",""
"2019-05-14","517995","124536","-137183",""
"2019-05-21","508643","88805","-107938",""
"2019-05-28","505126","86688","-109954",""
"2019-06-04","481495","156115","-172576",""
"2019-06-11","496663","184238","-202027",""
"2019-06-18","525636","204323","-223855",""
"2019-06-25","577605","236554","-260150",""
"2019-07-02","605949","258946","-286822",""
"2019-07-09","598977","244763","-278416",""
"2019-07-16","601900","245501","-277408",""
"2019-07-23","616859","251250","-287839",""
"2019-07-30","563298","254388","-287967",""
"2019-08-06","600317","292545","-324325",""
"2019-08-13","593962","290090","-323727",""
"2019-08-20","594807","299993","-336250",""
"2019-08-27","636183","296838","-333806",""
"2019-09-03","634358","300547","-337741",""
"2019-09-10","614753","269725","-305611",""
"2019-09-17","630990","282599","-318399",""
"2019-09-24","658944","312444","-345145",""
"2019-10-01","604885","268993","-303688",""
"2019-10-08","616957","275563","-310942",""
"2019-10-15","607387","253027","-288275",""
"2019-10-22","625528","259132","-295357",""
"2019-10-29","643442","276515","-301216",""
"2019-11-05","690181","279828","-317138",""
"2019-11-12","708463","267066","-301468",""
"2019-11-19","719211","285859","-319095",""
"2019-11-26","669268","271634","-305467",""
"2019-12-03","701016","290705","-322787",""
"2019-12-10","690003","270920","-302283",""
"2019-12-17","716987","286275","-318619",""
"2019-12-24","748737","305652","-340396",""
"2019-12-31","786166","327925","-366491","100"
"2020-01-07","785857","322291","-356081","98.1"
"2020-01-14","796883","319235","-349819","96.3"
"2020-01-21","793829","317695","-351903","94.5"
"2020-01-28","715539","330092","-360814","100"
"2020-02-04","654572","299806","-331687","84.2"
"2020-02-11","658024","307974","-337791","89.7"
"2020-02-18","715317","353649","-385612","100"
"2020-02-25","732917","335865","-375621","98.3"
"2020-03-03","691985","319733","-351011","91.8"
"2020-03-10","633470","299531","-328304","77.4"
"2020-03-17","573925","281916","-301709","65.1"
"2020-03-24","547334","288366","-311823","70.3"
"2020-03-31","495652","258849","-283959","47.7"
"2020-04-07","480050","248942","-275611","42.4"
"2020-04-14","489965","252501","-280408","44.8"
"2020-04-21","493158","249571","-280073","42.6"
"2020-04-28","500816","262729","-293629","53.6"
"2020-05-05","490343","250004","-281636","42.9"
"2020-05-12","496739","242828","-278533","36.6"
"2020-05-19","528205","251788","-290174","45.8"
"2020-05-26","519374","237914","-274322","35.6"
"2020-06-02","475745","219034","-256623","33.8"
"2020-06-09","475661","208613","-243457","33.3"
"2020-06-16","489563","224348","-258020","35.5"
"2020-06-23","532101","251957","-287292","49.4"
"2020-06-30","561628","266670","-301463","59"
"2020-07-07","572776","267358","-302592","60.8"
"2020-07-14","580175","262428","-302018","56.2"
"2020-07-21","603138","266436","-303859","58"
"2020-07-28","598629","236801","-278377","35.4"
"2020-08-04","561837","238746","-276345","37.3"
"2020-08-11","553345","224053","-268331","32.1"
"2020-08-18","544010","223518","-267771","31.8"
"2020-08-25","549282","221038","-266445","31.4"
"2020-09-01","547704","230796","-277406","35.6"
"2020-09-08","557457","236473","-281040","36.4"
"2020-09-15","578925","240977","-285186","41.6"
"2020-09-22","575877","219060","-266408","30"
"2020-09-29","562396","243659","-286178","44"
"2020-10-06","555555","248587","-288468","46.7"
"2020-10-13","553197","240671","-284655","40.9"
"2020-10-20","562993","249604","-294124","50"
"2020-10-27","560900","248634","-296462","47.4"
"2020-11-03","544774","242909","-289338","42.7"
"2020-11-10","547449","239736","-283423","39.2"
