time,profit
2023.12.22 15:51:18,19.07
2024.01.05 15:30:00,-10.28
2024.01.05 18:58:56,-7.15
2024.01.16 07:34:12,-9.26
2024.01.22 16:44:07,-8.13
2024.02.05 02:36:46,-8.33
2024.02.22 10:07:46,15.98
2024.02.29 12:37:04,-4.60
2024.04.02 17:24:20,35.61
2024.05.08 22:10:15,-9.61
2024.05.10 13:23:46,30.72
2024.05.16 15:57:45,-14.14
2024.05.20 15:42:05,-12.27
2024.05.31 06:16:53,-11.94
2024.06.07 06:51:01,23.61
2024.06.21 16:52:45,-9.88
2024.07.04 09:30:48,-10.22
2024.07.16 17:59:08,23.71
2024.07.17 19:23:23,-13.05
2024.08.01 17:22:47,-11.38
2024.08.02 17:38:10,-13.41
2024.08.12 18:14:51,30.42
2024.08.23 17:10:24,28.14
2024.09.20 15:06:15,41.05
2024.10.17 17:38:37,24.57
2024.10.21 22:01:45,-10.21
2024.11.01 17:43:39,-11.38
2024.11.19 15:22:32,-9.59
2024.11.22 03:00:04,24.62
2024.12.30 10:50:02,-8.88
2025.01.10 16:33:38,24.41
2025.01.27 07:57:44,-9.79
2025.02.24 16:27:11,-12.66
2025.03.03 05:22:44,-14.19
2025.03.18 11:28:17,33.93
2025.03.31 05:22:45,30.96
2025.04.16 08:06:54,37.01
2025.04.22 04:38:40,65.81
2025.05.16 13:45:53,-27.14
2025.05.20 17:14:25,64.74
2025.06.13 03:10:44,52.41
2025.07.03 04:06:49,-13.73
2025.07.28 15:24:42,-12.11
2025.08.04 04:24:10,-17.12
2025.08.08 01:16:28,-16.76
2025.08.21 04:03:31,-9.30
2025.08.29 22:53:53,23.95
2025.09.03 18:32:11,46.27
2025.10.08 19:11:29,51.92
2025.10.17 04:42:07,-28.34
2025.12.02 03:09:38,-22.23
2025.12.22 04:51:59,57.49
2025.12.31 07:48:25,-45.34
2026.01.09 03:00:04,-23.50
2026.01.12 02:39:39,64.76
2026.01.20 11:29:15,83.26
2026.01.26 08:48:02,94.31
2026.01.29 01:01:05,124.14
2026.01.29 01:39:08,159.77
2026.02.23 16:36:55,99.46
2026.03.02 03:01:28,-34.44
