"batch","ea","sym","base","max","ratio","pf","net"
"10","AF-Global Expert Unlimited","EURUSD","0.01","0.13","13","2.06","898.98"
"10","AF-Global Expert Unlimited","USDJPY","0.01","0.18","18","1.57","403.74"
"10","Automated Forex Grail","EURUSD","1","1","1","2.34","2957.96"
"10","Automated Forex Grail","USDJPY","1","1","1","2.23","1652.66"
"10","BB SWING","USDJPY","0.2","0.2","1","1.28","102.18"
"11","Blessing 3 v3.9.6.09","USDJPY","0.02","0.06","3","67.82","200.33"
"11","cci ma ea","EURUSD","1","1","1","1.14","2061.32"
"11","Daily breakout16","USDJPY","0.1","0.1","1","1.01","2.28"
"12","EA - Budak Ubat v1.51","EURUSD","0.01","0.3","30","2.03","653.43"
"12","EA - Budak Ubat v1.51","USDJPY","0.01","0.11","11","2.12","399.06"
"12","EA SCALP RENKO v2.3","EURUSD","0.1","0.1","1","1.48","534.6"
"12","EA SCALP RENKO v2.3","USDJPY","0.1","0.1","1","1.3","520.01"
"12","EA-Martin","EURUSD","0.01","0.34","34","1.7","533.95"
"12","EA-Martin","USDJPY","0.01","0.13","13","1.86","365.76"
"12","EA_Easy2Gain_Gemini_3ex","EURUSD","0.1","0.33","3.3","1.22","381.01"
"12","EAForexTH_CrawlingGrid_2.2","EURUSD","0.01","0.17","17","2.13","841.62"
"12","EAForexTH_CrawlingGrid_2.2","USDJPY","0.01","0.17","17","2.49","987.83"
"12","EAForexTH_Fibo v1.0_EU_M1","EURUSD","0.01","0.15","15","3.29","237.52"
"12","EAForexTH_Fibo v1.0_EU_M1","USDJPY","0.01","0.13","13","4.7","291.16"
"12","EAForexTH_MultiHedge_1.0","EURUSD","0.01","0.01","1","2.54","158.64"
"12","EAForexTH_Scalper_S3_1.0","EURUSD","0.22","0.23","1","12.68","637.63"
"12","EAForexTH_Scalper_S3_1.0","USDJPY","0.26","0.29","1.1","64.66","1414.57"
"12","EMA_Cross","EURUSD","0.3","0.3","1","1.02","24.84"
"12","ema_crossmod","EURUSD","2","2","1","1.78","4542.44"
"12","Envelope 2","EURUSD","0.2","0.2","1","1.61","879.95"
"12","Envelope 2","USDJPY","0.2","0.2","1","1.5","677.23"
"12","Expert","EURUSD","4","4","1","1.11","1120.64"
"12","Expert","USDJPY","4","4","1","1.26","1595.52"
"13","firebird v63f","EURUSD","0.1","0.1","1","1.15","143.6"
"13","FoldXEA","USDJPY","0.01","6.25","625","1.6","255.83"
"13","Fxs","EURUSD","0.1","1.3","13","1.51","2409.83"
"13","FZ2","EURUSD","0.03","0.18","6","2.57","641.17"
"13","FZ2","USDJPY","0.03","0.18","6","3.41","640.28"
"13","GBPJPY1H90PCWR","USDJPY","1","1","1","8.15","71152.04"
"13","gods gift ea v 4c","EURUSD","0.1","0.1","1","1.32","57.61"
"15","Ilan__Z-Mod","EURUSD","0.1","1.3","13","1.51","2409.83"
"15","Ilan__Z-Mod","USDJPY","0.1","16.6","166","1.29","1538.69"
"15","Ilan_test","EURUSD","0.01","0.16","16","1.5","221"
"15","Ilan_test","USDJPY","0.01","1.03","103","1.34","135.92"
"15","killer_sell","USDJPY","0.06","0.17","2.8","1.69","218.33"
"15","Lenhune Forward For free V2","EURUSD","0.01","0.37","37","1.91","639.23"
"15","Lenhune Forward For free V2","USDJPY","0.01","0.1","10","2.85","400.77"
"15","MA_MA_2-35_EA","EURUSD","0.1","0.1","1","1.17","215.54"
"14","GoldenProfit_AUTO","USDJPY","0.01","0.69","69","3.61","1545.68"
"14","GridMACDMEURUSD","USDJPY","0.1","0.1","1","1.12","462.78"
"14","GridMaster_fixed","EURUSD","0.01","0.11","11","1.54","121.58"
"14","GridMaster_fixed","USDJPY","0.01","0.07","7","2.46","142.8"
"14","HedgeMadnessSELL","EURUSD","0.02","1.28","64","2.08","2171.56"
"14","HedgeMadnessSELL","USDJPY","0.02","5.12","256","1.62","2352.24"
"14","Hendra Robot","EURUSD","","","NO_ENTRIES","1.31","5735.47"
"16","MACD Sample","EURUSD","0.1","0.1","1","1.11","23.55"
"16","MACrossoverMaster","EURUSD","0.1","0.1","1","1.43","2537.16"
"16","MACrossoverMaster","USDJPY","0.1","0.1","1","1.06","299.84"
"16","MARTINGALE VI HYBRID1","EURUSD","0.01","0.08","8","1.01","3.4"
"16","Mm2019","EURUSD","0.01","0.16","16","1.5","221"
"16","Mm2019","USDJPY","0.01","0.65","65","1.35","137.46"
"16","Moving Average","EURUSD","","","NO_ENTRIES","1.66","737.32"
"17","Oracle EA","EURUSD","0.15","0.15","1","1.69","663.3"
"17","Phoenix_EA_v5_6_03","USDJPY","0.2","0.2","1","2.93","1977.06"
"18","rbt","EURUSD","0.01","0.27","27","1.28","136.12"
"18","rbt","USDJPY","0.01","0.04","4","1.39","85.09"
"18","Scalping Strategy System V2.0","EURUSD","0.01","0.15","15","2.2","512.13"
"18","Scalping Strategy System V2.0","USDJPY","0.01","0.09","9","3.97","403"
"18","Simple ZigZag EA+martingale","USDJPY","0.1","0.1","1","1.32","252.29"
"18","Simple2020","EURUSD","0.01","0.01","1","1.85","24.83"
"18","Simple_Inverse2020","EURUSD","0.01","0.01","1","1.85","24.83"
"19","STARTUP FOREX ROBOT","EURUSD","0.01","0.05","5","2.15","53.82"
"19","STARTUP FOREX ROBOT","USDJPY","0.01","0.05","5","7.84","37.69"
"19","SUPERTRENDSURFER","EURUSD","0.1","0.6","6","1.54","3820.82"
"19","SuperWinForexThai","EURUSD","0.01","0.01","1","1.04","7.88"
"19","swb grid 4.1.0.3_h","EURUSD","0.2","0.45","2.2","2.38","1244.96"
