"batch","ea","path","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"01","Broker Killer v 2 .2 by @SoftechFX_Robot",".EA OK\Broker Killer V2.2 by @SoftechFX_Robot\EA\Broker Killer v 2 .2 by @SoftechFX_Robot.ex4","XAUUSD","0","","False","",,,,,"","symbol-unavailable","1"
"01","Broker Killer v 2 .2 by @SoftechFX_Robot",".EA OK\Broker Killer V2.2 by @SoftechFX_Robot\EA\Broker Killer v 2 .2 by @SoftechFX_Robot.ex4","EURUSD","156","MS4_01_0001_M2_EURUSD.htm","True","MS4_01_0001_M1_EURUSD.htm","0.57","399","-1245.41","25.78","Reject","","1"
"01","Broker Killer v 2 .2 by @SoftechFX_Robot",".EA OK\Broker Killer V2.2 by @SoftechFX_Robot\EA\Broker Killer v 2 .2 by @SoftechFX_Robot.ex4","USDJPY","170","MS4_01_0001_M2_USDJPY.htm","True","MS4_01_0001_M1_USDJPY.htm","3.36","972","1564.14","17.55","Tier A","","1"
"01","Broker Killer v 2 .2 by @SoftechFX_Robot",".EA OK\Broker Killer V2.2 by @SoftechFX_Robot\EA\Broker Killer v 2 .2 by @SoftechFX_Robot.ex4","AUDNZD","0","","False","",,,,,"","symbol-unavailable","1"
"01","BuRengNong201_FiniteLaser8",".EA OK\BuRengNong201_FiniteLaser8.ex4","XAUUSD","0","","False","",,,,,"","symbol-unavailable","2"
"01","BuRengNong201_FiniteLaser8",".EA OK\BuRengNong201_FiniteLaser8.ex4","EURUSD","0","MS4_01_0002_M2_EURUSD.htm","False","",,,,,"","skip-all-zero-m2","2"
"01","BuRengNong201_FiniteLaser8",".EA OK\BuRengNong201_FiniteLaser8.ex4","USDJPY","0","MS4_01_0002_M2_USDJPY.htm","False","",,,,,"","skip-all-zero-m2","2"
"01","BuRengNong201_FiniteLaser8",".EA OK\BuRengNong201_FiniteLaser8.ex4","AUDNZD","0","","False","",,,,,"","symbol-unavailable","2"
"01","ClevrFX_EA",".EA OK\ClevrFX\ClevrFX_EA.ex4","XAUUSD","0","","False","",,,,,"","symbol-unavailable","3"
"01","ClevrFX_EA",".EA OK\ClevrFX\ClevrFX_EA.ex4","EURUSD","34","MS4_01_0003_M2_EURUSD.htm","True","MS4_01_0003_M1_EURUSD.htm","2.04","95","914.26","12.18","Tier A","","3"
