"ea","path","guess_type","symbol","m2_trades","m2_report","m1_ran","m1_report","m1_pf","m1_trades","m1_net","m1_eqdd","tier","note","ea_index"
"(OH) 2way EA v05G","(OH) EA\(OH) 2way EA v05G.ex5","unknown-ea","XAUUSD","0","MS5_0001_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","1"
"(OH) 2way EA v05G","(OH) EA\(OH) 2way EA v05G.ex5","unknown-ea","EURUSD","0","MS5_0001_M2_EURUSD.htm","False","",,,,,"","m2-trades-below-10","1"
"(OH) 2way EA v05G","(OH) EA\(OH) 2way EA v05G.ex5","unknown-ea","USDJPY","2","MS5_0001_M2_USDJPY.htm","False","",,,,,"","m2-trades-below-10","1"
"(OH) 2way EA v05G","(OH) EA\(OH) 2way EA v05G.ex5","unknown-ea","AUDNZD","5","MS5_0001_M2_AUDNZD.htm","False","",,,,,"","m2-trades-below-10","1"
"(Oh) Arbitrage Super Profit V04","(OH) EA\(Oh) Arbitrage Super Profit V04.ex5","unknown-ea","XAUUSD","33","MS5_0002_M2_XAUUSD.htm","True","MS5_0002_M1_XAUUSD.htm","0.95","120","-137.73","3.56","Reject","","2"
"(Oh) Arbitrage Super Profit V04","(OH) EA\(Oh) Arbitrage Super Profit V04.ex5","unknown-ea","EURUSD","36","MS5_0002_M2_EURUSD.htm","True","MS5_0002_M1_EURUSD.htm","1.46","1170","4300.18","2.39","Tier A","","2"
"(Oh) Arbitrage Super Profit V04","(OH) EA\(Oh) Arbitrage Super Profit V04.ex5","unknown-ea","USDJPY","33","MS5_0002_M2_USDJPY.htm","True","MS5_0002_M1_USDJPY.htm","0.95","120","-137.73","6.19","Reject","","2"
"(Oh) Arbitrage Super Profit V04","(OH) EA\(Oh) Arbitrage Super Profit V04.ex5","unknown-ea","AUDNZD","36","MS5_0002_M2_AUDNZD.htm","True","MS5_0002_M1_AUDNZD.htm","0.96","120","-116.43","6.32","Reject","","2"
"(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09","(OH) EA\(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","3"
"(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09","(OH) EA\(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","3"
"(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09","(OH) EA\(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","3"
"(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09","(OH) EA\(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","3"
"(oh) continue v06","(OH) EA\(oh) continue v06.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","4"
"(oh) continue v06","(OH) EA\(oh) continue v06.ex5","unknown-ea","EURUSD","120","MS5_0004_M2_EURUSD.htm","True","MS5_0004_M1_EURUSD.htm","2.35","705","8958.24","17.17","Tier A","","4"
"(oh) continue v06","(OH) EA\(oh) continue v06.ex5","unknown-ea","USDJPY","85","MS5_0004_M2_USDJPY.htm","True","MS5_0004_M1_USDJPY.htm","2.16","771","12002.82","36.55","Tier A","","4"
"(oh) continue v06","(OH) EA\(oh) continue v06.ex5","unknown-ea","AUDNZD","111","MS5_0004_M2_AUDNZD.htm","True","MS5_0004_M1_AUDNZD.htm","0.29","48","-2663.02","38.49","Reject","","4"
"(Oh) Elliott Wave 14 Correction Price Action v01","(OH) EA\(Oh) Elliott Wave 14 Correction Price Action v01.ex5","unknown-ea","XAUUSD","0","","False","",,,,,"","m2-no-report","5"
"(Oh) Elliott Wave 14 Correction Price Action v01","(OH) EA\(Oh) Elliott Wave 14 Correction Price Action v01.ex5","unknown-ea","EURUSD","0","","False","",,,,,"","m2-no-report","5"
"(Oh) Elliott Wave 14 Correction Price Action v01","(OH) EA\(Oh) Elliott Wave 14 Correction Price Action v01.ex5","unknown-ea","USDJPY","0","","False","",,,,,"","m2-no-report","5"
"(Oh) Elliott Wave 14 Correction Price Action v01","(OH) EA\(Oh) Elliott Wave 14 Correction Price Action v01.ex5","unknown-ea","AUDNZD","0","","False","",,,,,"","m2-no-report","5"
"(oh) fibo gold v06","(OH) EA\(oh) fibo gold v06.ex5","unknown-ea","XAUUSD","12","MS5_0006_M2_XAUUSD.htm","True","MS5_0006_M1_XAUUSD.htm","0.99","365","-90.71","20.46","Reject","","6"
"(oh) fibo gold v06","(OH) EA\(oh) fibo gold v06.ex5","unknown-ea","EURUSD","26","MS5_0006_M2_EURUSD.htm","True","MS5_0006_M1_EURUSD.htm","0.95","528","-27.04","0.76","Reject","","6"
"(oh) fibo gold v06","(OH) EA\(oh) fibo gold v06.ex5","unknown-ea","USDJPY","18","MS5_0006_M2_USDJPY.htm","True","MS5_0006_M1_USDJPY.htm","1.07","380","28.91","0.75","Tier A","","6"
"(oh) fibo gold v06","(OH) EA\(oh) fibo gold v06.ex5","unknown-ea","AUDNZD","52","MS5_0006_M2_AUDNZD.htm","True","MS5_0006_M1_AUDNZD.htm","0.35","572","-262.29","2.65","Reject","","6"
"(oh) Grid Lot Full Hedging Snowball EA ","(OH) EA\(oh) Grid Lot Full Hedging Snowball EA .ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","m2-no-report","7"
"(oh) Grid Lot Full Hedging Snowball EA ","(OH) EA\(oh) Grid Lot Full Hedging Snowball EA .ex5","grid-recovery","EURUSD","0","","False","",,,,,"","m2-no-report","7"
"(oh) Grid Lot Full Hedging Snowball EA ","(OH) EA\(oh) Grid Lot Full Hedging Snowball EA .ex5","grid-recovery","USDJPY","0","","False","",,,,,"","m2-no-report","7"
"(oh) Grid Lot Full Hedging Snowball EA ","(OH) EA\(oh) Grid Lot Full Hedging Snowball EA .ex5","grid-recovery","AUDNZD","0","","False","",,,,,"","m2-no-report","7"
"(Oh) Grid Upper lower V23","(OH) EA\(Oh) Grid Upper lower V23.ex5","grid-recovery","XAUUSD","112","MS5_0008_M2_XAUUSD.htm","True","",,,,,"","m1-no-report","8"
"(Oh) Grid Upper lower V23","(OH) EA\(Oh) Grid Upper lower V23.ex5","grid-recovery","EURUSD","139","MS5_0008_M2_EURUSD.htm","True","MS5_0008_M1_EURUSD.htm","1.65","561","1176.07","6.85","Tier A","","8"
"(Oh) Grid Upper lower V23","(OH) EA\(Oh) Grid Upper lower V23.ex5","grid-recovery","USDJPY","55","MS5_0008_M2_USDJPY.htm","True","MS5_0008_M1_USDJPY.htm","0.38","618","-6291.58","75.92","Reject","","8"
"(Oh) Grid Upper lower V23","(OH) EA\(Oh) Grid Upper lower V23.ex5","grid-recovery","AUDNZD","78","MS5_0008_M2_AUDNZD.htm","True","MS5_0008_M1_AUDNZD.htm","0.38","142","-1791.51","27.07","Reject","","8"
"(oh) grid v04A","(OH) EA\(oh) grid v04A.ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","m2-no-report","9"
"(oh) grid v04A","(OH) EA\(oh) grid v04A.ex5","grid-recovery","EURUSD","337","MS5_0009_M2_EURUSD.htm","True","MS5_0009_M1_EURUSD.htm","0.85","2686","-1721.82","25.64","Reject","","9"
"(oh) grid v04A","(OH) EA\(oh) grid v04A.ex5","grid-recovery","USDJPY","396","MS5_0009_M2_USDJPY.htm","True","MS5_0009_M1_USDJPY.htm","0.87","5860","-2379.71","32.65","Reject","","9"
"(oh) grid v04A","(OH) EA\(oh) grid v04A.ex5","grid-recovery","AUDNZD","221","MS5_0009_M2_AUDNZD.htm","True","MS5_0009_M1_AUDNZD.htm","0.62","1451","-2634.24","35.65","Reject","","9"
"(oh) grid v05","(OH) EA\(oh) grid v05.ex5","grid-recovery","XAUUSD","2803","MS5_0010_M2_XAUUSD.htm","True","",,,,,"","m1-no-report","10"
"(oh) grid v05","(OH) EA\(oh) grid v05.ex5","grid-recovery","EURUSD","368","MS5_0010_M2_EURUSD.htm","True","MS5_0010_M1_EURUSD.htm","1.13","2981","518.88","7.7","Tier A","","10"
"(oh) grid v05","(OH) EA\(oh) grid v05.ex5","grid-recovery","USDJPY","480","MS5_0010_M2_USDJPY.htm","True","MS5_0010_M1_USDJPY.htm","0.98","6426","-136.19","9.04","Reject","","10"
"(oh) grid v05","(OH) EA\(oh) grid v05.ex5","grid-recovery","AUDNZD","284","MS5_0010_M2_AUDNZD.htm","True","MS5_0010_M1_AUDNZD.htm","0.37","1335","-2385.23","30.08","Reject","","10"
"(OH) Grid Lot Dif Hedging EA V04","(OH) EA\(OH) Grid Lot Dif Hedging EA V04.ex5","grid-recovery","XAUUSD","0","","False","",,,,,"","m2-no-report","11"
"(OH) Grid Lot Dif Hedging EA V04","(OH) EA\(OH) Grid Lot Dif Hedging EA V04.ex5","grid-recovery","EURUSD","0","","False","",,,,,"","m2-no-report","11"
"(OH) Grid Lot Dif Hedging EA V04","(OH) EA\(OH) Grid Lot Dif Hedging EA V04.ex5","grid-recovery","USDJPY","0","","False","",,,,,"","m2-no-report","11"
"(OH) Grid Lot Dif Hedging EA V04","(OH) EA\(OH) Grid Lot Dif Hedging EA V04.ex5","grid-recovery","AUDNZD","0","","False","",,,,,"","m2-no-report","11"
"(oh) Master GRID ATR Accumulative Deduction -B V23","(OH) EA\(oh) Master GRID ATR Accumulative Deduction -B V23.ex5","grid-recovery","XAUUSD","0","MS5_0012_M2_XAUUSD.htm","False","",,,,,"","m2-trades-below-10","12"
"(oh) Master GRID ATR Accumulative Deduction -B V23","(OH) EA\(oh) Master GRID ATR Accumulative Deduction -B V23.ex5","grid-recovery","EURUSD","714","MS5_0012_M2_EURUSD.htm","True","MS5_0012_M1_EURUSD.htm","1.44","5551","2666.37","21.17","Tier A","","12"
"(oh) Master GRID ATR Accumulative Deduction -B V23","(OH) EA\(oh) Master GRID ATR Accumulative Deduction -B V23.ex5","grid-recovery","USDJPY","630","MS5_0012_M2_USDJPY.htm","True","MS5_0012_M1_USDJPY.htm","1.38","5388","2501.33","9.36","Tier A","","12"
"(oh) Master GRID ATR Accumulative Deduction -B V23","(OH) EA\(oh) Master GRID ATR Accumulative Deduction -B V23.ex5","grid-recovery","AUDNZD","552","MS5_0012_M2_AUDNZD.htm","True","MS5_0012_M1_AUDNZD.htm","0.22","1786","-8813.25","89.64","Reject","","12"
