time,profit
2020.01.02 01:08:40,0.56
2020.01.02 03:48:40,0.08
2020.01.02 03:48:40,0.58
2020.01.03 05:14:40,0.51
2020.01.03 09:12:40,0.62
2020.01.06 05:04:40,-0.02
2020.01.06 05:04:40,0.48
2020.01.07 07:46:00,0.52
2020.01.08 08:21:40,0.04
2020.01.08 08:21:40,0.54
2020.01.08 16:22:40,0.04
2020.01.08 16:22:40,0.54
2020.01.09 07:37:40,0.07
2020.01.09 07:37:40,0.57
2020.01.09 13:05:40,0.04
2020.01.09 13:05:40,0.54
2020.01.09 22:08:40,0.58
2020.01.10 20:56:40,0.52
2020.01.13 22:12:00,0.52
2020.01.14 13:03:40,0.05
2020.01.14 13:03:40,0.55
2020.01.14 15:09:40,0.66
2020.01.15 12:20:40,0.01
2020.01.15 12:20:40,0.51
2020.01.15 23:29:40,0.04
2020.01.15 23:29:40,0.54
2020.01.16 12:11:40,0.01
2020.01.16 12:11:40,0.51
2020.01.16 14:12:40,0.66
2020.01.16 19:02:40,0.55
2020.01.17 11:31:40,0.11
2020.01.17 11:31:40,0.61
2020.01.17 13:04:40,0.90
2020.01.20 15:11:40,0.63
2020.01.22 05:00:40,0.03
2020.01.22 05:00:40,0.53
2020.01.22 13:00:40,0.84
2020.01.23 03:59:40,0.58
2020.01.24 08:27:40,0.52
2020.01.24 13:09:40,0.51
2020.01.27 10:02:20,0.58
2020.01.27 19:01:40,0.66
2020.01.28 03:19:00,0.51
2020.01.28 14:08:40,0.10
2020.01.28 14:08:40,0.60
2020.01.30 13:30:40,0.33
2020.01.30 13:30:40,0.83
2020.01.30 15:03:40,0.05
2020.01.30 15:03:40,0.55
2020.01.31 03:49:40,0.58
2020.01.31 13:47:40,0.06
2020.01.31 13:47:40,0.56
2020.01.31 17:02:40,0.82
2020.02.03 03:47:40,0.02
2020.02.03 03:47:40,0.52
2020.02.04 05:39:20,0.54
2020.02.05 07:02:40,0.61
2020.02.05 11:30:40,1.13
2020.02.05 11:30:40,1.63
2020.02.05 18:11:20,0.01
2020.02.05 18:11:20,0.51
2020.02.06 12:02:40,0.52
2020.02.06 15:22:40,0.15
2020.02.06 15:22:40,0.65
2020.02.07 04:49:40,0.55
2020.02.07 21:59:40,0.56
2020.02.10 06:57:40,0.60
2020.02.11 00:02:40,0.66
2020.02.11 09:01:40,0.58
2020.02.14 19:00:00,-13.60
2020.02.14 19:00:00,-13.10
2020.02.17 08:14:40,0.56
2020.02.18 08:10:40,0.58
2020.02.18 13:04:40,0.51
2020.02.19 02:50:20,0.04
2020.02.19 02:50:20,0.56
2020.02.19 11:30:40,1.12
2020.02.19 11:30:40,1.62
2020.02.19 15:04:40,0.12
2020.02.19 15:04:40,0.62
2020.02.20 11:22:40,0.12
2020.02.20 11:22:40,0.62
2020.02.20 15:58:40,1.47
2020.02.20 15:58:40,1.97
2020.02.20 21:21:40,0.57
2020.02.24 04:57:40,0.14
2020.02.24 04:57:40,0.64
2020.02.24 22:43:20,0.02
2020.02.24 22:43:20,0.52
2020.02.26 04:37:40,0.01
2020.02.26 04:37:40,0.51
2020.02.27 04:26:40,0.53
2020.02.27 14:09:40,0.78
2020.02.28 00:49:20,0.02
2020.02.28 00:49:20,0.52
2020.02.28 11:01:40,0.75
2020.02.28 13:07:40,0.66
2020.02.28 17:08:40,0.04
2020.02.28 17:08:40,0.54
2020.03.02 03:07:40,0.63
2020.03.02 13:13:40,0.65
2020.03.02 21:27:40,0.05
2020.03.02 21:27:40,0.55
2020.03.03 04:52:40,0.08
2020.03.03 04:52:40,0.58
2020.03.04 09:09:40,0.75
2020.03.04 18:25:40,0.02
2020.03.04 18:25:40,0.52
2020.03.05 09:24:40,0.01
2020.03.05 09:24:40,0.51
2020.03.05 13:55:40,0.56
2020.03.05 13:55:40,1.06
2020.03.06 04:57:40,0.08
2020.03.06 04:57:40,0.58
2020.03.06 14:07:20,0.59
2020.03.10 17:27:40,0.06
2020.03.10 17:27:40,0.56
2020.03.11 07:35:40,0.56
2020.03.11 21:24:40,0.53
2020.03.12 11:05:40,0.10
2020.03.12 11:05:40,0.60
2020.03.12 14:08:40,0.40
2020.03.12 14:08:40,0.90
2020.03.13 06:51:40,0.09
2020.03.13 06:51:40,0.59
2020.03.13 20:04:40,0.05
2020.03.13 20:04:40,0.55
2020.03.16 04:01:40,0.12
2020.03.16 04:01:40,0.62
2020.03.20 08:00:00,-61.10
2020.03.20 08:00:00,-60.60
2020.03.20 21:01:40,0.97
2020.03.20 21:01:40,1.47
2020.03.23 09:08:40,0.82
2020.03.23 18:30:40,0.20
2020.03.23 18:30:40,0.70
2020.03.24 04:05:40,1.32
2020.03.25 00:26:30,0.20
2020.03.25 00:26:30,0.70
2020.03.25 07:19:40,0.32
2020.03.25 07:19:40,0.82
2020.03.25 18:06:40,0.45
2020.03.25 18:06:40,0.95
2020.03.26 02:34:40,0.15
2020.03.26 02:34:40,0.65
2020.03.26 06:30:40,0.05
2020.03.26 06:30:40,0.55
2020.03.26 12:00:40,1.42
2020.03.27 06:05:40,0.84
2020.03.27 06:05:40,1.34
2020.03.27 08:03:40,0.97
2020.03.27 11:00:20,0.66
2020.03.27 21:00:40,0.68
2020.03.30 05:02:40,0.75
2020.03.31 16:00:40,0.84
2020.04.01 04:05:40,0.71
2020.04.02 09:07:20,-0.03
2020.04.02 09:07:20,0.47
2020.04.02 10:01:40,0.69
2020.04.02 18:03:40,0.33
2020.04.02 18:03:40,0.83
2020.04.03 05:06:40,0.01
2020.04.03 05:06:40,0.51
2020.04.03 06:12:40,0.60
2020.04.06 01:00:40,0.56
2020.04.07 01:17:40,0.61
2020.04.07 08:09:40,0.05
2020.04.07 08:09:40,0.55
2020.04.08 03:28:40,0.06
2020.04.08 03:28:40,0.56
2020.04.08 16:16:40,0.51
2020.04.08 16:16:40,1.01
2020.04.09 05:02:40,0.01
2020.04.09 05:02:40,0.51
2020.04.09 15:56:40,0.27
2020.04.09 15:56:40,0.77
2020.04.10 03:14:20,0.53
2020.04.13 11:05:40,0.35
2020.04.13 11:05:40,0.85
2020.04.14 03:25:40,0.10
2020.04.14 03:25:40,0.60
2020.04.14 06:07:40,0.68
2020.04.14 15:03:40,0.18
2020.04.14 15:03:40,0.68
2020.04.14 18:05:20,0.06
2020.04.14 18:05:20,0.56
2020.04.15 04:06:40,0.72
2020.04.21 06:00:00,-15.23
2020.04.21 06:00:00,-14.73
2020.04.22 01:09:40,0.60
2020.04.22 22:08:40,0.53
2020.04.23 03:40:20,0.03
2020.04.23 03:40:20,0.53
2020.04.24 03:34:40,0.06
2020.04.24 03:34:40,0.56
2020.04.24 17:07:40,0.05
2020.04.24 17:07:40,0.55
2020.04.24 22:20:40,0.51
2020.04.27 18:17:40,0.05
2020.04.27 18:17:40,0.55
2020.04.28 12:03:20,0.28
2020.04.28 12:03:20,0.78
2020.04.28 23:40:40,0.09
2020.04.28 23:40:40,0.59
2020.04.29 08:24:40,0.03
2020.04.29 08:24:40,0.53
2020.04.29 13:04:40,0.53
2020.04.29 22:03:40,0.61
2020.05.01 04:14:40,0.74
2020.05.04 12:45:40,0.39
2020.05.04 12:45:40,0.89
2020.05.04 15:21:20,0.06
2020.05.04 15:21:20,0.56
2020.05.04 18:23:40,0.05
2020.05.04 18:23:40,0.55
2020.05.05 17:14:40,0.08
2020.05.05 17:14:40,0.58
2020.05.05 18:39:40,0.21
2020.05.05 18:39:40,0.71
2020.05.05 22:29:40,0.01
2020.05.05 22:29:40,0.51
2020.05.07 08:38:40,0.12
2020.05.07 08:38:40,0.62
2020.05.07 19:02:40,0.54
2020.05.07 22:07:40,0.52
2020.05.08 14:20:40,0.59
2020.05.11 05:14:40,0.18
2020.05.11 05:14:40,0.68
2020.05.14 15:00:00,-23.65
2020.05.14 15:00:00,-23.15
2020.05.15 11:08:40,0.02
2020.05.15 11:08:40,0.52
2020.05.18 09:24:40,0.02
2020.05.18 09:24:40,0.52
2020.05.19 08:48:40,0.81
2020.05.19 11:59:40,0.24
2020.05.19 11:59:40,0.74
2020.05.19 23:09:40,0.29
2020.05.19 23:09:40,0.79
2020.05.20 00:15:40,0.61
2020.05.20 22:51:40,0.09
2020.05.20 22:51:40,0.59
2020.05.21 14:06:40,0.64
2020.05.22 07:22:20,0.51
2020.05.22 22:59:40,0.05
2020.05.22 22:59:40,0.55
2020.05.29 10:00:00,-16.05
2020.05.29 10:00:00,-15.55
2020.05.29 12:38:40,0.01
2020.05.29 12:38:40,0.51
2020.06.01 03:10:40,0.31
2020.06.01 03:10:40,0.81
2020.06.01 04:11:40,0.55
2020.06.01 15:35:40,0.24
