bars,sl,tf,window,PF,Net,Trades,DDpct,WinPct,status
12,1.5,H1,MAIN,1.24,579.21,371.0,2.56,38.01,OK
12,1.5,H1,BWD,0.9,-168.17,350.0,3.64,34.29,OK
12,1.5,H4,MAIN,2.06,1365.05,126.0,1.69,50.0,OK
12,1.5,H4,BWD,0.87,-160.0,117.0,4.16,35.04,OK
12,2.0,H1,MAIN,1.25,669.64,350.0,3.55,44.86,OK
12,2.0,H1,BWD,1.07,124.04,321.0,3.3,44.55,OK
12,2.0,H4,MAIN,1.88,1292.19,119.0,2.1,55.46,OK
12,2.0,H4,BWD,0.93,-96.63,107.0,3.79,44.86,OK
12,3.0,H1,MAIN,1.25,744.91,327.0,3.31,56.88,OK
12,3.0,H1,BWD,1.02,36.95,295.0,3.8,53.9,OK
12,3.0,H4,MAIN,1.79,1321.61,113.0,2.67,66.37,OK
12,3.0,H4,BWD,0.86,-218.73,94.0,6.19,53.19,OK
20,1.5,H1,MAIN,1.22,473.19,334.0,2.32,37.43,OK
20,1.5,H1,BWD,0.81,-308.52,313.0,4.62,31.63,OK
20,1.5,H4,MAIN,2.18,1199.06,97.0,1.5,52.58,OK
20,1.5,H4,BWD,0.8,-218.64,97.0,4.91,34.02,OK
20,2.0,H1,MAIN,1.16,396.38,318.0,2.98,43.08,OK
20,2.0,H1,BWD,0.97,-56.46,291.0,3.59,41.92,OK
20,2.0,H4,MAIN,2.0,1172.19,94.0,1.92,57.45,OK
20,2.0,H4,BWD,0.85,-181.15,90.0,4.81,43.33,OK
20,3.0,H1,MAIN,1.22,603.55,298.0,2.77,56.04,OK
20,3.0,H1,BWD,0.94,-129.71,275.0,4.24,51.64,OK
20,3.0,H4,MAIN,1.85,1139.12,88.0,2.85,67.05,OK
20,3.0,H4,BWD,0.89,-135.8,80.0,6.38,55.0,OK
40,1.5,H1,MAIN,1.47,666.04,240.0,1.68,39.58,OK
40,1.5,H1,BWD,0.83,-183.61,209.0,4.18,31.58,OK
40,1.5,H4,MAIN,2.43,1114.23,77.0,1.56,55.84,OK
40,1.5,H4,BWD,0.86,-97.65,67.0,3.64,35.82,OK
40,2.0,H1,MAIN,1.41,665.84,232.0,2.41,45.26,OK
40,2.0,H1,BWD,1.05,54.74,194.0,3.16,43.3,OK
40,2.0,H4,MAIN,2.12,1036.19,75.0,1.94,60.0,OK
40,2.0,H4,BWD,0.87,-104.41,62.0,4.29,43.55,OK
40,3.0,H1,MAIN,1.32,628.82,223.0,3.0,55.16,OK
40,3.0,H1,BWD,1.07,89.8,184.0,3.24,54.35,OK
40,3.0,H4,MAIN,2.03,1086.96,72.0,2.7,70.83,OK
40,3.0,H4,BWD,1.01,6.41,57.0,3.86,59.65,OK
