"dist","basketTP","window","PF","Net","Trades","DDpct","WinPct","status"
"1.5","150","MAIN","1.64","290.05","35.0","5.23","71.43","OK"
"1.5","250","MAIN","0.87","-185.68","44.0","7.91","54.55","OK"
"1.5","400","MAIN","1.18","157.71","29.0","10.08","51.72","OK"
"2.0","150","MAIN","0.63","-761.88","67.0","10.98","58.21","OK"
"2.0","250","MAIN","0.5","-584.11","25.0","9.89","36.0","OK"
"2.0","400","MAIN","0.65","-508.95","32.0","11.93","37.5","OK"
"2.5","150","MAIN","0.89","-98.88","40.0","4.89","60.0","OK"
"2.5","250","MAIN","0.61","-465.41","32.0","7.47","43.75","OK"
"2.5","400","MAIN","0.85","-139.28","21.0","9.11","38.1","OK"
"1.5","150","BWD","0.81","-181.39","48.0","7.73","60.42","OK"
"1.5","250","BWD","0.62","-562.61","51.0","11.2","49.02","OK"
"1.5","400","BWD","0.5","-567.58","26.0","10.35","38.46","OK"
"2.0","150","BWD","0.61","-270.71","23.0","4.26","56.52","OK"
"2.0","250","BWD","0.53","-413.36","20.0","6.26","35.0","OK"
"2.0","400","BWD","0.34","-1570.29","31.0","21.82","32.26","OK"
"2.5","150","BWD","0.4","-810.4","31.0","8.48","38.71","OK"
"2.5","250","BWD","0.6","-256.38","12.0","4.23","33.33","OK"
"2.5","400","BWD","0.63","-136.93","6.0","4.23","50.0","OK"
