"dist","basketTP","window","PF","Net","Trades","DDpct","WinPct","status"
"1.5","150","MAIN","0.35","-1445.21","49.0","17.02","48.98","OK"
"1.5","250","MAIN","0.25","-1354.58","33.0","18.23","39.39","OK"
"1.5","400","MAIN","0.22","-1599.39","27.0","21.49","25.93","OK"
"2.0","150","MAIN","1.29","58.59","8.0","3.74","75.0","OK"
"2.0","250","MAIN","0.38","-978.46","34.0","13.67","50.0","OK"
"2.0","400","MAIN","0.28","-1256.07","26.0","16.71","34.62","OK"
"2.5","150","MAIN","0.41","-1292.89","51.0","17.71","52.94","OK"
"2.5","250","MAIN","0.36","-1780.75","43.0","23.55","39.53","OK"
"2.5","400","MAIN","0.21","-1692.34","27.0","21.3","22.22","OK"
"1.5","150","BWD","0.99","-2.79","8.0","4.19","62.5","OK"
"1.5","250","BWD","0.62","-269.1","17.0","8.27","70.59","OK"
"1.5","400","BWD","0.77","-158.28","13.0","7.52","61.54","OK"
"2.0","150","BWD","0.53","-251.22","8.0","5.88","50.0","OK"
"2.0","250","BWD","0.37","-609.13","15.0","10.32","53.33","OK"
"2.0","400","BWD","0.45","-553.43","12.0","9.58","41.67","OK"
"2.5","150","BWD","0.54","-262.71","7.0","6.41","42.86","OK"
"2.5","250","BWD","0.47","-523.91","19.0","10.62","63.16","OK"
"2.5","400","BWD","0.6","-393.27","17.0","9.87","58.82","OK"
