symbol,tf,window,SL,TP,PF,Net,Trades,DDpct,WinPct,status
EURUSD,H1,BWD,20,15,0.86,-110.49,842,1.34,53.56,OK
EURUSD,H4,BWD,20,15,0.81,-49.48,276,0.64,52.17,OK
XAUUSD,H1,BWD,20,15,0.79,-182.54,880,1.99,51.36,OK
XAUUSD,H4,BWD,20,15,0.88,-28.38,263,0.55,53.99,OK
EURUSD,H1,MAIN,20,20,0.98,-14.90,763,0.87,49.80,OK
EURUSD,H1,MAIN,20,25,0.93,-60.60,716,0.83,42.88,OK
EURUSD,H1,MAIN,20,30,0.98,-14.25,672,0.67,39.88,OK
EURUSD,H4,MAIN,20,20,0.81,-53.75,258,0.88,44.96,OK
EURUSD,H4,MAIN,20,25,0.75,-78.23,252,0.97,37.70,OK
EURUSD,H4,MAIN,20,30,0.74,-86.02,242,0.94,33.06,OK
XAUUSD,H1,MAIN,20,20,0.83,-169.98,944,1.95,45.55,OK
XAUUSD,H1,MAIN,20,25,0.85,-162.06,940,1.92,40.64,OK
XAUUSD,H1,MAIN,20,30,0.90,-115.66,939,1.64,37.59,OK
XAUUSD,H4,MAIN,20,20,0.89,-33.69,283,0.36,47.00,OK
XAUUSD,H4,MAIN,20,25,0.94,-20.57,283,0.35,42.76,OK
XAUUSD,H4,MAIN,20,30,0.97,-10.70,283,0.41,39.22,OK
XAUUSD,H4,MAIN,20,40,0.90,-37.39,283,0.65,31.10,OK
XAUUSD,H4,MAIN,20,60,0.92,-34.34,281,0.86,23.49,OK
EURUSD,H1,MAIN,20,40,0.98,-14.74,635,0.97,33.23,OK
EURUSD,H1,MAIN,20,60,0.94,-48.40,537,1.15,24.21,OK
XAUUSD,H1,MAIN,20,40,0.88,-152.99,924,2.05,30.63,OK
XAUUSD,H1,MAIN,20,60,0.84,-229.64,902,2.85,21.95,OK
