cell,window,variant,param_changed,PF,Net,Trades,DDpct,WinPct,status
EUR_H1,BWD,center,,0.96,-37.17,761.0,1.66,30.49,OK
EUR_H4,BWD,center,,1.15,66.59,246.0,0.63,35.37,OK
XAU_H1,BWD,center,,0.87,-501.63,1056.0,5.47,30.02,OK
XAU_H4,BWD,center,,1.04,54.84,243.0,3.43,30.86,OK
XAU_H4,MAIN,neighbor,Slow36,1.62,1246.4,285.0,3.08,36.84,OK
XAU_H4,MAIN,neighbor,Slow40,1.82,1501.16,278.0,3.07,37.77,OK
XAU_H4,MAIN,neighbor,Slow48,1.85,1633.25,289.0,3.04,37.37,OK
XAU_H4,MAIN,neighbor,Fast10,1.52,999.71,270.0,3.44,34.81,OK
XAU_H4,MAIN,neighbor,Fast16,1.33,751.22,295.0,2.81,35.59,OK
XAU_H4,MAIN,neighbor,Buf0.10,1.79,1524.56,308.0,2.84,39.29,OK
XAU_H4,MAIN,neighbor,Buf0.25,1.68,1390.88,268.0,2.66,38.06,OK
XAU_H4,MAIN,neighbor,ATRp14,1.89,1649.37,283.0,2.81,38.87,OK
XAU_H4,MAIN,neighbor,ATRp26,1.9,1638.79,282.0,2.91,38.65,OK
EUR_H4,MAIN,neighbor,Slow32,1.65,202.54,260.0,0.58,36.15,OK
EUR_H4,MAIN,neighbor,Slow40,1.57,190.9,270.0,0.58,35.19,OK
EUR_H4,MAIN,neighbor,Slow44,1.67,200.58,240.0,0.54,35.42,OK
EUR_H4,MAIN,neighbor,Fast14,1.24,81.99,267.0,0.58,33.33,OK
EUR_H4,MAIN,neighbor,Fast22,1.63,193.19,247.0,0.6,34.82,OK
EUR_H4,MAIN,neighbor,Buf0.10,1.51,170.14,241.0,0.51,36.93,OK
EUR_H4,MAIN,neighbor,Buf0.15,1.59,189.75,218.0,0.49,40.83,OK
EUR_H4,MAIN,neighbor,ATRp10,1.7,225.53,271.0,0.61,36.53,OK
EUR_H4,MAIN,neighbor,ATRp18,1.7,224.47,272.0,0.6,36.03,OK
XAU_H4,BWD,neighbor,ATRp26,1.02,26.3,240.0,3.71,30.83,OK
XAU_H4,BWD,neighbor,ATRp14,0.98,-24.33,241.0,3.46,30.29,OK
EUR_H4,BWD,neighbor,ATRp10,1.16,67.07,246.0,0.63,35.37,OK
EUR_H4,BWD,neighbor,ATRp18,1.15,66.55,246.0,0.62,35.37,OK
EUR_H4,HOLDOUT,center,,0.35,-66.5,42.0,0.74,26.19,OK
XAU_H4,HOLDOUT,center,,1.3,379.36,39.0,5.74,38.46,OK
