"symbol","tf","pass","PF","Net","Trades","DDpct","RF","Sharpe","Lookback","Radius","MinApart","Fast","Slow","Signal","BufferAtr","AtrPeriod"
"EURUSD","H1","1393","1.174729","123.89","713","0.421","2.918492","1.166088","100","4","4","14","44","11","0.3","10"
"EURUSD","H1","1524","1.159417","113.61","712","0.4534","2.482736","1.089599","100","4","4","14","44","11","0.3","14"
"EURUSD","H1","1440","1.158436","120.66","737","0.471","2.524268","1.110474","60","4","2","18","32","9","0.3","18"
"EURUSD","H1","1075","1.158436","120.66","737","0.471","2.524268","1.110474","60","4","2","18","32","5","0.3","18"
"EURUSD","H1","1522","1.158436","120.66","737","0.471","2.524268","1.110474","60","4","2","18","32","7","0.3","18"
"EURUSD","H1","1456","1.154601","112.46","711","0.4486","2.484755","1.076832","100","4","4","14","44","7","0.3","18"
"EURUSD","H1","1497","1.154601","112.46","711","0.4486","2.484755","1.076832","100","4","4","14","44","5","0.3","18"
"EURUSD","H1","680","1.154601","112.46","711","0.4486","2.484755","1.076832","100","4","4","14","44","11","0.3","18"
"EURUSD","H1","1268","1.146444","100.04","680","0.7409","1.344262","1.060745","140","3","8","10","28","7","0.3","18"
"EURUSD","H1","923","1.142062","92.35","615","0.6079","1.518415","1.000749","40","4","8","18","40","15","0.3","10"
"EURUSD","H1","1460","1.135109","101.99","727","0.668","1.525883","0.979343","40","4","2","18","32","5","0.3","18"
"EURUSD","H1","1472","1.135109","101.99","727","0.668","1.525883","0.979343","40","4","2","18","32","15","0.3","18"
"EURUSD","H1","810","1.135109","101.99","727","0.668","1.525883","0.979343","40","4","2","18","32","9","0.3","18"
"EURUSD","H1","1131","1.1344","128.89","1027","0.9291","1.376148","1.042281","60","1","2","8","24","7","0.3","18"
"EURUSD","H1","1205","1.1344","128.89","1027","0.9291","1.376148","1.042281","60","1","2","8","24","15","0.3","18"
"EURUSD","H1","987","1.1344","128.89","1027","0.9291","1.376148","1.042281","80","1","2","8","24","9","0.3","18"
"EURUSD","H1","1693","1.1344","128.89","1027","0.9291","1.376148","1.042281","120","1","2","8","24","7","0.3","18"
"EURUSD","H1","616","1.1344","128.89","1027","0.9291","1.376148","1.042281","60","1","2","8","24","9","0.3","18"
"EURUSD","H1","1503","1.1344","128.89","1027","0.9291","1.376148","1.042281","80","1","2","8","24","15","0.3","18"
"EURUSD","H1","1566","1.1344","128.89","1027","0.9291","1.376148","1.042281","40","1","2","8","24","7","0.3","18"
"EURUSD","H4","1608","1.707225","227.5","272","0.5781","3.932584","2.571213","120","3","10","18","36","7","0.05","14"
"EURUSD","H4","1560","1.707225","227.5","272","0.5781","3.932584","2.571213","120","3","10","18","36","15","0.05","14"
"EURUSD","H4","1548","1.707225","227.5","272","0.5781","3.932584","2.571213","120","3","10","18","36","9","0.05","14"
"EURUSD","H4","1425","1.707225","227.5","272","0.5781","3.932584","2.571213","120","3","10","18","36","5","0.05","14"
"EURUSD","H4","1464","1.707225","227.5","272","0.5781","3.932584","2.571213","120","3","10","18","36","11","0.05","14"
"EURUSD","H4","1865","1.707225","227.5","272","0.5781","3.932584","2.571213","120","3","10","18","36","13","0.05","14"
"EURUSD","H4","1998","1.707225","227.5","272","0.5781","3.932584","2.571213","100","3","10","18","36","15","0.05","14"
