"symbol","tf","year","PF","Net","Trades","DDpct","Win","RF","Sharpe","Report"
"EURUSD","H1","2023","1.14","37.78","270","0.36","32.96","1.05","1.22","O098B_YS_EURUSD_H1_2023"
"EURUSD","H1","2024","1.09","19.02","231","0.28","34.20","0.67","0.67","O098B_YS_EURUSD_H1_2024"
"EURUSD","H1","2025","1.22","54.81","219","0.39","31.05","1.38","1.33","O098B_YS_EURUSD_H1_2025"
"EURUSD","H4","2023","1.03","4.36","123","0.58","33.33","0.08","0.19","O098B_YS_EURUSD_H4_2023"
"EURUSD","H4","2024","1.74","64.50","80","0.21","40.00","3.00","3.10","O098B_YS_EURUSD_H4_2024"
"EURUSD","H4","2025","2.55","147.97","69","0.30","39.13","5.00","3.53","O098B_YS_EURUSD_H4_2025"
"XAUUSD","H1","2023","1.42","346.68","280","1.53","33.93","2.19","2.27","O098B_YS_XAUUSD_H1_2023"
"XAUUSD","H1","2024","1.01","15.14","374","2.98","33.69","0.05","0.11","O098B_YS_XAUUSD_H1_2024"
"XAUUSD","H1","2025","1.05","137.34","398","6.00","32.41","0.22","0.40","O098B_YS_XAUUSD_H1_2025"
"XAUUSD","H4","2023","1.80","347.71","104","1.14","42.31","3.06","3.34","O098B_YS_XAUUSD_H4_2023"
"XAUUSD","H4","2024","1.86","424.99","71","1.37","40.85","3.04","2.47","O098B_YS_XAUUSD_H4_2024"
"XAUUSD","H4","2025","1.99","865.58","106","3.26","33.02","2.64","2.94","O098B_YS_XAUUSD_H4_2025"
