symbol,tf,window,threshold,PF,trades,winpct,ddpct,report
EURJPY,H1,SMOKE-MAIN,0.010,0.89,215,38.14,1.22,D:\EA_LAB\_mt5_auto\reports\O098D_SMOKE_EURJPY_H1_MAIN.htm
EURJPY,H1,MAIN,0.010,0.89,215.0,38.14,1.22,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_MAIN.htm
EURJPY,H1,BWD,0.010,0.88,153.0,38.56,0.99,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_BWD.htm
GBPJPY,H1,MAIN,0.010,0.57,244.0,27.46,5.14,D:\EA_LAB\_mt5_auto\reports\O098D_GBPJPY_H1_MAIN.htm
GBPJPY,H1,BWD,0.010,0.77,200.0,35.0,2.28,D:\EA_LAB\_mt5_auto\reports\O098D_GBPJPY_H1_BWD.htm
EURGBP,H1,MAIN,0.010,1.19,22.0,40.91,0.34,D:\EA_LAB\_mt5_auto\reports\O098D_EURGBP_H1_MAIN.htm
EURGBP,H1,BWD,0.010,0.64,56.0,30.36,0.9,D:\EA_LAB\_mt5_auto\reports\O098D_EURGBP_H1_BWD.htm
EURJPY,H1,MAIN,0.005,0.82,686.0,36.88,3.52,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_MAIN_thr0005.htm
EURJPY,H1,BWD,0.005,1.04,438.0,41.55,0.85,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_BWD_thr0005.htm
EURJPY,H1,MAIN,0.020,0.34,23.0,21.74,1.2,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_MAIN_thr0020.htm
EURJPY,H1,BWD,0.020,0.51,13.0,30.77,0.49,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_BWD_thr0020.htm
EURJPY,H1,MAIN_1.5,1.5,0.89,215.0,38.14,1.22,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_MAIN_def.htm
EURJPY,H1,BWD_1.5,1.5,0.88,153.0,38.56,0.99,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_BWD_def.htm
EURJPY,H1,MAIN_2.0,2.0,0.86,184.0,30.43,1.44,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_MAIN_tp4.htm
EURJPY,H1,BWD_2.0,2.0,0.92,133.0,33.08,1.02,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_BWD_tp4.htm
EURJPY,H1,MAIN_3.0,3.0,0.58,141.0,17.73,2.79,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_MAIN_tp6.htm
EURJPY,H1,BWD_3.0,3.0,0.86,105.0,24.76,1.5,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H1_BWD_tp6.htm
EURJPY,H4,MAIN_1.5,1.5,1.01,177.0,42.37,0.97,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H4_MAIN_def.htm
EURJPY,H4,BWD_1.5,1.5,1.01,119.0,41.18,0.99,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H4_BWD_def.htm
EURJPY,H4,MAIN_2.0,2.0,0.86,143.0,32.87,1.85,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H4_MAIN_tp4.htm
EURJPY,H4,BWD_2.0,2.0,0.96,98.0,34.69,1.43,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H4_BWD_tp4.htm
EURJPY,H4,MAIN_3.0,3.0,1.09,107.0,29.91,1.6,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H4_MAIN_tp6.htm
EURJPY,H4,BWD_3.0,3.0,0.84,78.0,23.08,1.48,D:\EA_LAB\_mt5_auto\reports\O098D_EURJPY_H4_BWD_tp6.htm
