pair,chart,entryZ,window,PF,trades,winpct,eqDDpct,netprofit,largestWin,largestLoss,report
EURUSD/GBPUSD,EURUSD,2.0,MAIN,0.96,840.0,52.14,10.45,-518.04,217.12,-304.36,D:\EA_LAB\_mt5_auto\reports\O098F_EU_z20_MAIN.htm
EURUSD/GBPUSD,EURUSD,1.5,MAIN,0.95,1270.0,51.89,12.83,-920.64,217.12,-304.36,D:\EA_LAB\_mt5_auto\reports\O098F_EU_z15_MAIN.htm
EURUSD/GBPUSD,EURUSD,2.5,MAIN,0.97,564.0,51.24,7.35,-296.83,183.93,-304.36,D:\EA_LAB\_mt5_auto\reports\O098F_EU_z25_MAIN.htm
EURUSD/GBPUSD,EURUSD,2.0,BWD,0.95,722.0,50.14,16.89,-844.32,457.8,-746.6,D:\EA_LAB\_mt5_auto\reports\O098F_EU_z20_BWD.htm
EURUSD/GBPUSD,EURUSD,1.5,BWD,0.93,1048.0,52.1,18.81,-1440.5,457.8,-746.6,D:\EA_LAB\_mt5_auto\reports\O098F_EU_z15_BWD.htm
EURUSD/GBPUSD,EURUSD,2.5,BWD,0.99,494.0,50.61,14.77,-172.89,526.5,-703.2,D:\EA_LAB\_mt5_auto\reports\O098F_EU_z25_BWD.htm
AUDUSD/NZDUSD,AUDUSD,2.0,MAIN,0.85,980.0,48.67,15.09,-1473.66,138.61,-235.23,D:\EA_LAB\_mt5_auto\reports\O098F_AN_z20_MAIN.htm
AUDUSD/NZDUSD,AUDUSD,2.0,BWD,0.87,1018.0,50.2,20.73,-1821.71,276.97,-354.63,D:\EA_LAB\_mt5_auto\reports\O098F_AN_z20_BWD.htm
EURUSD/GBPUSD,EURUSD,2.5(H4_z25),MAIN,1.07,130.0,49.23,4.08,284.22,457.82,-336.7,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H4_z25_MAIN.htm
EURUSD/GBPUSD,EURUSD,2.5(H4_z25),BWD,1.04,110.0,50.91,13.14,171.1,349.56,-558.54,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H4_z25_BWD.htm
EURUSD/GBPUSD,EURUSD,3.0(H4_z30),MAIN,1.05,82.0,47.56,4.46,159.57,434.52,-324.8,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H4_z30_MAIN.htm
EURUSD/GBPUSD,EURUSD,3.0(H4_z30),BWD,0.94,58.0,51.72,11.8,-201.53,349.56,-571.54,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H4_z30_BWD.htm
EURUSD/GBPUSD,EURUSD,3.0(H4_z30ex0),MAIN,0.97,42.0,40.48,9.3,-118.44,824.02,-642.2,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H4_z30ex0_MAIN.htm
EURUSD/GBPUSD,EURUSD,3.0(H4_z30ex0),BWD,0.81,30.0,43.33,21.34,-1076.1,1411.18,-1564.52,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H4_z30ex0_BWD.htm
EURUSD/GBPUSD,EURUSD,3.0(H1_z30),MAIN,0.91,322.0,51.55,8.52,-581.87,183.93,-299.22,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H1_z30_MAIN.htm
EURUSD/GBPUSD,EURUSD,3.0(H1_z30),BWD,1.08,306.0,50.98,7.74,509.35,266.06,-270.42,D:\EA_LAB\_mt5_auto\reports\O098F_CD_EU_H1_z30_BWD.htm
