grp,tag,chart,window,PF,trades,winpct,eqDDpct,netprofit,largestWin,largestLoss,report
plateau,e20_MAIN,EURUSD,MAIN,1.16,214.0,50.93,4.21,946.65,457.82,-336.7,D:\EA_LAB\_mt5_auto\reports\O098G_e20_MAIN.htm
plateau,e20_BWD,EURUSD,BWD,1.07,190.0,52.63,13.62,568.71,396.18,-558.54,D:\EA_LAB\_mt5_auto\reports\O098G_e20_BWD.htm
plateau,e225_MAIN,EURUSD,MAIN,1.07,176.0,48.3,4.04,364.52,457.82,-336.7,D:\EA_LAB\_mt5_auto\reports\O098G_e225_MAIN.htm
plateau,e225_BWD,EURUSD,BWD,1.06,146.0,51.37,13.41,357.03,442.3,-558.54,D:\EA_LAB\_mt5_auto\reports\O098G_e225_BWD.htm
plateau,e25_MAIN,EURUSD,MAIN,1.07,130.0,49.23,4.08,284.22,457.82,-336.7,D:\EA_LAB\_mt5_auto\reports\O098G_e25_MAIN.htm
plateau,e25_BWD,EURUSD,BWD,1.04,110.0,50.91,13.14,171.1,349.56,-558.54,D:\EA_LAB\_mt5_auto\reports\O098G_e25_BWD.htm
plateau,e275_MAIN,EURUSD,MAIN,1.02,104.0,46.15,4.75,87.99,434.52,-324.8,D:\EA_LAB\_mt5_auto\reports\O098G_e275_MAIN.htm
plateau,e275_BWD,EURUSD,BWD,0.92,74.0,52.7,12.12,-265.09,349.56,-558.54,D:\EA_LAB\_mt5_auto\reports\O098G_e275_BWD.htm
plateau,x03_MAIN,EURUSD,MAIN,1.14,126.0,51.59,4.02,682.35,590.94,-494.4,D:\EA_LAB\_mt5_auto\reports\O098G_x03_MAIN.htm
plateau,x03_BWD,EURUSD,BWD,1.15,108.0,51.85,13.09,614.61,349.56,-581.14,D:\EA_LAB\_mt5_auto\reports\O098G_x03_BWD.htm
plateau,x07_MAIN,EURUSD,MAIN,1.02,136.0,49.26,4.6,105.09,469.02,-375.4,D:\EA_LAB\_mt5_auto\reports\O098G_x07_MAIN.htm
plateau,x07_BWD,EURUSD,BWD,1.01,112.0,46.43,13.03,46.16,401.06,-922.38,D:\EA_LAB\_mt5_auto\reports\O098G_x07_BWD.htm
plateau,w80_MAIN,EURUSD,MAIN,1.01,152.0,50.0,6.74,25.43,435.52,-336.0,D:\EA_LAB\_mt5_auto\reports\O098G_w80_MAIN.htm
plateau,w80_BWD,EURUSD,BWD,1.0,118.0,52.54,13.07,1.51,401.06,-1283.44,D:\EA_LAB\_mt5_auto\reports\O098G_w80_BWD.htm
plateau,w120_MAIN,EURUSD,MAIN,1.07,98.0,51.02,4.3,302.9,590.94,-494.4,D:\EA_LAB\_mt5_auto\reports\O098G_w120_MAIN.htm
plateau,w120_BWD,EURUSD,BWD,1.14,96.0,56.25,12.09,580.31,388.78,-581.14,D:\EA_LAB\_mt5_auto\reports\O098G_w120_BWD.htm
holdout,e25_HLD,EURUSD,HLD,1.13,96.0,51.04,6.17,527.87,327.76,-344.54,D:\EA_LAB\_mt5_auto\reports\O098G_e25_HLD.htm
crosspair,cp_gu_MAIN,GBPUSD,MAIN,1.09,114.0,43.86,4.87,394.39,502.08,-375.4,D:\EA_LAB\_mt5_auto\reports\O098G_cp_gu_MAIN.htm
crosspair,cp_gu_BWD,GBPUSD,BWD,0.93,102.0,46.08,12.14,-338.96,574.66,-734.18,D:\EA_LAB\_mt5_auto\reports\O098G_cp_gu_BWD.htm
crosspair,cp_chf_MAIN,EURCHF,MAIN,1.15,116.0,49.14,8.31,510.52,238.69,-285.49,D:\EA_LAB\_mt5_auto\reports\O098G_cp_chf_MAIN.htm
crosspair,cp_chf_BWD,EURCHF,BWD,0.88,96.0,53.12,10.0,-438.2,236.56,-308.22,D:\EA_LAB\_mt5_auto\reports\O098G_cp_chf_BWD.htm
