tag,window,PF,trades,winpct,eqDDpct,netprofit,largestWin,largestLoss,report
x02_MAIN,MAIN,1.13,126.0,50.79,3.87,658.21,590.94,-494.4,D:\EA_LAB\_mt5_auto\reports\O098H_x02_MAIN.htm
x02_BWD,BWD,1.06,106.0,50.94,13.42,287.91,349.56,-598.44,D:\EA_LAB\_mt5_auto\reports\O098H_x02_BWD.htm
x04_MAIN,MAIN,1.09,126.0,51.59,4.76,370.32,616.04,-530.6,D:\EA_LAB\_mt5_auto\reports\O098H_x04_MAIN.htm
x04_BWD,BWD,1.12,110.0,51.82,13.07,513.65,349.56,-558.54,D:\EA_LAB\_mt5_auto\reports\O098H_x04_BWD.htm
e20x03_MAIN,MAIN,1.19,192.0,51.56,3.86,1143.62,590.94,-494.4,D:\EA_LAB\_mt5_auto\reports\O098H_e20x03_MAIN.htm
e20x03_BWD,BWD,1.1,176.0,53.98,13.88,709.6,349.56,-581.14,D:\EA_LAB\_mt5_auto\reports\O098H_e20x03_BWD.htm
s25_MAIN,MAIN,1.07,228.0,45.18,3.73,325.82,235.34,-191.84,D:\EA_LAB\_mt5_auto\reports\O098H_s25_MAIN.htm
s25_BWD,BWD,1.06,206.0,50.0,10.18,290.26,260.74,-451.92,D:\EA_LAB\_mt5_auto\reports\O098H_s25_BWD.htm
s30_MAIN,MAIN,1.07,164.0,48.78,6.73,383.56,309.6,-358.3,D:\EA_LAB\_mt5_auto\reports\O098H_s30_MAIN.htm
s30_BWD,BWD,1.15,154.0,52.6,12.71,861.57,610.18,-1169.42,D:\EA_LAB\_mt5_auto\reports\O098H_s30_BWD.htm
s40_MAIN,MAIN,1.16,100.0,54.0,4.0,682.65,245.66,-343.1,D:\EA_LAB\_mt5_auto\reports\O098H_s40_MAIN.htm
s40_BWD,BWD,1.19,94.0,56.38,13.11,745.87,349.56,-732.22,D:\EA_LAB\_mt5_auto\reports\O098H_s40_BWD.htm
x03_HLD,HLD,1.23,96.0,52.08,5.49,960.7,342.36,-361.56,D:\EA_LAB\_mt5_auto\reports\O098H_x03_HLD.htm
