tag,window,PF,trades,winpct,eqDDpct,netprofit,report
p3862_rr15,,1.42,167.0,40.72,0.43,96.31,D:\EA_LAB\_mt5_auto\reports\O098J3_p3862_rr15_MAIN.htm
p3862_rr15,,1.12,171.0,38.01,0.34,22.44,D:\EA_LAB\_mt5_auto\reports\O098J3_p3862_rr15_BWD.htm
p3862_rr25,,1.33,167.0,28.74,1.11,95.44,D:\EA_LAB\_mt5_auto\reports\O098J3_p3862_rr25_MAIN.htm
p3862_rr25,,0.99,170.0,26.47,0.83,-3.01,D:\EA_LAB\_mt5_auto\reports\O098J3_p3862_rr25_BWD.htm
p5062_rr15,,1.17,71.0,40.85,0.11,12.3,D:\EA_LAB\_mt5_auto\reports\O098J3_p5062_rr15_MAIN.htm
p5062_rr15,,1.09,91.0,36.26,0.31,9.03,D:\EA_LAB\_mt5_auto\reports\O098J3_p5062_rr15_BWD.htm
p5062_rr25,,1.18,71.0,30.99,0.28,15.55,D:\EA_LAB\_mt5_auto\reports\O098J3_p5062_rr25_MAIN.htm
p5062_rr25,,1.32,90.0,28.89,0.43,34.9,D:\EA_LAB\_mt5_auto\reports\O098J3_p5062_rr25_BWD.htm
p3850_rr15,,1.43,103.0,37.86,0.49,71.88,D:\EA_LAB\_mt5_auto\reports\O098J3_p3850_rr15_MAIN.htm
p3850_rr15,,1.19,88.0,42.05,0.25,18.88,D:\EA_LAB\_mt5_auto\reports\O098J3_p3850_rr15_BWD.htm
p3850_rr25,,1.31,103.0,25.24,1.13,67.76,D:\EA_LAB\_mt5_auto\reports\O098J3_p3850_rr25_MAIN.htm
p3850_rr25,,0.75,88.0,25.0,0.64,-35.09,D:\EA_LAB\_mt5_auto\reports\O098J3_p3850_rr25_BWD.htm
p5079_rr15,,1.12,154.0,38.96,0.17,17.96,D:\EA_LAB\_mt5_auto\reports\O098J3_p5079_rr15_MAIN.htm
p5079_rr15,,0.85,207.0,34.78,0.66,-30.83,D:\EA_LAB\_mt5_auto\reports\O098J3_p5079_rr15_BWD.htm
p5079_rr25,,1.02,154.0,27.92,0.34,4.0,D:\EA_LAB\_mt5_auto\reports\O098J3_p5079_rr25_MAIN.htm
p5079_rr25,,0.97,205.0,24.88,0.81,-8.0,D:\EA_LAB\_mt5_auto\reports\O098J3_p5079_rr25_BWD.htm
