block,fast,slow,SL,lambda,window,PF,Net,Trades,DDpct,WinPct,status
1,8,24,2.0,1600,MAIN,0.97,-28.18,74,2.69,35.14,OK
1,8,24,2.0,1600,BWD,1.08,50.74,65,2.22,33.85,OK
1,8,32,2.0,1600,MAIN,1.33,289.6,64,2.68,37.5,OK
1,8,32,2.0,1600,BWD,1.17,109.15,70,1.39,38.57,OK
1,8,40,2.0,1600,MAIN,1.38,370.79,66,2.3,43.94,OK
1,8,40,2.0,1600,BWD,0.93,-47.31,63,2.24,36.51,OK
1,12,24,2.0,1600,MAIN,1.25,244.63,75,2.38,41.33,OK
1,12,24,2.0,1600,BWD,0.85,-133.77,84,3.64,35.71,OK
1,12,32,2.0,1600,MAIN,1.08,78.74,67,2.83,31.34,OK
1,12,32,2.0,1600,BWD,0.91,-86.84,86,3.22,33.72,OK
1,12,40,2.0,1600,MAIN,1.5,395.71,62,2.85,48.39,OK
1,12,40,2.0,1600,BWD,0.93,-62.65,77,2.06,33.77,OK
1,16,24,2.0,1600,MAIN,1.36,343.57,74,3.46,39.19,OK
1,16,24,2.0,1600,BWD,1.1,81.55,85,2.66,41.18,OK
1,16,32,2.0,1600,MAIN,1.59,520.95,74,2.19,44.59,OK
1,16,32,2.0,1600,BWD,1.33,292.15,93,1.39,43.01,OK
1,16,40,2.0,1600,MAIN,1.15,142.72,67,5.72,46.27,OK
1,16,40,2.0,1600,BWD,1.18,136.55,76,3.07,44.74,OK
2,16,32,1.5,1600,MAIN,1.57,508.63,79,2.32,40.51,OK
2,16,32,1.5,1600,BWD,1.15,129.8,98,2.11,33.67,OK
2,16,32,2.0,1600,MAIN,1.59,520.95,74,2.19,44.59,OK
2,16,32,2.0,1600,BWD,1.33,292.15,93,1.39,43.01,OK
2,16,32,3.0,1600,MAIN,1.48,455.31,71,3.1,46.48,OK
2,16,32,3.0,1600,BWD,1.38,301.94,79,1.3,48.1,OK
3,16,32,2.0,800,MAIN,0.98,-22.94,85,3.04,40.0,OK
3,16,32,2.0,800,BWD,1.15,145.41,97,1.69,42.27,OK
3,16,32,2.0,3200,MAIN,1.29,223.14,62,3.28,43.55,OK
3,16,32,2.0,3200,BWD,1.07,50.96,69,1.76,37.68,OK
