"dist","basketTP","window","PF","Net","Trades","DDpct","WinPct","status"
"1.5","150","MAIN","1.4","950.2","93.0","5.11","66.67","OK"
"1.5","250","MAIN","1.75","1327.05","51.0","4.08","60.78","OK"
"1.5","400","MAIN","4.64","2427.72","28.0","4.25","67.86","OK"
"2.0","150","MAIN","0.98","-35.2","63.0","7.87","60.32","OK"
"2.0","250","MAIN","1.55","803.78","40.0","5.33","60.0","OK"
"2.0","400","MAIN","1.22","474.13","42.0","11.47","42.86","OK"
"2.5","150","MAIN","1.89","1060.94","58.0","3.77","72.41","OK"
"2.5","250","MAIN","1.74","921.96","37.0","5.67","62.16","OK"
"2.5","400","MAIN","1.72","1021.57","32.0","7.44","50.0","OK"
"1.5","150","BWD","1.32","476.09","51.0","6.04","64.71","OK"
"1.5","250","BWD","1.08","149.19","45.0","7.61","55.56","OK"
"1.5","400","BWD","1.16","242.06","31.0","10.08","48.39","OK"
"2.0","150","BWD","1.05","88.49","56.0","5.84","64.29","OK"
"2.0","250","BWD","1.06","71.41","31.0","8.35","61.29","OK"
"2.0","400","BWD","1.26","394.45","33.0","8.2","51.52","OK"
"2.5","150","BWD","0.94","-92.48","46.0","7.8","65.22","OK"
"2.5","250","BWD","1.11","135.58","26.0","7.99","50.0","OK"
"2.5","400","BWD","0.83","-305.58","29.0","11.27","37.93","OK"
