dist,sl,tf,window,PF,Net,Trades,DDpct,WinPct,status
2.0,3.0,H1,MAIN,1.73,1274.92,65.0,4.54,49.23,OK
2.0,3.0,H1,BWD,0.93,-197.31,77.0,13.98,40.26,OK
2.0,3.0,H4,MAIN,1.59,834.8,40.0,5.33,60.0,OK
2.0,3.0,H4,BWD,1.07,77.45,31.0,8.32,61.29,OK
2.0,4.0,H1,MAIN,1.7,1610.04,82.0,9.04,59.76,OK
2.0,4.0,H1,BWD,0.8,-852.88,105.0,18.8,44.76,OK
2.0,4.0,H4,MAIN,1.55,803.78,40.0,5.33,60.0,OK
2.0,4.0,H4,BWD,1.06,71.41,31.0,8.35,61.29,OK
2.0,6.0,H1,MAIN,0.97,-154.29,147.0,21.69,55.1,OK
2.0,6.0,H1,BWD,1.19,1161.56,182.0,16.33,67.58,OK
2.0,6.0,H4,MAIN,1.55,803.78,40.0,5.33,60.0,OK
2.0,6.0,H4,BWD,1.06,71.41,31.0,8.35,61.29,OK
3.0,3.0,H1,MAIN,1.42,707.32,63.0,4.83,44.44,OK
3.0,3.0,H1,BWD,0.89,-182.03,53.0,7.56,39.62,OK
3.0,3.0,H4,MAIN,1.66,836.74,38.0,6.18,60.53,OK
3.0,3.0,H4,BWD,0.99,-6.72,25.0,7.51,48.0,OK
3.0,4.0,H1,MAIN,1.78,1472.93,70.0,5.26,57.14,OK
3.0,4.0,H1,BWD,1.39,714.52,67.0,10.13,62.69,OK
3.0,4.0,H4,MAIN,1.81,961.89,37.0,6.18,62.16,OK
3.0,4.0,H4,BWD,0.75,-403.16,27.0,9.46,44.44,OK
3.0,6.0,H1,MAIN,1.1,405.18,107.0,14.08,55.14,OK
3.0,6.0,H1,BWD,0.77,-1574.16,149.0,18.94,56.38,OK
3.0,6.0,H4,MAIN,1.81,961.89,37.0,6.18,62.16,OK
3.0,6.0,H4,BWD,1.09,108.37,24.0,7.87,54.17,OK
4.0,3.0,H1,MAIN,1.44,627.73,48.0,5.52,47.92,OK
4.0,3.0,H1,BWD,0.85,-224.18,44.0,8.8,40.91,OK
4.0,3.0,H4,MAIN,1.9,831.1,29.0,6.47,62.07,OK
4.0,3.0,H4,BWD,1.2,164.11,21.0,4.78,52.38,OK
4.0,4.0,H1,MAIN,1.37,686.95,54.0,8.29,50.0,OK
4.0,4.0,H1,BWD,0.78,-407.43,46.0,9.12,41.3,OK
4.0,4.0,H4,MAIN,1.94,818.23,27.0,5.81,62.96,OK
4.0,4.0,H4,BWD,0.7,-506.32,28.0,8.9,42.86,OK
4.0,6.0,H1,MAIN,2.31,2046.8,79.0,7.35,75.95,OK
4.0,6.0,H1,BWD,1.15,247.48,54.0,6.9,61.11,OK
4.0,6.0,H4,MAIN,1.94,818.23,27.0,5.81,62.96,OK
4.0,6.0,H4,BWD,0.54,-957.49,34.0,14.58,44.12,OK
