part,variant,window,model,PF,Net,Trades,DDpct,WinPct,status
plateau,StoK9,MAIN,1,0.82,-24.38,175.0,0.4,73.71,OK
plateau,StoK9,BWD,1,1.27,31.39,174.0,0.28,75.29,OK
plateau,StoK17,MAIN,1,1.33,23.07,105.0,0.17,74.29,OK
plateau,StoK17,BWD,1,1.34,23.29,107.0,0.14,75.7,OK
plateau,OverSold25,MAIN,1,1.29,17.58,104.0,0.17,77.88,OK
plateau,OverSold25,BWD,1,1.26,18.14,96.0,0.2,77.08,OK
plateau,OverSold35,MAIN,1,1.23,25.43,184.0,0.27,75.54,OK
plateau,OverSold35,BWD,1,1.19,23.24,167.0,0.25,74.25,OK
plateau,AdxMax25,MAIN,1,1.28,14.94,90.0,0.23,74.44,OK
plateau,AdxMax25,BWD,1,1.01,1.17,103.0,0.21,73.79,OK
plateau,AdxMax35,MAIN,1,1.43,42.13,170.0,0.18,77.65,OK
plateau,AdxMax35,BWD,1,1.14,16.88,153.0,0.22,74.51,OK
plateau,SlAtrMult2.5,MAIN,1,1.3,24.02,137.0,0.18,72.99,OK
plateau,SlAtrMult2.5,BWD,1,1.12,11.94,132.0,0.31,71.97,OK
model4,center,MAIN,4,1.39,31.18,136.0,0.17,70.59,OK
model4,center,BWD,4,1.19,18.84,130.0,0.23,70.77,OK
model4,center,HOLDOUT,4,1.14,3.02,30.0,0.11,80.0,OK
