"Tag","Window","LB","MB","SW","PF","Trades","DD"
"LB60_MB2_SW2","MAIN","60","2","2","1.24","24","0.90"
"LB60_MB2_SW2","BWD","60","2","2","0.94","55","1.78"
"LB60_MB2_SW3","MAIN","60","2","3","2.84","31","0.59"
"LB60_MB2_SW3","BWD","60","2","3","1.34","59","1.52"
"LB60_MB2_SW4","MAIN","60","2","4","0.72","34","1.36"
"LB60_MB2_SW4","BWD","60","2","4","1.17","47","1.03"
"LB60_MB3_SW2","MAIN","60","3","2","1.24","24","0.90"
"LB60_MB3_SW2","BWD","60","3","2","0.94","55","1.78"
"LB60_MB3_SW3","MAIN","60","3","3","2.84","31","0.59"
"LB60_MB3_SW3","BWD","60","3","3","1.34","59","1.52"
"LB60_MB3_SW4","MAIN","60","3","4","0.72","34","1.36"
"LB60_MB3_SW4","BWD","60","3","4","1.17","47","1.03"
"LB60_MB5_SW2","MAIN","60","5","2","1.48","30","0.67"
"LB60_MB5_SW2","BWD","60","5","2","1.01","38","1.55"
"LB60_MB5_SW3","MAIN","60","5","3","1.30","34","0.61"
"LB60_MB5_SW3","BWD","60","5","3","1.39","57","1.42"
"LB60_MB5_SW4","MAIN","60","5","4","0.72","34","1.36"
"LB60_MB5_SW4","BWD","60","5","4","1.17","47","1.03"
"LB80_MB2_SW2","MAIN","80","2","2","1.24","24","0.90"
"LB80_MB2_SW2","BWD","80","2","2","0.94","55","1.78"
"LB80_MB2_SW3","MAIN","80","2","3","2.84","31","0.59"
"LB80_MB2_SW3","BWD","80","2","3","1.34","59","1.52"
"LB80_MB2_SW4","MAIN","80","2","4","0.72","34","1.36"
"LB80_MB2_SW4","BWD","80","2","4","1.17","47","1.03"
"LB80_MB3_SW2","MAIN","80","3","2","1.24","24","0.90"
"LB80_MB3_SW2","BWD","80","3","2","0.94","55","1.78"
"LB80_MB3_SW3","MAIN","80","3","3","2.84","31","0.59"
"LB80_MB3_SW3","BWD","80","3","3","1.34","59","1.52"
"LB80_MB3_SW4","MAIN","80","3","4","0.72","34","1.36"
"LB80_MB3_SW4","BWD","80","3","4","1.17","47","1.03"
"LB80_MB5_SW2","MAIN","80","5","2","1.48","30","0.67"
"LB80_MB5_SW2","BWD","80","5","2","1.01","38","1.55"
"LB80_MB5_SW3","MAIN","80","5","3","1.30","34","0.61"
"LB80_MB5_SW3","BWD","80","5","3","1.39","57","1.42"
"LB80_MB5_SW4","MAIN","80","5","4","0.72","34","1.36"
"LB80_MB5_SW4","BWD","80","5","4","1.17","47","1.03"
"LB110_MB2_SW2","MAIN","110","2","2","1.24","24","0.90"
"LB110_MB2_SW2","BWD","110","2","2","0.94","55","1.78"
"LB110_MB2_SW3","MAIN","110","2","3","2.84","31","0.59"
"LB110_MB2_SW3","BWD","110","2","3","1.34","59","1.52"
"LB110_MB2_SW4","MAIN","110","2","4","0.72","34","1.36"
"LB110_MB2_SW4","BWD","110","2","4","1.17","47","1.03"
"LB110_MB3_SW2","MAIN","110","3","2","1.24","24","0.90"
"LB110_MB3_SW2","BWD","110","3","2","0.94","55","1.78"
"LB110_MB3_SW3","MAIN","110","3","3","2.84","31","0.59"
"LB110_MB3_SW3","BWD","110","3","3","1.34","59","1.52"
"LB110_MB3_SW4","MAIN","110","3","4","0.72","34","1.36"
"LB110_MB3_SW4","BWD","110","3","4","1.17","47","1.03"
"LB110_MB5_SW2","MAIN","110","5","2","1.48","30","0.67"
"LB110_MB5_SW2","BWD","110","5","2","1.01","38","1.55"
"LB110_MB5_SW3","MAIN","110","5","3","1.30","34","0.61"
"LB110_MB5_SW3","BWD","110","5","3","1.39","57","1.42"
"LB110_MB5_SW4","MAIN","110","5","4","0.72","34","1.36"
"LB110_MB5_SW4","BWD","110","5","4","1.17","47","1.03"
