schema_version,created_utc,evidence_package_sha256,timeline_sha256,timeline_manifest_sha256,prejoin_readiness_sha256,package_review_receipt_sha256,classifier_id,classifier_version,h3_run_id,window,symbol,tf,attribution_unit,eligible_unit_count,classified_unit_count,unknown_unit_count,unknown_share,macro_partial_unit_count,macro_coverage_min,distinct_entry_days,distinct_entry_months,distinct_entry_years,first_entry_utc,last_entry_utc,calendar_span_days,basket_status,participation_confidence,participation_confidence_basis,evidence_status,concentration_flags,timeline_cell_rows,timeline_cell_full,timeline_cell_partial,timeline_cell_unknown
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C01-BWD,BWD,XAUUSD,M15,DEAL,44,44,0,0.00000000,0,1.00000000,24,11,3,2020-01-02T13:02:40Z,2022-03-24T14:18:40Z,813,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SINGLE_YEAR_ABS_NET_GE_50PCT,142488,142488,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C01-MAIN,MAIN,XAUUSD,M15,DEAL,80,80,0,0.00000000,0,1.00000000,46,16,3,2023-01-03T02:40:40Z,2025-12-22T23:52:40Z,1085,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SINGLE_YEAR_ABS_NET_GE_50PCT,142488,142488,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C02-BWD,BWD,XAUUSD,H1,DEAL,49,49,0,0.00000000,0,1.00000000,24,10,3,2020-01-02T12:50:40Z,2022-03-08T15:07:40Z,797,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SINGLE_TUPLE_ABS_NET_GE_50PCT;SINGLE_YEAR_ABS_NET_GE_50PCT,36125,36125,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C02-MAIN,MAIN,XAUUSD,H1,DEAL,100,100,0,0.00000000,0,1.00000000,58,17,3,2023-01-03T02:40:40Z,2025-12-26T01:05:40Z,1089,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SINGLE_YEAR_ABS_NET_GE_50PCT,36125,36125,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C03-BWD,BWD,XAUUSD,H4,DEAL,56,56,0,0.00000000,0,1.00000000,30,7,2,2020-01-02T12:50:40Z,2022-03-08T16:57:40Z,797,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SHORT_CALENDAR_SPAN;SINGLE_YEAR_ABS_NET_GE_50PCT,11474,11474,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C03-MAIN,MAIN,XAUUSD,H4,DEAL,113,113,0,0.00000000,0,1.00000000,65,21,3,2023-01-03T02:40:40Z,2025-12-23T01:11:40Z,1086,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SINGLE_YEAR_ABS_NET_GE_50PCT,11474,11474,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C04-BWD,BWD,EURUSD,M15,DEAL,26,26,0,0.00000000,0,1.00000000,17,8,2,2020-01-02T01:20:40Z,2021-06-04T12:56:40Z,520,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SHORT_CALENDAR_SPAN;SINGLE_YEAR_ABS_NET_GE_50PCT,149911,149911,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C04-MAIN,MAIN,EURUSD,M15,DEAL,23,23,0,0.00000000,0,1.00000000,15,9,2,2023-01-04T07:41:40Z,2025-09-17T18:07:40Z,988,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SHORT_CALENDAR_SPAN;SINGLE_YEAR_ABS_NET_GE_50PCT,149911,149911,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C05-BWD,BWD,EURUSD,H1,DEAL,33,33,0,0.00000000,0,1.00000000,20,8,2,2020-01-02T15:56:40Z,2021-06-01T14:00:40Z,517,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SHORT_CALENDAR_SPAN;SINGLE_TUPLE_PARTICIPATION_GE_50PCT;SINGLE_YEAR_ABS_NET_GE_50PCT,37957,37957,0,0
BOSS19_P4B_REGIME_ATTRIBUTION_COVERAGE_V1,2026-09-02T17:30:00Z,1330a822ed66149ba07d693d8732ced5b9e9ce66d15f34ce8d21ef70894b760c,5f3a0f8d1accd25cb6cc08ad1c6e291aed6d238d620269102151016dbfaf569d,858f4d02d1ae30511dd1f38ffab347c85c06a4a25df4bedf901dc169c2847916,ffa5a59f49cf9099c50520cc95c548ad2d47883a472689dfb58ffc722a44d51e,bb331765f169503ad878223d54a6f45fd2bb6e289609ae671857e298384463a4,BOSS19_P4_REGIME_CLASSIFIER_V1,1.0.0,H3-C05-MAIN,MAIN,EURUSD,H1,DEAL,27,27,0,0.00000000,0,1.00000000,18,10,2,2023-01-04T08:13:40Z,2025-09-18T07:40:40Z,989,UNAVAILABLE_NO_SOURCE_BASKET_ID,UNKNOWN,NO_PREDECLARED_NUMERIC_MAPPING_IN_CONTRACT,COMPLETE,BASKET_UNAVAILABLE;SHORT_CALENDAR_SPAN;SINGLE_YEAR_ABS_NET_GE_50PCT,37957,37957,0,0
