month,MG_v1,NuiIndy,MACD_GBPUSD
2020.01,56.74,189.43,58.8
2020.02,71.99,287.12,49.01
2020.03,513.8,412.11,167.3
2020.04,142.71,181.5,97.97
2020.05,133.02,285.9,70.74
2020.06,119.87,412.79,84.83
2020.07,84.91,228.6,58.54
2020.08,115.83,123.71,62.73
2020.09,88.5,481.01,47.11
2020.10,71.77,264.73,54.1
2020.11,56.86,452.37,67.15
2020.12,42.75,421.41,97.82
2021.01,57.56,473.96,39.1
2021.02,70.79,353.61,70.26
2021.03,86.52,242.18,87.92
2021.04,74.38,322.89,41.93
2021.05,57.69,813.37,57.79
2021.06,60.17,280.41,66.32
2021.07,85.33,195.91,53.12
2021.08,14.89,252.41,42.6
2021.09,56.7,403.59,52.89
2021.10,85.49,245.64,33.86
2021.11,70.58,325.59,50.67
2021.12,57.71,591.55,27.11
2022.01,103.66,387.43,86.36
2022.02,76.0,1089.52,42.76
2022.03,129.15,780.6,54.05
2022.04,117.44,463.63,32.39
2022.05,147.01,528.38,115.81
2022.06,359.29,705.9,42.77
2022.07,207.32,916.27,92.9
2022.08,224.94,578.8,91.57
2022.09,671.36,1037.99,233.12
2022.10,372.0,849.73,94.78
2022.11,357.4,859.2,95.23
2022.12,322.17,784.82,64.86
