month,MG_v1,NuiIndy,MACD_GBPUSD,MACD_USDCAD
2020.01,56.74,189.43,58.8,20.39
2020.02,71.99,287.12,49.01,8.88
2020.03,513.8,412.11,167.3,171.24
2020.04,142.71,181.5,97.97,54.63
2020.05,133.02,285.9,70.74,28.5
2020.06,119.87,412.79,84.83,53.46
2020.07,84.91,228.6,58.54,15.62
2020.08,115.83,123.71,62.73,28.43
2020.09,88.5,481.01,47.11,39.79
2020.10,71.77,264.73,54.1,29.96
2020.11,56.86,452.37,67.15,29.55
2020.12,42.75,421.41,97.82,37.34
2021.01,57.56,473.96,39.1,52.51
2021.02,70.79,353.61,70.26,23.07
2021.03,86.52,242.18,87.92,54.18
2021.04,74.38,322.89,41.93,22.07
2021.05,57.69,813.37,57.79,33.11
2021.06,60.17,280.41,66.32,27.86
2021.07,85.33,195.91,53.12,23.43
2021.08,14.89,252.41,42.6,48.65
2021.09,56.7,403.59,52.89,48.54
2021.10,85.49,245.64,33.86,50.46
2021.11,70.58,325.59,50.67,42.09
2021.12,57.71,591.55,27.11,33.28
2022.01,103.66,387.43,86.36,51.62
2022.02,76.0,1089.52,42.76,55.0
2022.03,129.15,780.6,54.05,45.07
2022.04,117.44,463.63,32.39,22.01
2022.05,147.01,528.38,115.81,51.61
2022.06,359.29,705.9,42.77,49.56
2022.07,207.32,916.27,92.9,47.07
2022.08,224.94,578.8,91.57,48.6
2022.09,671.36,1037.99,233.12,66.54
2022.10,372.0,849.73,94.78,79.4
2022.11,357.4,859.2,95.23,35.35
2022.12,322.17,784.82,64.86,45.34
