month,MG_v1,NuiIndy,MACD_GBPUSD,MACD_USDCAD,GoldReaper_XAUUSD
2020.01,56.74,189.43,58.8,20.39,1067.55
2020.02,71.99,287.12,49.01,8.88,2497.06
2020.03,513.8,412.11,167.3,171.24,-926.1
2020.04,142.71,181.5,97.97,54.63,710.98
2020.05,133.02,285.9,70.74,28.5,1210.01
2020.06,119.87,412.79,84.83,53.46,-694.22
2020.07,84.91,228.6,58.54,15.62,2668.01
2020.08,115.83,123.71,62.73,28.43,1462.84
2020.09,88.5,481.01,47.11,39.79,6.3
2020.10,71.77,264.73,54.1,29.96,390.19
2020.11,56.86,452.37,67.15,29.55,2857.95
2020.12,42.75,421.41,97.82,37.34,-1098.06
2021.01,57.56,473.96,39.1,52.51,702.6
2021.02,70.79,353.61,70.26,23.07,2589.31
2021.03,86.52,242.18,87.92,54.18,-330.16
2021.04,74.38,322.89,41.93,22.07,872.52
2021.05,57.69,813.37,57.79,33.11,586.92
2021.06,60.17,280.41,66.32,27.86,3209.02
2021.07,85.33,195.91,53.12,23.43,863.49
2021.08,14.89,252.41,42.6,48.65,5086.35
2021.09,56.7,403.59,52.89,48.54,-2260.82
2021.10,85.49,245.64,33.86,50.46,1696.7
2021.11,70.58,325.59,50.67,42.09,4534.24
2021.12,57.71,591.55,27.11,33.28,5555.99
2022.01,103.66,387.43,86.36,51.62,-847.65
2022.02,76.0,1089.52,42.76,55.0,8451.2
2022.03,129.15,780.6,54.05,45.07,3158.25
2022.04,117.44,463.63,32.39,22.01,233.07
2022.05,147.01,528.38,115.81,51.61,6327.89
2022.06,359.29,705.9,42.77,49.56,-2000.29
2022.07,207.32,916.27,92.9,47.07,7596.38
2022.08,224.94,578.8,91.57,48.6,9910.62
2022.09,671.36,1037.99,233.12,66.54,-3051.97
2022.10,372.0,849.73,94.78,79.4,-1715.09
2022.11,357.4,859.2,95.23,35.35,-3466.26
2022.12,322.17,784.82,64.86,45.34,496.16
