"Code","EA","Symbol","PF","DD","Trades","Verdict"
"GPM_1dir","(GPM) Almost 1 Direction v1.9.3","EURUSD","2.33","63.01","391","WATCH"
"BaronGrid","BaronGrid","EURUSD","1.83","4.06","389","PASS"
"Boss6Pivot","Boss - 6 Pivot Range Trading","EURUSD","0.74","71.68","422","REJECT"
"EAAmongUs","EA Among Us","EURUSD","2.2","23.63","712","WATCH"
"BlackDragon","EA Black Dragon MT5 V13","XAUUSD","0.81","53.49","66","REJECT"
"EA_TREND_v1","EA TREND","EURUSD","1.08","28.92","224","REJECT"
"EasyMoney","EasyMoney_V1","EURUSD","0.69","14.84","509","REJECT"
"GSMC_orig","Gold_SMC_Continuous_MT5","XAUUSD","0.93","59.58","214","REJECT"
"GSMC_Fibo","Gold_SMC_FiboRecovery_MT5","XAUUSD","0.05","95.2","41","REJECT"
"ImmortalGold","Immortal Gold","XAUUSD","2.64","9.24","1736","PASS"
"JanusGrid","JanusGrid_EA_v2_5","EURUSD","1.52","45.28","2622","WATCH"
"KnightSword","Knight Sword EA","EURUSD","1.06","86.55","20246","REJECT"
"KNTPTT_Grid","KNTPTT Grid Scalp Pro real no bug","EURUSD","1.6","12.5","1072","WATCH"
"KNTPTT_DCA","KNTPTT LongTerm DCA EA","EURUSD","1.9","39.18","883","REJECT"
"KNTPTT_KS2","KNTPTT_KnightSword_v2","EURUSD","0.5","89.71","3921","REJECT"
"LowCortisol","LowCortisolGrid","EURUSD","0.0","0.0","0","REJECT"
"LQ_Scalper","LQ Scalper","EURUSD","1.6","26.07","733","REJECT"
"PerfectEA","Perfect EA(M4) AutoHedging(EX2)","EURUSD","0.35","92.8","5","REJECT"
"Port1_CW","PORT 1 — EA_CelestialWoodfire","EURUSD","NOHTM","-","-","NOHTM"
"Port6_GE","PORT 6 — EA_GoldenEmber","XAUUSD","NOHTM","-","-","NOHTM"
"Sentinel12","Sentinel XAU_1.2_fix","XAUUSD","0.64","93.4","2312","REJECT"
"Snowball","SNOWBALL GENIUS HYBRID","EURUSD","0.0","0.0","0","REJECT"
"GoldReaper","The Gold Reaper MT5_4.3_fix_@FundedMillionAiress","XAUUSD","0.0","0","0","REJECT"
"UnifiedReg","UnifiedRegressionEA","EURUSD","0.0","3.87","10","REJECT"
"V2_15_SEMI","V2_15_SEMI_ORI_FINAL","EURUSD","0.0","0.0","0","REJECT"
"XAU_AI_v10","XAU_Scalper_AI_v10","XAUUSD","0.02","30.15","58","REJECT"
"ZyFer","ZyFer_Noname","EURUSD","0.0","0.0","0","REJECT"
