"Code","EA","Symbol","PF","DD","Trades","Verdict"
"B2_CW_rev010","MQL5 EA\rev_010_EA_CelestialWoodfire_141049900","EURUSD","0.7","41.21","171","REJECT"
"B2_GE_rev012","MQL5 EA\rev_012_EA_GoldenEmber_117030969","XAUUSD","0.68","78.36","14","REJECT"
"B2_GE_V2","MQL5 EA\rev_001_EA_GoldenEmber_117030969_V2","XAUUSD","0.0","44.46","3","REJECT"
"B2_Boss_GTF_ATR","MQL5 EA\Boss - GridTrendFollower_MTF_ATR_EA","EURUSD","0.83","5.64","1577","REJECT"
"B2_Boss_GridRSI","MQL5 EA\(Boss) Grid RSI","EURUSD","1.03","1.86","9","REJECT"
"B2_Boss_GTF","MQL5 EA\(Boss) Grid Trend Follower","EURUSD","0.76","5.3","753","REJECT"
"B2_Boss_MTF_Grid","MQL5 EA\(Boss) Multi-Timeframe Smart Grid","EURUSD","1.21","8.04","61","REJECT"
"B2_Boss2_ASG","MQL5 EA\Boss - 2 Adaptive Smart Grid","EURUSD","0.63","95.62","178","REJECT"
"B2_Boss_AG","MQL5 EA\Boss - Adaptive Grid","EURUSD","0.67","25.11","57","REJECT"
"B2_Boss_GF","MQL5 EA\Boss - Grid Follower","EURUSD","0.81","7.55","2101","REJECT"
"B2_Boss_GA","MQL5 EA\Boss - Grid Advance","EURUSD","1.51","25.01","157","REJECT"
"B2_BiDir_SGB","MQL5 EA\rev_001_Bi-directional_Stop_Grid_Breakout_EA","EURUSD","0.03","53.75","26","REJECT"
"B2_SmartMoney","MQL5 EA\rev_001_Smart_Money_EA","EURUSD","2.07","5.74","38","PASS"
"B2_AstroMaster","MQL5 EA\rev_001_AstroMaster_4Ports_FULL","EURUSD","0.66","65.91","345","REJECT"
"B2_CRT","MQL5 EA\rev_001_CRT_EA","EURUSD","0.57","91.11","1177","REJECT"
"B2_CME_OI","MQL5 EA\rev_002_CME_OI_Trader","XAUUSD","0.0","0.0","0","REJECT"
"B2_GTF_v2","MQL5 EA\rev_002_GridTrendFollower_MTF_ATR_EA","EURUSD","0.83","5.64","1577","REJECT"
"B2_ComboA_v3","MQL5 EA\rev_003_Combo_A_MTF_EA_-_Version_3.0_(High_Frequency_Fix)","EURUSD","0.0","0.0","0","REJECT"
"B2_AdaptGrid_v3","MQL5 EA\rev_006_AdaptiveGrid_v3_Final","EURUSD","1.51","25.01","157","REJECT"
"B2_AW_Recover","MQL5 EA\rev_007_AW_Recover_Simplified","EURUSD","1.03","1.86","9","REJECT"
"B2_Geno_V23","MQL5 EA\rev_007_Geno_Smart_Signal_V23_EA","EURUSD","0.27","99.95","441","REJECT"
"B2_BlazingArrow","MQL5 EA\rev_008_EA_BlazingArrow_159503454","XAUUSD","0.0","0.0","0","REJECT"
"B2_AbyssalD","MQL5 EA\rev_009_EA_AbyssalDiscipline_111098104","EURUSD","0.85","1.61","118","REJECT"
"B2_DragonsWrath","MQL5 EA\rev_009_EA_DragonsWrath_183977997","XAUUSD","1.56","65.24","28","REJECT"
"B2_EmberStrike","MQL5 EA\rev_009_EA_EmberStrike_141058396","XAUUSD","0.0","0.0","0","REJECT"
"B2_SolarEclipse","MQL5 EA\rev_009_EA_SolarEclipse_159149771","EURUSD","0.71","24.56","524","REJECT"
"B2_TwinFlares","MQL5 EA\rev_009_EA_TwinFlares_141050699","EURUSD","0.63","71.69","1471","REJECT"
"B2_CrimsonTide","MQL5 EA\rev_010_EA_CrimsonTide_159219430","EURUSD","0.71","38.39","193","REJECT"
"B2_DawnAscendant","MQL5 EA\rev_010_EA_DawnAscendant_193234160","EURUSD","0.94","7.29","63","REJECT"
"B2_IroncladForest","MQL5 EA\rev_011_EA_IroncladForest_146004104","EURUSD","0.71","97.26","221","REJECT"
"B2_QQ_352","Quantum\Quantum Queen EA MT5 v3.52 @SoftechFX_Robot","EURUSD","0.0","0.0","1","REJECT"
"B2_Q_Athena","Quantum\Quantum Athena Fix For MT5 @FundedMillionAiress","EURUSD","0.0","0.0","1","REJECT"
"B2_Q_Athena11","Quantum\Quantum Athena_1.1_fix","EURUSD","0.0","0.0","1","REJECT"
"B2_QQ_26","Quantum\Quantum Queen v2.6_.,fix","EURUSD","0.0","0.0","0","REJECT"
"B2_QQ_291","Quantum\Quantum Queen V2.91 MT5","EURUSD","1.7","5.43","43","WATCH"
"B2_Q_Speed","Quantum\Quantum Speed","EURUSD","1.93","7.66","256","PASS"
"B2_Q_Valkyrie","Quantum\Quantum Valkyrie 4.1 Fix MT5","EURUSD","0.0","0.0","0","REJECT"
