combo,params,window,PF,Net,Trades,EqDDpct,Win,Sharpe,Status
0,_02_TpAtrMult3.0__01_BreakoutBars20,IS,1.21,17.95,65,0.21,38.46,1.33,OK
0,_02_TpAtrMult3.0__01_BreakoutBars20,OOS,1.04,3.20,57,0.24,31.58,0.25,OK
1,_02_TpAtrMult5.0__01_BreakoutBars20,IS,1.47,42.51,60,0.20,31.67,1.99,OK
1,_02_TpAtrMult5.0__01_BreakoutBars20,OOS,0.87,-11.29,52,0.29,21.15,-0.56,OK
2,_02_TpAtrMult8.0__01_BreakoutBars20,IS,1.79,67.04,53,0.24,28.30,1.95,OK
2,_02_TpAtrMult8.0__01_BreakoutBars20,OOS,0.88,-9.67,44,0.37,13.64,-0.35,OK
3,_02_TpAtrMult3.0__01_BreakoutBars40,IS,1.22,14.53,52,0.19,40.38,1.31,OK
3,_02_TpAtrMult3.0__01_BreakoutBars40,OOS,1.13,7.99,49,0.21,32.65,0.73,OK
4,_02_TpAtrMult5.0__01_BreakoutBars40,IS,1.51,35.20,48,0.16,33.33,1.89,OK
4,_02_TpAtrMult5.0__01_BreakoutBars40,OOS,0.83,-12.36,44,0.29,20.45,-0.70,OK
5,_02_TpAtrMult8.0__01_BreakoutBars40,IS,2.04,66.01,42,0.20,30.95,2.38,OK
5,_02_TpAtrMult8.0__01_BreakoutBars40,OOS,0.69,-21.99,38,0.42,10.53,-0.93,OK
6,_02_TpAtrMult3.0__01_BreakoutBars60,IS,1.18,10.27,45,0.19,40.00,1.02,OK
6,_02_TpAtrMult3.0__01_BreakoutBars60,OOS,1.18,9.91,45,0.19,33.33,0.98,OK
7,_02_TpAtrMult5.0__01_BreakoutBars60,IS,1.75,40.98,41,0.16,34.15,2.57,OK
7,_02_TpAtrMult5.0__01_BreakoutBars60,OOS,0.78,-15.19,41,0.32,19.51,-0.99,OK
8,_02_TpAtrMult8.0__01_BreakoutBars60,IS,2.54,79.78,37,0.20,35.14,3.27,OK
8,_02_TpAtrMult8.0__01_BreakoutBars60,OOS,0.73,-17.76,36,0.38,11.11,-0.84,OK
9,_02_TpAtrMult3.0__01_BreakoutBars80,IS,1.18,10.39,45,0.19,40.00,1.03,OK
9,_02_TpAtrMult3.0__01_BreakoutBars80,OOS,1.07,3.52,41,0.22,29.27,0.38,OK
10,_02_TpAtrMult5.0__01_BreakoutBars80,IS,1.75,40.98,41,0.16,34.15,2.57,OK
10,_02_TpAtrMult5.0__01_BreakoutBars80,OOS,0.68,-20.58,38,0.35,15.79,-1.44,OK
11,_02_TpAtrMult8.0__01_BreakoutBars80,IS,2.54,79.78,37,0.20,35.14,3.27,OK
11,_02_TpAtrMult8.0__01_BreakoutBars80,OOS,0.76,-15.05,34,0.35,11.76,-0.77,OK
