"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.69","93","-24.64","0.28","40.86","-5.00","OK"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.18","98","21.28","0.38","52.04","3.23","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.66","93","-30.70","0.37","45.16","-5.00","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","1.08","98","11.06","0.47","54.08","1.42","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.73","93","-22.39","0.31","36.56","-5.00","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.43","98","51.40","0.40","51.02","5.38","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.69","93","-29.33","0.41","40.86","-5.00","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","1.32","98","43.35","0.50","53.06","4.01","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.77","93","-19.86","0.29","34.41","-4.43","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.25","98","33.19","0.45","44.90","2.93","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.73","93","-26.35","0.38","38.71","-5.00","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","1.17","98","24.99","0.54","46.94","1.96","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.73","374","-78.13","1.06","41.44","-5.00","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","1.03","437","12.13","0.76","49.66","0.57","OK"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.76","374","-71.69","1.06","47.06","-5.00","OK"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","1.04","437","18.99","0.89","54.69","0.74","OK"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.72","374","-87.64","1.18","34.76","-5.00","OK"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","1.03","437","15.65","0.95","42.56","0.52","OK"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.74","374","-87.53","1.26","39.84","-4.91","OK"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","1.05","437","27.65","1.03","47.60","0.79","OK"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.72","374","-91.84","1.15","32.09","-5.00","OK"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","1.05","437","26.40","0.88","40.05","0.76","OK"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.73","374","-93.89","1.25","37.17","-4.66","OK"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","1.08","437","44.11","0.90","45.08","1.10","OK"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.71","547","-120.29","1.52","41.13","-5.00","OK"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.94","659","-43.21","1.01","48.25","-1.38","OK"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.71","547","-135.29","1.72","45.16","-5.00","OK"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.97","659","-25.48","1.10","53.41","-0.67","OK"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.72","547","-128.92","1.68","34.73","-5.00","OK"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.99","659","-7.95","1.13","42.34","-0.19","OK"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.70","547","-152.67","1.95","38.39","-5.00","OK"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","1.03","659","21.76","1.14","47.80","0.43","OK"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.75","547","-118.69","1.49","32.72","-4.88","OK"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","1.01","659","10.76","1.18","39.91","0.22","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.72","547","-144.87","1.81","36.38","-5.00","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","1.06","659","49.49","1.12","45.37","0.86","OK"
