"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult1.5","IS","1.57","7","3.47","0.05","57.14","1.11","OK"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult1.5","OOS1","0.00","2","-2.16","0.03","0.00","-0.64","OK"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult1.5","OOS2","0.00","1","4.17","0.04","100.00","0.53","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","2.37","7","5.55","0.06","57.14","1.08","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS1","0.00","2","-2.65","0.03","0.00","-0.77","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","0.00","1","4.17","0.04","100.00","0.53","OK"
"2","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","2.03","7","4.87","0.06","57.14","0.94","OK"
"2","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS1","0.00","2","-1.77","0.03","0.00","-0.48","OK"
"2","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.00","1","4.17","0.04","100.00","0.53","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult1.5","IS","1.89","7","5.48","0.05","57.14","1.52","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult1.5","OOS1","0.00","2","-2.16","0.03","0.00","-0.64","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult1.5","OOS2","0.00","1","3.73","0.04","100.00","0.45","OK"
"4","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","2.86","7","7.56","0.06","57.14","1.35","OK"
"4","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS1","0.00","2","-2.65","0.03","0.00","-0.77","OK"
"4","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","0.00","1","3.73","0.04","100.00","0.45","OK"
"5","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","2.45","7","6.88","0.06","57.14","1.22","OK"
"5","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS1","0.00","2","-1.77","0.03","0.00","-0.48","OK"
"5","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.00","1","3.73","0.04","100.00","0.45","OK"
"6","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult1.5","IS","2.15","7","7.09","0.05","57.14","1.54","OK"
"6","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult1.5","OOS1","0.00","2","-2.16","0.03","0.00","-0.64","OK"
"6","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult1.5","OOS2","0.00","1","3.73","0.04","100.00","0.45","OK"
"7","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","3.26","7","9.17","0.06","57.14","1.38","OK"
"7","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS1","0.00","2","-2.65","0.03","0.00","-0.77","OK"
