"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","1.09","119","10.09","0.35","50.42","11.18","OK"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","0.94","106","-9.63","0.47","45.28","-5.00","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","1.16","119","19.17","0.41","55.46","18.27","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.90","106","-18.73","0.49","49.06","-5.00","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","1.01","119","1.38","0.48","42.86","1.19","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.03","106","5.35","0.45","41.51","3.35","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","1.03","119","4.92","0.57","47.06","3.73","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.94","106","-11.68","0.51","44.34","-5.00","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.95","119","-6.52","0.53","39.50","-5.00","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.01","106","1.94","0.54","38.68","1.08","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.97","119","-4.14","0.63","43.70","-2.85","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.92","106","-16.35","0.62","41.51","-5.00","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.82","443","-87.48","1.06","45.37","-5.00","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.92","461","-56.42","1.43","45.77","-5.00","OK"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.91","443","-42.61","0.66","52.60","-5.00","OK"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.93","461","-47.20","1.44","50.54","-5.00","OK"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.85","443","-78.92","1.13","38.83","-5.00","OK"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.85","461","-109.43","1.88","38.18","-5.00","OK"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.94","443","-32.68","0.65","45.82","-5.00","OK"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.87","461","-107.65","1.83","42.73","-5.00","OK"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.83","443","-99.47","1.38","34.99","-5.00","OK"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.85","461","-115.12","2.06","36.23","-5.00","OK"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.91","443","-55.57","0.92","41.99","-5.00","OK"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.86","461","-114.95","1.98","40.78","-5.00","OK"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.81","575","-124.16","1.49","44.87","-5.00","OK"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.88","669","-114.51","1.85","46.49","-5.00","OK"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.85","575","-98.51","1.24","50.96","-5.00","OK"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.93","669","-74.71","1.59","51.87","-5.00","OK"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.83","575","-117.72","1.59","38.09","-5.00","OK"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.83","669","-182.16","2.42","38.86","-5.00","OK"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.88","575","-93.07","1.31","44.00","-5.00","OK"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.87","669","-154.44","2.31","43.95","-5.00","OK"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.80","575","-152.45","1.97","34.26","-5.00","OK"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.83","669","-189.84","2.42","36.92","-5.00","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.83","575","-132.55","1.71","40.17","-5.00","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.87","669","-159.85","2.34","42.00","-5.00","OK"
