"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.62","40","-35.07","0.49","42.50","-5.00","OK"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.14","56","14.70","0.35","51.79","2.42","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.66","40","-30.75","0.48","45.00","-5.00","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","1.05","56","5.50","0.43","53.57","0.79","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.68","40","-29.94","0.49","42.50","-5.00","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.12","56","13.81","0.47","46.43","1.61","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.72","40","-25.62","0.48","45.00","-4.28","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","1.03","56","3.18","0.57","48.21","0.34","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.67","40","-30.78","0.48","42.50","-5.00","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","1.09","56","10.62","0.47","42.86","1.13","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.71","40","-26.46","0.47","45.00","-4.20","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","1.00","56","-0.51","0.57","44.64","-0.05","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.80","224","-75.99","1.08","48.66","-3.67","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","","","","","","","NO_REPORT"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.78","224","-93.20","1.19","51.34","-4.01","OK"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","","","","","","","NO_REPORT"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.76","224","-99.18","1.50","42.41","-4.12","OK"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","1.03","353","17.62","0.60","43.06","0.42","OK"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","","","","","","","NO_REPORT"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.99","353","-10.14","0.79","46.18","-0.21","OK"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","","","","","","","NO_REPORT"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","1.06","353","42.29","0.62","41.36","0.92","OK"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","","","","","","","NO_REPORT"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","1.01","353","9.94","0.72","44.48","0.19","OK"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","","","","","","","NO_REPORT"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.87","582","-142.64","1.82","45.53","-2.72","OK"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","","","","","","","NO_REPORT"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.86","582","-162.37","2.11","48.80","-2.64","OK"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","","","","","","","NO_REPORT"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.91","582","-95.66","1.55","41.24","-1.45","OK"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","","","","","","","NO_REPORT"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.90","582","-117.12","1.81","44.67","-1.55","OK"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","","","","","","","NO_REPORT"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.91","582","-108.33","1.70","39.18","-1.48","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.91","428","-71.09","1.61","46.26","-1.31","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","","","","","","","NO_REPORT"
