"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.75","43","-10.14","0.14","51.16","-4.67","OK"
"0","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","0.79","79","-19.76","0.31","40.51","-3.49","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.63","43","-17.87","0.21","51.16","-5.00","OK"
"1","TpAtrMult2.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.80","79","-20.02","0.29","45.57","-3.12","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.81","43","-7.96","0.13","46.51","-3.20","OK"
"2","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","0.61","79","-40.62","0.51","31.65","-5.00","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.68","43","-16.27","0.20","46.51","-5.00","OK"
"3","TpAtrMult3.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.61","79","-44.10","0.52","35.44","-5.00","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","IS","0.82","43","-7.57","0.14","46.51","-2.88","OK"
"4","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.0","OOS2","0.53","79","-49.47","0.57","30.38","-5.00","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","IS","0.69","43","-15.88","0.20","46.51","-5.00","OK"
"5","TpAtrMult4.0_ConsoAtrMult1.0_SlAtrMult2.5","OOS2","0.53","79","-53.30","0.58","34.18","-5.00","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.85","286","-34.90","0.64","47.20","-2.79","OK"
"6","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.83","373","-70.15","0.93","42.63","-3.40","OK"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.86","286","-35.57","0.63","51.40","-2.50","OK"
"7","TpAtrMult2.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.83","373","-76.39","0.90","46.65","-3.21","OK"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.95","286","-12.93","0.57","43.01","-0.87","OK"
"8","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.88","373","-53.61","0.89","38.07","-2.17","OK"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.96","286","-11.45","0.55","47.20","-0.68","OK"
"9","TpAtrMult3.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.86","373","-64.77","0.88","41.55","-2.30","OK"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","IS","0.93","286","-17.93","0.64","39.86","-1.11","OK"
"10","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.0","OOS2","0.88","373","-52.61","0.89","36.19","-1.90","OK"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","IS","0.92","286","-21.83","0.68","43.71","-1.19","OK"
"11","TpAtrMult4.0_ConsoAtrMult1.5_SlAtrMult2.5","OOS2","0.87","373","-62.24","0.90","39.68","-2.00","OK"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.78","484","-88.44","1.08","44.01","-4.37","OK"
"12","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.77","601","-152.88","1.66","42.26","-4.61","OK"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.76","484","-108.31","1.25","47.11","-4.66","OK"
"13","TpAtrMult2.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.79","601","-153.17","1.59","46.59","-4.00","OK"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.84","484","-69.49","1.03","38.84","-2.90","OK"
"14","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.79","601","-149.60","1.69","37.44","-3.77","OK"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.81","484","-88.48","1.20","41.94","-3.26","OK"
"15","TpAtrMult3.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.81","601","-143.33","1.58","41.76","-3.17","OK"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","IS","0.83","484","-74.37","1.10","36.16","-2.87","OK"
"16","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.0","OOS2","0.81","601","-142.70","1.61","35.94","-3.26","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","IS","0.80","484","-98.68","1.34","39.05","-3.36","OK"
"17","TpAtrMult4.0_ConsoAtrMult2.0_SlAtrMult2.5","OOS2","0.83","601","-131.71","1.48","40.27","-2.67","OK"
