"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult4.0_BreakoutBars20","IS","2.10","45","271.76","0.67","46.67","6.16","OK"
"0","TpAtrMult4.0_BreakoutBars20","OOS","3.77","16","458.28","1.16","50.00","10.12","OK"
"1","TpAtrMult6.0_BreakoutBars20","IS","2.61","42","413.57","1.35","42.86","6.42","OK"
"1","TpAtrMult6.0_BreakoutBars20","OOS","2.50","16","368.80","2.17","37.50","3.20","OK"
"2","TpAtrMult4.0_BreakoutBars34","IS","2.61","42","320.86","0.60","50.00","7.99","OK"
"2","TpAtrMult4.0_BreakoutBars34","OOS","4.11","15","472.01","1.16","53.33","9.27","OK"
"3","TpAtrMult6.0_BreakoutBars34","IS","2.92","39","420.25","1.23","43.59","6.91","OK"
"3","TpAtrMult6.0_BreakoutBars34","OOS","2.64","15","382.53","2.17","40.00","2.92","OK"
"4","TpAtrMult4.0_BreakoutBars55","IS","2.85","35","308.57","0.61","51.43","7.96","OK"
"4","TpAtrMult4.0_BreakoutBars55","OOS","4.87","14","495.51","0.92","57.14","8.41","OK"
"5","TpAtrMult6.0_BreakoutBars55","IS","3.19","33","407.20","1.24","45.45","7.35","OK"
"5","TpAtrMult6.0_BreakoutBars55","OOS","2.94","14","406.03","2.17","42.86","2.66","OK"
