"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult2.0_SlAtrMult1.5_ExtremeBars12","IS","0.91","583","-58.64","0.88","40.65","-1.31","OK"
"0","TpAtrMult2.0_SlAtrMult1.5_ExtremeBars12","OOS","0.84","395","-77.31","1.17","38.99","-2.30","OK"
"1","TpAtrMult2.0_SlAtrMult2.0_ExtremeBars12","IS","0.92","493","-54.03","0.98","46.86","-1.04","OK"
"1","TpAtrMult2.0_SlAtrMult2.0_ExtremeBars12","OOS","0.85","340","-75.13","1.06","45.29","-2.04","OK"
"2","TpAtrMult2.0_SlAtrMult2.5_ExtremeBars12","IS","0.97","426","-17.25","0.60","54.23","-0.30","OK"
"2","TpAtrMult2.0_SlAtrMult2.5_ExtremeBars12","OOS","0.93","301","-32.29","0.99","53.16","-0.77","OK"
"3","TpAtrMult3.0_SlAtrMult1.5_ExtremeBars12","IS","0.96","508","-28.30","0.93","32.48","-0.46","OK"
"3","TpAtrMult3.0_SlAtrMult1.5_ExtremeBars12","OOS","0.86","349","-71.20","1.10","30.66","-1.57","OK"
"4","TpAtrMult3.0_SlAtrMult2.0_ExtremeBars12","IS","1.00","424","2.34","0.88","38.44","0.04","OK"
"4","TpAtrMult3.0_SlAtrMult2.0_ExtremeBars12","OOS","0.84","295","-80.07","1.35","35.93","-1.68","OK"
"5","TpAtrMult3.0_SlAtrMult2.5_ExtremeBars12","IS","0.99","355","-6.79","0.79","44.79","-0.09","OK"
"5","TpAtrMult3.0_SlAtrMult2.5_ExtremeBars12","OOS","0.88","254","-57.22","1.07","42.52","-1.08","OK"
"6","TpAtrMult4.0_SlAtrMult1.5_ExtremeBars12","IS","1.02","416","12.86","0.73","27.88","0.17","OK"
"6","TpAtrMult4.0_SlAtrMult1.5_ExtremeBars12","OOS","0.82","297","-84.38","1.00","23.91","-1.64","OK"
"7","TpAtrMult4.0_SlAtrMult2.0_ExtremeBars12","IS","1.02","348","13.23","0.85","33.05","0.16","OK"
"7","TpAtrMult4.0_SlAtrMult2.0_ExtremeBars12","OOS","0.80","242","-92.02","1.31","28.51","-1.67","OK"
"8","TpAtrMult4.0_SlAtrMult2.5_ExtremeBars12","IS","1.02","291","10.79","0.92","39.52","0.13","OK"
"8","TpAtrMult4.0_SlAtrMult2.5_ExtremeBars12","OOS","0.94","198","-27.84","1.03","36.87","-0.48","OK"
"9","TpAtrMult2.0_SlAtrMult1.5_ExtremeBars24","IS","0.89","523","-65.62","1.00","40.15","-1.59","OK"
"9","TpAtrMult2.0_SlAtrMult1.5_ExtremeBars24","OOS","0.90","348","-40.84","0.87","40.80","-1.35","OK"
"10","TpAtrMult2.0_SlAtrMult2.0_ExtremeBars24","IS","0.93","439","-38.53","0.88","46.92","-0.80","OK"
"10","TpAtrMult2.0_SlAtrMult2.0_ExtremeBars24","OOS","0.91","302","-39.18","0.79","47.35","-1.18","OK"
"11","TpAtrMult2.0_SlAtrMult2.5_ExtremeBars24","IS","0.95","385","-30.49","0.74","53.51","-0.58","OK"
"11","TpAtrMult2.0_SlAtrMult2.5_ExtremeBars24","OOS","0.94","271","-26.20","0.81","53.51","-0.69","OK"
"12","TpAtrMult3.0_SlAtrMult1.5_ExtremeBars24","IS","0.95","472","-33.86","1.02","32.20","-0.58","OK"
"12","TpAtrMult3.0_SlAtrMult1.5_ExtremeBars24","OOS","0.87","313","-60.02","1.02","30.99","-1.43","OK"
"13","TpAtrMult3.0_SlAtrMult2.0_ExtremeBars24","IS","1.04","390","23.93","0.79","39.23","0.39","OK"
"13","TpAtrMult3.0_SlAtrMult2.0_ExtremeBars24","OOS","0.87","266","-57.95","1.16","36.84","-1.28","OK"
"14","TpAtrMult3.0_SlAtrMult2.5_ExtremeBars24","IS","1.01","334","6.68","0.66","45.51","0.10","OK"
"14","TpAtrMult3.0_SlAtrMult2.5_ExtremeBars24","OOS","0.95","231","-23.27","0.79","43.72","-0.46","OK"
"15","TpAtrMult4.0_SlAtrMult1.5_ExtremeBars24","IS","1.00","396","-0.88","0.82","27.53","-0.01","OK"
"15","TpAtrMult4.0_SlAtrMult1.5_ExtremeBars24","OOS","0.89","270","-45.61","0.74","25.56","-0.95","OK"
"16","TpAtrMult4.0_SlAtrMult2.0_ExtremeBars24","IS","0.97","321","-17.63","1.06","32.09","-0.22","OK"
"16","TpAtrMult4.0_SlAtrMult2.0_ExtremeBars24","OOS","0.86","221","-60.60","1.02","29.86","-1.15","OK"
"17","TpAtrMult4.0_SlAtrMult2.5_ExtremeBars24","IS","0.99","273","-3.72","0.95","39.56","-0.05","OK"
"17","TpAtrMult4.0_SlAtrMult2.5_ExtremeBars24","OOS","1.02","180","6.10","0.74","38.33","0.11","OK"
"18","TpAtrMult2.0_SlAtrMult1.5_ExtremeBars36","IS","0.85","435","-78.83","1.07","38.39","-2.23","OK"
"18","TpAtrMult2.0_SlAtrMult1.5_ExtremeBars36","OOS","0.92","297","-28.82","0.68","41.41","-1.13","OK"
"19","TpAtrMult2.0_SlAtrMult2.0_ExtremeBars36","IS","0.90","367","-52.06","0.89","45.50","-1.26","OK"
"19","TpAtrMult2.0_SlAtrMult2.0_ExtremeBars36","OOS","0.92","260","-28.47","0.63","47.69","-1.01","OK"
"20","TpAtrMult2.0_SlAtrMult2.5_ExtremeBars36","IS","0.87","325","-68.06","0.93","51.08","-1.51","OK"
"20","TpAtrMult2.0_SlAtrMult2.5_ExtremeBars36","OOS","0.94","231","-20.57","0.68","53.68","-0.65","OK"
"21","TpAtrMult3.0_SlAtrMult1.5_ExtremeBars36","IS","0.88","408","-64.94","1.21","30.64","-1.26","OK"
"21","TpAtrMult3.0_SlAtrMult1.5_ExtremeBars36","OOS","0.83","275","-66.72","0.99","30.18","-1.77","OK"
"22","TpAtrMult3.0_SlAtrMult2.0_ExtremeBars36","IS","0.99","335","-2.63","0.76","38.21","-0.05","OK"
"22","TpAtrMult3.0_SlAtrMult2.0_ExtremeBars36","OOS","0.88","238","-48.11","1.10","36.97","-1.17","OK"
"23","TpAtrMult3.0_SlAtrMult2.5_ExtremeBars36","IS","0.95","293","-28.77","0.83","44.03","-0.49","OK"
"23","TpAtrMult3.0_SlAtrMult2.5_ExtremeBars36","OOS","1.00","200","-0.75","0.72","44.50","-0.02","OK"
"24","TpAtrMult4.0_SlAtrMult1.5_ExtremeBars36","IS","0.89","357","-57.21","1.13","25.77","-0.88","OK"
"24","TpAtrMult4.0_SlAtrMult1.5_ExtremeBars36","OOS","0.87","247","-49.51","0.80","25.10","-1.10","OK"
"25","TpAtrMult4.0_SlAtrMult2.0_ExtremeBars36","IS","0.91","289","-48.40","1.18","31.49","-0.67","OK"
"25","TpAtrMult4.0_SlAtrMult2.0_ExtremeBars36","OOS","0.95","206","-20.05","1.05","31.55","-0.40","OK"
"26","TpAtrMult4.0_SlAtrMult2.5_ExtremeBars36","IS","0.89","246","-55.90","1.07","37.40","-0.74","OK"
"26","TpAtrMult4.0_SlAtrMult2.5_ExtremeBars36","OOS","1.07","166","24.04","0.62","39.16","0.45","OK"
