"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult2.0_RegPeriod50_ChannelK1.0","IS","0.95","449","-156.60","4.11","49.22","-0.54","OK"
"0","TpAtrMult2.0_RegPeriod50_ChannelK1.0","OOS","0.82","269","-1","","49.81","-1.75","OK"
"1","TpAtrMult3.0_RegPeriod50_ChannelK1.0","IS","0.94","346","-196.64","5.52","39.60","-0.57","OK"
"1","TpAtrMult3.0_RegPeriod50_ChannelK1.0","OOS","0.68","213","-1","","36.15","-2.71","OK"
"2","TpAtrMult4.0_RegPeriod50_ChannelK1.0","IS","0.96","272","-113.18","5.16","32.72","-0.30","OK"
"2","TpAtrMult4.0_RegPeriod50_ChannelK1.0","OOS","0.78","184","-1","","32.07","-1.58","OK"
"3","TpAtrMult2.0_RegPeriod50_ChannelK1.5","IS","0.91","366","-270.54","5.77","48.09","-1.14","OK"
"3","TpAtrMult2.0_RegPeriod50_ChannelK1.5","OOS","0.82","208","-803.84","","49.52","-1.62","OK"
"4","TpAtrMult3.0_RegPeriod50_ChannelK1.5","IS","0.90","293","-266.83","6.14","38.57","-0.91","OK"
"4","TpAtrMult3.0_RegPeriod50_ChannelK1.5","OOS","0.75","184","-1","","37.50","-2.00","OK"
"5","TpAtrMult4.0_RegPeriod50_ChannelK1.5","IS","0.86","250","-374.23","5.39","30.80","-1.10","OK"
"5","TpAtrMult4.0_RegPeriod50_ChannelK1.5","OOS","0.79","164","-973.14","","32.32","-1.43","OK"
"6","TpAtrMult2.0_RegPeriod50_ChannelK2.0","IS","0.96","237","-77.82","2.94","47.68","-0.47","OK"
"6","TpAtrMult2.0_RegPeriod50_ChannelK2.0","OOS","0.91","149","-310.00","9.49","50.34","-0.86","OK"
"7","TpAtrMult3.0_RegPeriod50_ChannelK2.0","IS","0.92","208","-151.18","3.65","37.98","-0.68","OK"
"7","TpAtrMult3.0_RegPeriod50_ChannelK2.0","OOS","0.76","138","-930.16","","35.51","-2.00","OK"
"8","TpAtrMult4.0_RegPeriod50_ChannelK2.0","IS","0.97","189","-54.68","3.47","31.75","-0.20","OK"
"8","TpAtrMult4.0_RegPeriod50_ChannelK2.0","OOS","0.76","128","-921.79","","30.47","-1.70","OK"
"9","TpAtrMult2.0_RegPeriod100_ChannelK1.0","IS","0.88","396","-405.46","5.45","48.48","-1.61","OK"
"9","TpAtrMult2.0_RegPeriod100_ChannelK1.0","OOS","0.84","240","-841.58","","50.00","-1.45","OK"
"10","TpAtrMult3.0_RegPeriod100_ChannelK1.0","IS","0.85","298","-431.10","5.18","38.59","-1.48","OK"
"10","TpAtrMult3.0_RegPeriod100_ChannelK1.0","OOS","0.79","187","-1","","40.11","-1.67","OK"
"11","TpAtrMult4.0_RegPeriod100_ChannelK1.0","IS","0.83","256","-483.13","6.41","32.03","-1.44","OK"
"11","TpAtrMult4.0_RegPeriod100_ChannelK1.0","OOS","0.92","155","-336.89","","36.77","-0.47","OK"
"12","TpAtrMult2.0_RegPeriod100_ChannelK1.5","IS","0.86","293","-347.05","5.33","48.81","-1.73","OK"
"12","TpAtrMult2.0_RegPeriod100_ChannelK1.5","OOS","0.83","179","-726.05","","49.16","-1.63","OK"
"13","TpAtrMult3.0_RegPeriod100_ChannelK1.5","IS","0.81","248","-480.50","6.66","37.90","-1.96","OK"
"13","TpAtrMult3.0_RegPeriod100_ChannelK1.5","OOS","0.74","142","-1","","36.62","-1.90","OK"
"14","TpAtrMult4.0_RegPeriod100_ChannelK1.5","IS","0.81","226","-481.97","7.28","32.30","-1.62","OK"
"14","TpAtrMult4.0_RegPeriod100_ChannelK1.5","OOS","0.96","134","-156.44","","36.57","-0.24","OK"
"15","TpAtrMult2.0_RegPeriod100_ChannelK2.0","IS","0.93","194","-114.12","3.67","50.00","-0.85","OK"
"15","TpAtrMult2.0_RegPeriod100_ChannelK2.0","OOS","0.91","120","-265.45","","52.50","-0.93","OK"
"16","TpAtrMult3.0_RegPeriod100_ChannelK2.0","IS","0.81","173","-362.14","5.44","37.57","-1.90","OK"
"16","TpAtrMult3.0_RegPeriod100_ChannelK2.0","OOS","0.87","107","-426.68","","40.19","-0.99","OK"
"17","TpAtrMult4.0_RegPeriod100_ChannelK2.0","IS","0.75","161","-485.60","7.26","31.68","-1.97","OK"
"17","TpAtrMult4.0_RegPeriod100_ChannelK2.0","OOS","1.11","103","327.65","","38.83","0.64","OK"
"18","TpAtrMult2.0_RegPeriod150_ChannelK1.0","IS","0.76","361","-815.23","9.76","47.37","-3.44","OK"
"18","TpAtrMult2.0_RegPeriod150_ChannelK1.0","OOS","0.97","217","-134.01","","50.69","-0.26","OK"
"19","TpAtrMult3.0_RegPeriod150_ChannelK1.0","IS","0.75","286","-779.20","","37.41","-2.80","OK"
"19","TpAtrMult3.0_RegPeriod150_ChannelK1.0","OOS","0.88","160","-529.02","","40.00","-0.86","OK"
"20","TpAtrMult4.0_RegPeriod150_ChannelK1.0","IS","0.75","232","-715.79","","32.33","-2.28","OK"
"20","TpAtrMult4.0_RegPeriod150_ChannelK1.0","OOS","0.98","133","-65.54","","34.59","-0.10","OK"
"21","TpAtrMult2.0_RegPeriod150_ChannelK1.5","IS","0.70","258","-774.81","8.68","45.35","-4.08","OK"
"21","TpAtrMult2.0_RegPeriod150_ChannelK1.5","OOS","0.89","153","-397.70","","49.67","-1.09","OK"
"22","TpAtrMult3.0_RegPeriod150_ChannelK1.5","IS","0.64","212","-908.45","","34.43","-4.01","OK"
"22","TpAtrMult3.0_RegPeriod150_ChannelK1.5","OOS","0.81","120","-677.81","","38.33","-1.42","OK"
"23","TpAtrMult4.0_RegPeriod150_ChannelK1.5","IS","0.60","188","-1","","27.13","-3.73","OK"
"23","TpAtrMult4.0_RegPeriod150_ChannelK1.5","OOS","0.88","104","-388.31","","32.69","-0.66","OK"
