"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult4.0_BreakoutBars8","IS","0.79","131","-59.44","1.09","22.90","-1.67","OK"
"0","TpAtrMult4.0_BreakoutBars8","OOS","0.75","69","-38.49","0.45","21.74","-2.37","OK"
"1","TpAtrMult6.0_BreakoutBars8","IS","0.83","121","-49.76","0.88","17.36","-1.13","OK"
"1","TpAtrMult6.0_BreakoutBars8","OOS","0.66","63","-53.37","0.58","12.70","-2.71","OK"
"2","TpAtrMult4.0_BreakoutBars12","IS","0.81","100","-42.45","0.83","24.00","-1.63","OK"
"2","TpAtrMult4.0_BreakoutBars12","OOS","0.89","45","-11.00","0.35","26.67","-1.12","OK"
"3","TpAtrMult6.0_BreakoutBars12","IS","0.84","92","-35.14","0.69","18.48","-1.02","OK"
"3","TpAtrMult6.0_BreakoutBars12","OOS","0.69","40","-31.00","0.39","15.00","-2.48","OK"
"4","TpAtrMult4.0_BreakoutBars20","IS","0.80","85","-38.61","0.80","24.71","-1.78","OK"
"4","TpAtrMult4.0_BreakoutBars20","OOS","1.03","40","2.78","0.31","30.00","0.31","OK"
"5","TpAtrMult6.0_BreakoutBars20","IS","0.93","79","-13.66","0.69","20.25","-0.50","OK"
"5","TpAtrMult6.0_BreakoutBars20","OOS","0.80","35","-17.22","0.33","17.14","-1.47","OK"
