"Combo","Params","Window","PF","Trades","Net","DDpct","Win","Sharpe","Status"
"0","TpAtrMult4.0_BreakoutBars8","IS","1.66","72","288.59","0.73","37.50","4.04","OK"
"0","TpAtrMult4.0_BreakoutBars8","OOS","3.85","21","634.87","1.11","52.38","11.80","OK"
"1","TpAtrMult6.0_BreakoutBars8","IS","1.92","68","431.26","1.26","32.35","4.10","OK"
"1","TpAtrMult6.0_BreakoutBars8","OOS","3.92","20","712.62","1.46","45.00","8.04","OK"
"2","TpAtrMult4.0_BreakoutBars12","IS","1.99","53","302.84","0.79","43.40","5.46","OK"
"2","TpAtrMult4.0_BreakoutBars12","OOS","3.51","17","446.17","1.16","47.06","10.74","OK"
"3","TpAtrMult6.0_BreakoutBars12","IS","2.36","50","441.91","1.46","38.00","5.59","OK"
"3","TpAtrMult6.0_BreakoutBars12","OOS","2.38","17","356.69","2.18","35.29","3.43","OK"
"4","TpAtrMult4.0_BreakoutBars20","IS","2.10","45","271.76","0.67","46.67","6.16","OK"
"4","TpAtrMult4.0_BreakoutBars20","OOS","3.77","16","458.28","1.16","50.00","10.12","OK"
"5","TpAtrMult6.0_BreakoutBars20","IS","2.61","42","413.57","1.35","42.86","6.42","OK"
"5","TpAtrMult6.0_BreakoutBars20","OOS","2.50","16","368.80","2.17","37.50","3.20","OK"
