combo,params,window,PF,Net,Trades,EqDDpct,Win,Sharpe,Status
0,Tp3Pts30_NearbyPip50,IS,0.27,-77.95,105,0.98,58.10,-3.59,OK
0,Tp3Pts30_NearbyPip50,OOS,0.58,-26.20,114,0.58,71.05,-1.58,OK
1,Tp3Pts30_NearbyPip100,IS,0.24,-70.83,89,0.80,48.31,-3.40,OK
1,Tp3Pts30_NearbyPip100,OOS,0.57,-26.84,100,0.52,63.00,-1.98,OK
2,Tp3Pts30_NearbyPip150,IS,0.42,-48.76,81,0.56,56.79,-2.60,OK
2,Tp3Pts30_NearbyPip150,OOS,0.67,-18.77,89,0.40,70.79,-1.53,OK
3,Tp3Pts50_NearbyPip50,IS,0.47,-54.90,106,0.87,71.70,-2.42,OK
3,Tp3Pts50_NearbyPip50,OOS,0.73,-17.45,119,0.56,77.31,-1.03,OK
4,Tp3Pts50_NearbyPip100,IS,0.40,-51.93,91,0.61,51.65,-2.34,OK
4,Tp3Pts50_NearbyPip100,OOS,0.59,-26.35,94,0.56,59.57,-1.66,OK
5,Tp3Pts50_NearbyPip150,IS,0.52,-38.30,81,0.47,58.02,-2.28,OK
5,Tp3Pts50_NearbyPip150,OOS,0.75,-13.05,85,0.38,63.53,-0.96,OK
6,Tp3Pts80_NearbyPip50,IS,0.62,-30.28,84,0.44,69.05,-1.13,OK
6,Tp3Pts80_NearbyPip50,OOS,0.73,-19.60,94,0.62,77.66,-1.03,OK
7,Tp3Pts80_NearbyPip100,IS,0.52,-37.42,85,0.48,56.47,-1.59,OK
7,Tp3Pts80_NearbyPip100,OOS,0.38,-58.54,79,0.79,55.70,-3.01,OK
8,Tp3Pts80_NearbyPip150,IS,0.53,-35.28,72,0.44,52.78,-1.57,OK
8,Tp3Pts80_NearbyPip150,OOS,0.61,-24.59,76,0.42,56.58,-1.58,OK
9,Tp3Pts120_NearbyPip50,IS,1.24,16.75,79,0.36,79.75,0.63,OK
9,Tp3Pts120_NearbyPip50,OOS,0.44,-51.56,64,0.85,67.19,-2.43,OK
10,Tp3Pts120_NearbyPip100,IS,1.07,4.72,75,0.34,72.00,0.20,OK
10,Tp3Pts120_NearbyPip100,OOS,0.49,-40.34,61,0.70,59.02,-2.10,OK
11,Tp3Pts120_NearbyPip150,IS,0.67,-22.07,72,0.39,54.17,-0.93,OK
11,Tp3Pts120_NearbyPip150,OOS,0.50,-38.68,61,0.69,55.74,-2.19,OK
