tp3,near,window,PF,Net,Trades,DDpct,Win,Sharpe,Status
30,50,IS,2.62,67.75,136,0.49,79.41,2.85,OK
30,50,OOS,2.81,65.63,128,0.46,76.56,3.92,OK
30,100,IS,2.00,40.94,118,0.47,70.34,1.94,OK
30,100,OOS,3.39,62.37,117,0.18,70.09,5.87,OK
30,150,IS,1.64,30.59,103,0.46,72.82,1.99,OK
30,150,OOS,2.33,47.12,101,0.17,69.31,4.37,OK
50,50,IS,4.69,96.27,145,0.49,86.21,4.36,OK
50,50,OOS,3.90,92.20,126,0.46,88.89,4.62,OK
50,100,IS,1.77,41.54,110,0.47,71.82,1.69,OK
50,100,OOS,5.08,77.27,111,0.18,72.97,5.80,OK
50,150,IS,1.71,33.33,101,0.46,69.31,1.71,OK
50,150,OOS,3.25,68.16,101,0.17,70.30,5.54,OK
80,50,IS,3.38,103.26,134,0.49,87.31,3.74,OK
80,50,OOS,5.34,125.94,116,0.46,92.24,4.73,OK
80,100,IS,2.28,61.91,106,0.47,78.30,2.36,OK
80,100,OOS,3.45,91.29,108,0.46,77.78,4.34,OK
80,150,IS,2.69,63.22,96,0.46,72.92,3.06,OK
80,150,OOS,4.64,95.85,105,0.17,69.52,6.58,OK
120,50,IS,3.14,104.56,104,0.49,91.35,3.17,OK
120,50,OOS,2.05,82.09,102,0.60,94.12,2.43,OK
120,100,IS,1.87,49.61,84,0.47,80.95,1.54,OK
120,100,OOS,3.29,84.96,89,0.46,80.90,3.02,OK
120,150,IS,2.32,61.71,86,0.46,66.28,1.92,OK
120,150,OOS,7.63,124.39,95,0.39,74.74,5.36,OK
