symbol,window,model,PF,Net,Trades,DDpct,Win,Sharpe,Status
USDCAD,IS,2,0.47,-54.90,106,0.87,71.70,-2.42,OK
USDCAD,OOS,2,0.73,-17.45,119,0.56,77.31,-1.03,OK
EURUSD,IS,2,2.05,46.94,109,0.55,79.82,2.21,OK
EURUSD,OOS,2,0.68,-28.48,106,0.82,73.58,-1.15,OK
AUDUSD,IS,2,1.03,2.43,102,0.60,79.41,0.10,OK
AUDUSD,OOS,2,0.75,-20.40,94,0.88,74.47,-0.82,OK
NZDUSD,IS,2,0.66,-33.93,93,0.42,74.19,-1.34,OK
NZDUSD,OOS,2,0.98,-1.30,102,0.44,75.49,-0.06,OK
GBPUSD,IS,2,4.69,96.27,145,0.49,86.21,4.36,OK
GBPUSD,OOS,2,3.90,92.20,126,0.46,88.89,4.62,OK
