combo,params,window,PF,Net,Trades,EqDDpct,Win,Sharpe,Status
0,Tp3Pts30_NearbyPip50,IS,0.61,-35.95,148,0.61,64.86,-1.07,OK
0,Tp3Pts30_NearbyPip50,OOS,0.96,-3.22,135,0.49,80.00,-0.12,OK
0,Tp3Pts30_NearbyPip50,CRISIS,4.43,105.66,137,0.43,84.67,3.77,OK
1,Tp3Pts30_NearbyPip100,IS,0.63,-39.42,153,0.77,61.44,-1.39,OK
1,Tp3Pts30_NearbyPip100,OOS,1.11,6.81,122,0.49,73.77,0.29,OK
1,Tp3Pts30_NearbyPip100,CRISIS,1.25,23.38,136,1.19,77.94,0.64,OK
2,Tp3Pts50_NearbyPip50,IS,0.79,-18.91,128,0.49,75.00,-0.52,OK
2,Tp3Pts50_NearbyPip50,OOS,0.82,-15.38,116,0.45,81.03,-0.50,OK
2,Tp3Pts50_NearbyPip50,CRISIS,1.12,11.98,124,1.20,92.74,0.27,OK
3,Tp3Pts50_NearbyPip100,IS,0.69,-32.74,130,0.81,59.23,-1.00,OK
3,Tp3Pts50_NearbyPip100,OOS,0.82,-15.97,98,0.49,70.41,-0.52,OK
3,Tp3Pts50_NearbyPip100,CRISIS,0.96,-5.14,106,1.19,79.25,-0.10,OK
4,Tp3Pts80_NearbyPip50,IS,0.69,-35.28,105,0.72,69.52,-0.93,OK
4,Tp3Pts80_NearbyPip50,OOS,0.80,-21.83,92,0.52,73.91,-0.62,OK
4,Tp3Pts80_NearbyPip50,CRISIS,0.95,-6.65,95,1.20,85.26,-0.12,OK
5,Tp3Pts80_NearbyPip100,IS,0.89,-9.84,114,0.51,64.04,-0.28,OK
5,Tp3Pts80_NearbyPip100,OOS,0.91,-8.67,88,0.46,70.45,-0.25,OK
5,Tp3Pts80_NearbyPip100,CRISIS,0.89,-12.34,94,1.19,81.91,-0.23,OK
