combo,params,window,PF,Net,Trades,EqDDpct,Win,Sharpe,Status
0,Tp3Pts30_NearbyPip50,IS,1.39,37.98,197,0.66,77.66,1.04,OK
0,Tp3Pts30_NearbyPip50,OOS,1.28,22.56,142,0.74,82.39,0.73,OK
0,Tp3Pts30_NearbyPip50,CRISIS,2.53,93.95,148,0.38,85.81,3.71,OK
1,Tp3Pts30_NearbyPip100,IS,1.81,46.96,178,0.32,75.28,1.70,OK
1,Tp3Pts30_NearbyPip100,OOS,1.08,7.76,143,0.41,73.43,0.27,OK
1,Tp3Pts30_NearbyPip100,CRISIS,1.91,72.48,149,0.38,78.52,3.51,OK
2,Tp3Pts50_NearbyPip50,IS,1.11,14.41,170,0.82,89.41,0.37,OK
2,Tp3Pts50_NearbyPip50,OOS,1.85,67.82,140,0.67,93.57,1.93,OK
2,Tp3Pts50_NearbyPip50,CRISIS,2.05,88.04,139,0.39,93.53,2.90,OK
3,Tp3Pts50_NearbyPip100,IS,1.34,31.70,168,0.48,70.83,0.91,OK
3,Tp3Pts50_NearbyPip100,OOS,0.89,-14.17,135,0.50,73.33,-0.42,OK
3,Tp3Pts50_NearbyPip100,CRISIS,4.87,142.35,142,0.38,85.92,5.48,OK
4,Tp3Pts80_NearbyPip50,IS,1.12,16.79,140,0.57,81.43,0.36,OK
4,Tp3Pts80_NearbyPip50,OOS,1.75,71.41,131,0.51,92.37,1.78,OK
4,Tp3Pts80_NearbyPip50,CRISIS,3.60,156.45,136,0.36,95.59,4.62,OK
5,Tp3Pts80_NearbyPip100,IS,1.47,51.58,153,0.50,73.20,1.21,OK
5,Tp3Pts80_NearbyPip100,OOS,0.98,-2.86,116,0.66,76.72,-0.07,OK
5,Tp3Pts80_NearbyPip100,CRISIS,1.14,19.04,121,0.86,83.47,0.61,OK
