combo,params,window,PF,Net,Trades,EqDDpct,Win,Sharpe,Status
0,Tp3Pts30_NearbyPip50,IS,1.08,6.07,164,0.44,77.44,0.17,OK
0,Tp3Pts30_NearbyPip50,OOS,0.99,-1.00,156,0.48,84.62,-0.04,OK
0,Tp3Pts30_NearbyPip50,CRISIS,1.18,16.71,134,0.65,86.57,0.49,OK
1,Tp3Pts30_NearbyPip100,IS,0.52,-58.14,166,0.72,66.87,-1.93,OK
1,Tp3Pts30_NearbyPip100,OOS,1.50,23.56,156,0.41,75.00,1.17,OK
1,Tp3Pts30_NearbyPip100,CRISIS,0.96,-4.26,141,0.77,77.30,-0.14,OK
2,Tp3Pts50_NearbyPip50,IS,1.23,19.78,156,0.27,87.18,0.54,OK
2,Tp3Pts50_NearbyPip50,OOS,0.77,-23.66,141,0.46,88.65,-0.96,OK
2,Tp3Pts50_NearbyPip50,CRISIS,1.09,8.87,130,0.54,91.54,0.26,OK
3,Tp3Pts50_NearbyPip100,IS,0.77,-27.84,154,0.65,70.13,-0.81,OK
3,Tp3Pts50_NearbyPip100,OOS,0.94,-4.30,139,0.37,74.82,-0.17,OK
3,Tp3Pts50_NearbyPip100,CRISIS,1.29,27.19,135,0.48,82.22,0.83,OK
4,Tp3Pts80_NearbyPip50,IS,1.02,2.81,134,0.44,82.84,0.07,OK
4,Tp3Pts80_NearbyPip50,OOS,0.99,-0.69,133,0.40,86.47,-0.03,OK
4,Tp3Pts80_NearbyPip50,CRISIS,1.46,41.00,125,0.48,93.60,1.15,OK
5,Tp3Pts80_NearbyPip100,IS,0.99,-0.98,127,0.33,74.02,-0.02,OK
5,Tp3Pts80_NearbyPip100,OOS,0.56,-49.33,104,0.69,75.00,-1.80,OK
5,Tp3Pts80_NearbyPip100,CRISIS,1.19,20.57,127,0.54,87.40,0.59,OK
