combo,params,window,PF,Net,Trades,EqDDpct,Win,Sharpe,Status
0,HoldBars40_LotRepeat2,IS,2.81,66.77,105,0.28,91.43,4.43,OK
0,HoldBars40_LotRepeat2,OOS,3.72,73.37,97,0.31,95.88,5.36,OK
1,HoldBars80_LotRepeat2,IS,4.24,75.87,98,0.33,94.90,4.29,OK
1,HoldBars80_LotRepeat2,OOS,5.70,90.21,97,0.31,97.94,6.29,OK
2,HoldBars160_LotRepeat2,IS,3.73,66.84,92,0.33,94.57,3.48,OK
2,HoldBars160_LotRepeat2,OOS,5.70,90.21,97,0.31,97.94,6.29,OK
3,HoldBars40_LotRepeat3,IS,2.78,79.60,148,0.42,84.46,4.25,OK
3,HoldBars40_LotRepeat3,OOS,2.56,66.94,126,0.46,86.51,3.54,OK
4,HoldBars80_LotRepeat3,IS,4.69,96.27,145,0.49,86.21,4.36,OK
4,HoldBars80_LotRepeat3,OOS,3.90,92.20,126,0.46,88.89,4.62,OK
5,HoldBars160_LotRepeat3,IS,4.32,89.31,132,0.49,87.12,3.62,OK
5,HoldBars160_LotRepeat3,OOS,3.90,92.20,126,0.46,88.89,4.62,OK
