symbol,tf,fib,mult,window,PF,Net,Trades,DDpct,Win
XAUUSD,H1,20,0.5,EXT_XAU_F20_M05_MAINX,1.14,372.86,330,3.54,49.70
XAUUSD,H1,20,0.5,EXT_XAU_F20_M05_BWDX,0.94,-103.45,275,3.18,36.36
XAUUSD,H1,20,0.618,EXT_XAU_F20_M0618_MAINX,1.13,315.16,288,3.55,52.08
XAUUSD,H1,20,0.618,EXT_XAU_F20_M0618_BWDX,0.96,-55.27,232,2.76,39.22
XAUUSD,H1,20,0.75,EXT_XAU_F20_M075_MAINX,1.14,308.29,245,3.68,54.29
XAUUSD,H1,20,0.75,EXT_XAU_F20_M075_BWDX,1.04,49.43,204,2.33,42.16
XAUUSD,H1,23.6,0.5,EXT_XAU_F236_M05_MAINX,1.13,312.47,309,3.36,48.22
XAUUSD,H1,23.6,0.5,EXT_XAU_F236_M05_BWDX,1.09,128.87,259,1.79,37.07
XAUUSD,H1,23.6,0.618,EXT_XAU_F236_M0618_MAINX,1.11,253.20,271,3.38,50.18
XAUUSD,H1,23.6,0.618,EXT_XAU_F236_M0618_BWDX,1.11,147.21,217,1.41,40.09
XAUUSD,H1,23.6,0.75,EXT_XAU_F236_M075_MAINX,1.14,283.59,232,3.53,52.59
XAUUSD,H1,23.6,0.75,EXT_XAU_F236_M075_BWDX,1.16,187.89,189,1.29,42.33
XAUUSD,H1,27,0.5,EXT_XAU_F27_M05_MAINX,1.30,591.48,289,2.07,46.71
XAUUSD,H1,27,0.5,EXT_XAU_F27_M05_BWDX,1.01,8.31,236,1.84,34.75
XAUUSD,H1,27,0.618,EXT_XAU_F27_M0618_MAINX,1.29,523.07,250,2.02,48.80
XAUUSD,H1,27,0.618,EXT_XAU_F27_M0618_BWDX,1.00,-5.54,197,1.69,37.06
XAUUSD,H1,27,0.75,EXT_XAU_F27_M075_MAINX,1.36,559.70,214,1.65,50.93
XAUUSD,H1,27,0.75,EXT_XAU_F27_M075_BWDX,1.03,27.53,171,1.61,39.18
XAUUSD,H1,30,0.5,EXT_XAU_F30_M05_MAINX,1.38,638.43,267,2.05,47.19
XAUUSD,H1,30,0.5,EXT_XAU_F30_M05_BWDX,1.05,63.34,223,1.65,32.74
XAUUSD,H1,30,0.618,EXT_XAU_F30_M0618_MAINX,1.36,560.50,231,1.86,48.92
XAUUSD,H1,30,0.618,EXT_XAU_F30_M0618_BWDX,1.02,19.64,186,1.61,34.41
XAUUSD,H1,30,0.75,EXT_XAU_F30_M075_MAINX,1.45,590.66,197,1.73,51.27
XAUUSD,H1,30,0.75,EXT_XAU_F30_M075_BWDX,1.07,60.85,160,1.38,37.50
XAGUSD,H1,23.6,0.618,EXT_XAG_MAINX,1.35,1,216,5.04,30.56
XAGUSD,H1,23.6,0.618,EXT_XAG_BWDX,1.29,447.97,169,2.54,33.73
EXTENDED DONE
