fib,mult,window,PF,Net,Trades,DDpct,Win
23.6,0.382,MAIN,1.09,244.96,349,3.49,45.56
23.6,0.382,BWD,1.07,113.82,291,2.11,35.05
23.6,0.618,MAIN,1.11,260.41,271,3.38,50.18
23.6,0.618,BWD,1.12,154.44,217,1.39,40.09
23.6,1.0,MAIN,0.93,-112.69,166,3.96,53.01
23.6,1.0,BWD,1.17,156.77,137,1.57,46.72
38.2,0.382,MAIN,1.36,440.81,227,2.20,39.65
38.2,0.382,BWD,0.90,-93.60,182,2.27,26.92
38.2,0.618,MAIN,1.57,526.98,174,1.66,45.40
38.2,0.618,BWD,0.95,-41.83,148,1.76,29.05
38.2,1.0,MAIN,1.11,73.42,104,1.86,44.23
38.2,1.0,BWD,0.95,-28.68,90,1.67,34.44
50,0.382,MAIN,1.53,270.87,116,0.87,37.93
50,0.382,BWD,0.70,-135.30,95,1.86,18.95
50,0.618,MAIN,1.71,268.90,92,0.88,39.13
50,0.618,BWD,0.73,-109.75,84,1.68,20.24
50,1.0,MAIN,1.71,184.72,60,1.00,41.67
50,1.0,BWD,0.82,-55.83,53,1.64,24.53
61.8,0.382,MAIN,1.62,65.45,33,0.81,30.30
61.8,0.382,BWD,0.33,-148.21,35,1.57,11.43
61.8,0.618,MAIN,1.82,77.06,31,0.70,32.26
61.8,0.618,BWD,0.34,-146.35,34,1.57,11.76
61.8,1.0,MAIN,1.80,54.30,23,0.55,34.78
61.8,1.0,BWD,0.39,-118.31,27,1.36,14.81
SWEEP DONE
