symbol,tf,fib,mult,window,PF,Net,Trades,DDpct,Win
XAGUSD,H1,20,0.5,XAGMG_F20_M05_MAINX,1.34,1,257,6.54,32.30
XAGUSD,H1,20,0.5,XAGMG_F20_M05_BWDX,1.35,617.38,198,2.18,32.32
XAGUSD,H1,20,0.618,XAGMG_F20_M0618_MAINX,1.42,1,229,5.28,33.62
XAGUSD,H1,20,0.618,XAGMG_F20_M0618_BWDX,1.32,510.05,174,2.13,34.48
XAGUSD,H1,23.6,0.5,XAGMG_F236_M05_MAINX,1.30,1,247,5.06,29.15
XAGUSD,H1,23.6,0.5,XAGMG_F236_M05_BWDX,1.28,463.74,189,3.07,31.75
XAGUSD,H1,23.6,0.618,XAGMG_F236_M0618_MAINX,1.35,1,216,5.04,30.56
XAGUSD,H1,23.6,0.618,XAGMG_F236_M0618_BWDX,1.29,447.97,169,2.54,33.73
XAGUSD,H1,27,0.5,XAGMG_F27_M05_MAINX,1.37,1,236,5.10,27.97
XAGUSD,H1,27,0.5,XAGMG_F27_M05_BWDX,1.32,477.77,183,3.13,31.15
XAGUSD,H1,27,0.618,XAGMG_F27_M0618_MAINX,1.45,1,203,5.08,29.56
XAGUSD,H1,27,0.618,XAGMG_F27_M0618_BWDX,1.34,459.36,161,2.60,33.54
XAG MINIGRID DONE
