name,platform,size_kb,lines,blocks,n_inputs,indicators,open_blocks,pending,close_blocks,raw_trade_calls,has_sl,has_tp,lot_escalation,flags,n_copies,path,concept
! GhostBot_2C1,mq5,328,12711,54,10,iMA,6,0,2,4,yes,no,yes,LOT_ESCALATION;TIMELOCK,2,D:\Forex\01_INBOX_NEW\2.1 review EA\wait_Fxdreema MT5\! GhostBot_2C1.mq5,trend_follow
!!PK CCI Currencies Strength Carry Trade Master+ATR+Onec,mq5,672,27500,462,94,iATR;iCCI,2,0,1,4,unknown,yes,no,SL_UNKNOWN,3,D:\Forex\01_INBOX_NEW\2.4 Other EA\wait_Fxdreema MT5\!!PK CCI Currencies Strength Carry Trade Master+ATR+Onec.mq5,correlation_pair
!!PK CCI Currencies Strength Carry Trade Master+ATR+Onecm min,mq5,670,27400,461,93,iATR;iCCI,2,0,1,4,unknown,no,no,SL_UNKNOWN,3,D:\Forex\01_INBOX_NEW\2.4 Other EA\wait_Fxdreema MT5\!!PK CCI Currencies Strength Carry Trade Master+ATR+Onecm min.mq5,correlation_pair+news
!!PK Turbo Matingale,mq5,569,22893,250,46,iRSI,12,0,6,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,2,D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\!!PK Turbo Matingale .mq5,session_time
!!PK  Hedging,mq5,262,10249,35,10,iATR;iMACD,2,0,2,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,2,D:\Forex\01_INBOX_NEW\2.1 review EA\2. More test and adapt\!!PK  Hedging.mq5,session_time
((JOBOT)) BUTTON SYSTEM,mq4,244,9112,78,0,,2,0,2,1,no,no,no,NO_SL,5,D:\EA_LAB\_intake_drop\Jobot example\EA Week10\((JOBOT)) BUTTON SYSTEM.mq4,dashboard_tool
((JOBOT)) MARTINGALE SYSTEM,mq4,436,16901,188,0,iBands,20,0,0,1,unknown,no,yes,SL_UNKNOWN;LOT_ESCALATION;NO_CAP,5,D:\EA_LAB\_intake_drop\Jobot example\EA Week3\((JOBOT)) MARTINGALE SYSTEM.mq4,grid_basket
((Jobot)) Panel Edit Field,mq4,255,9635,66,0,,3,1,1,1,unknown,no,no,SL_UNKNOWN,5,D:\EA_LAB\_intake_drop\Jobot example\EA Week2\((Jobot)) Panel Edit Field .mq4,dashboard_tool
((JOBOT)) TRAILING SYSTEMS,mq4,315,12139,71,0,iATR;iMA;iSAR,1,0,2,1,no,no,no,NO_SL,8,D:\EA_LAB\_intake_drop\Jobot example\EA Week2\((JOBOT)) TRAILING SYSTEMS.mq4,grid_basket
((JOBOT)) CLOSING SYSTEM,mq4,166,6563,90,0,,0,0,12,0,no,no,no,,8,D:\EA_LAB\_intake_drop\Jobot example\EA Week2\((JOBOT)) CLOSING SYSTEM .mq4,unclassified
(Boss) ATR,mq4,377,14107,72,26,iATR,9,7,2,1,unknown,no,yes,SL_UNKNOWN;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Master GRID ATR Accumulative Deduction -B  (martingale)\(Boss) ATR.mq4,grid_basket
(Boss) Dynamic break RSI for SW rev 6,mq4,307,12043,77,14,iATR;iBands;iMACD;iRSI,6,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic break RSI for SW rev 6.mq4,reversion
(Boss) Dynamic break RSI for SW rev 6.1,mq4,294,11592,66,13,iATR;iBands;iMACD;iRSI,4,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW rev 6.1.mq4,reversion
(Boss) Dynamic break RSI for SW rev 6.2,mq4,294,11592,66,13,iATR;iBands;iMACD;iRSI,4,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW rev 6.2.mq4,reversion
(Boss) Dynamic break RSI for SW rev 6.3,mq4,295,11596,66,14,iATR;iBands;iMACD;iRSI,4,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\old\(Boss) Dynamic break RSI for SW rev 6.3.mq4,reversion
(Boss) Dynamic break RSI for SW rev 6.4,mq4,294,11596,66,14,iATR;iBands;iMACD;iRSI,4,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic break RSI for SW rev 6.4.mq4,reversion
(Boss) Dynamic break RSI for SW rev 6.4,mq5,454,15246,66,14,iATR;iBands;iMACD;iRSI,4,0,4,7,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic break RSI for SW rev 6.4.mq5,reversion
(Boss) Dynamic break RSI for SW rev 6.41,mq5,322,12684,66,14,iATR;iBands;iMACD;iRSI,4,0,4,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,5,D:\EA_LAB\_intake_drop\(Boss) Dynamic RSI\(Boss) Dynamic break RSI for SW rev 6.41.mq5,reversion
