"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","has_mart_block","rough_family","already_known"
"zigzag","18","D:\Forex\01_INBOX_NEW\2.1 review EA\MT4 good\AlgoScalpPro EA\MQL4\Indicators\ZigZag.mq4","8.3","","n","n","breakout","y"
"bands","15","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Bands.mq4","4.9","","n","n","other","n"
"iexposure","15","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\iExposure.mq4","8.4","","n","n","other","n"
"simplepanel","15","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Examples\SimplePanel\SimplePanel.mq4","2.7","","n","n","other","y"
"10_points","12","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\10 Points 3.mq4","9.4","iMACD","n","n","trend","n"
"accelerator","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Accelerator.mq4","3.9","iMA","n","n","trend","y"
"accumulation","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Accumulation.mq4","2.4","","n","n","other","n"
"alligator","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Alligator.mq4","3.2","iMA","n","n","trend","y"
"atr","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\ATR.mq4","3.8","","n","n","other","y"
"awesome","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Awesome.mq4","3.3","iMA","n","n","trend","n"
"bears","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Bears.mq4","2.5","iMA","n","n","trend","y"
"bulls","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Bulls.mq4","2.5","iMA","n","n","trend","y"
"cci","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\CCI.mq4","4.1","","n","n","other","y"
"custom_moving_averages","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Custom Moving Averages.mq4","6.9","","n","n","other","n"
"heiken_ashi","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Heiken Ashi.mq4","4.8","","n","n","other","n"
"icarus_4_73_2022july27_ema","12","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\icarus_4.73 2022july27 EMA (1).mq4","172.2","iMA|iRSI|iStochastic|iBands|iCCI|iATR","n","y","reversion","n"
"ichimoku","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Ichimoku.mq4","6.5","","n","n","other","y"
"macd","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\MACD.mq4","3.4","iMA","n","n","trend","y"
"momentum","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Momentum.mq4","2.8","","n","n","other","y"
"osma","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\OsMA.mq4","3.5","iMA","n","n","trend","y"
"parabolic","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Parabolic.mq4","7.2","","n","n","other","n"
"pips_d1_ch","12","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\PIPS_D1_CH.mq4","13.7","iCustom|iMA|iATR","y","n","trend","n"
"rsi","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\RSI.mq4","4.7","","n","n","other","y"
"stochastic","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\Stochastic.mq4","5","","n","n","other","y"
"zigzag_pointer","12","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\EA\Indicators\02-Elliott+Fibo system\Indicators\ZigZag_Pointer.mq4","4.4","","n","n","other","n"
"close_all_open_and_pending_orders","11","D:\Forex\01_INBOX_NEW\2.2 EA test\1 mar 24\Close all open and pending orders.mq4","1.4","","n","n","other","n"
"autotrendchannel","10","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\AutoTrendChannel.mq4","7.6","","n","n","other","n"
"envelope_2_11_23sep","10","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Envelope 2.11(23SEP05).mq4","13.4","iMA","n","n","trend","n"
"fibopiv_v","10","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\FiboPiv_v3.mq4","5.9","","n","n","other","n"
"firebird_v0_61_01_ea","10","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Firebird v0.61.01 [ea].mq4","10.7","iMA","n","n","trend","n"
"icwr","10","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\icwr.2.mq4","10.8","iRSI","n","n","oscillator","n"
"supply_and_demand_zones","10","D:\Forex\01_INBOX_NEW\2.2 EA test\. Forexbookthai\Jan 24\MQL4\Indicators\supply-and-demand-zones.mq4","60.6","","n","n","other","n"
"truescalper_ron_mt4_v11_23sep","10","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TrueScalper_Ron_MT4_v11(23SEP05).mq4","5.2","iMA|iRSI","n","n","reversion","n"
"dllsampletester","9","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Scripts\Examples\DLL\DLLSampleTester.mq4","2.3","","n","n","other","n"
"logo_design","9","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\LOGO DESIGN (1).mq4","172.8","","n","n","other","n"
"periodconverter","9","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Scripts\PeriodConverter.mq4","6.8","","n","n","other","n"
"pipeclient","9","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Scripts\Examples\Pipes\PipeClient.mq4","3.4","","n","n","other","n"
"pipeclientpure","9","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Scripts\Examples\Pipes\PipeClientPure.mq4","4.7","","n","n","other","n"
"daytrading","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\DayTrading02.mq4","7.7","iStochastic|iMACD|iSAR|iMomentum","n","n","oscillator","n"
"e","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\e.3.02.mq4","13.6","iMA","n","n","trend","y"
"farhad_hill_version","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Farhad Hill Version 2.mq4","30.6","iMA|iStochastic|iMACD|iSAR|iMomentum","n","n","oscillator","n"
"firebird_mc_v","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Firebird MC v058.mq4","10.3","iMA","n","n","trend","n"
"firebird_v0_57_ea","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Firebird v0.57 [ea].mq4","7.6","iMA","n","n","trend","n"
"fractal_zig_zag","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Fractal Zig Zag.mq4","6","","n","n","other","n"
"jobot_price_action_trend_line_fibo_martingale","8","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week8\(Jobot) Price Action - Trend Line -Fibo -Martingale .mq4","377.2","iCustom","y","y","breakout","n"
"jobot_trend_line_by_zigzag_martingale","8","D:\Forex\10_EA_PROJECTS\0. Jobot\Course jobot\! JOBOT Week\EA Week8\(Jobot) Trend Line by Zigzag Martingale.mq4","274.9","iCustom","y","y","breakout","n"
"robotpowerm5_meta4v1_26aug","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\RobotPowerM5_meta4V1(26AUG05).mq4","6.3","iSAR|iATR|iMomentum","n","n","trend","n"
"tsd_v11_mt4_jb_osma_jan_4_hour","8","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\TSD-v11-MT4-JB-OsMA Jan 4 hour.mq4","11.4","iMACD|iForce","n","n","breakout","n"
"smc_v","7","D:\Forex\01_INBOX_NEW\2.1 review EA\SMC V2.mq4","288.7","","n","y","breakout","n"
"aroon_haroon","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Aroon_Haroon.mq4","3.4","","n","n","other","n"
"atp_1_global_variable","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\atp.1 global variable.mq4","7.6","","n","n","other","n"
"atr_multiplier","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ATR & Multiplier 2.mq4","2","","n","n","other","n"
"atr_multiplier","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\ATR & Multiplier.mq4","1.5","","n","n","other","n"
"autofx_hanoo_v","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\autoFX_HaNoo_v10.mq4","12.7","iCustom|iMA|iAO","y","n","trend","n"
"autorefresh_s_n","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\AutoReFresh S&N.mq4","2.8","","n","n","other","n"
"blank","6","D:\Forex\01_INBOX_NEW\2.2 EA test\Dashboard\MQL4\MQL4\Indicators\Blank .mq4","1.6","","n","n","other","n"
"boss_golden","6","D:\Forex\01_INBOX_NEW\2.1 review EA\1. wait develop\Boss - Golden.mq4","391.9","iRSI","n","y","reversion","n"
"braintrend2sig_convert_help","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\BrainTrend2Sig-convert Help.mq4","0","","n","n","other","n"
"close_all","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close All.mq4","7.4","","n","n","other","n"
"close_all_only_this_symbol","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close.All--only.this.symbol.mq4","1.6","","n","n","other","n"
"close_basket_profit_loss","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Close_Basket_Profit_Loss.mq4","2.9","","n","n","other","n"
"close_losses","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Losses.mq4","7.8","","n","n","other","n"
"close_open","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Open.mq4","7.8","","n","n","other","n"
"close_pendings","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Pendings.mq4","7.5","","n","n","other","n"
"close_profits","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\Close Profits.mq4","7.8","","n","n","other","n"
"deleteallpending","6","D:\Forex\01_INBOX_NEW\2.2 EA test\wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\Scripts\Scripts\DeleteAllPending.mq4","3.6","","n","n","other","n"
"ema","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\EMA_6_12.mq4","7.9","iMA","n","n","trend","n"
"ex79_advance_trading_robot_no_19_increase_trading_efficiency","6","D:\Forex\01_INBOX_NEW\2.1 review EA\0. Not work\EX79 - Advance Trading Robot No.19 [Increase Trading Efficiency] .mq4","354.1","iMA","n","y","breakout","n"
"firebird_v0_58_ea","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Firebird v0.58 [ea]1.mq4","8.9","iMA","n","n","trend","n"
"firebird_v0_60_ea","6","D:\Forex\01_INBOX_NEW\2.3 wait for test\930 Mq4 Ea pack\Firebird v0.60 [ea]1.mq4","9.6","iMA","n","n","trend","n"
